,date,symbol,sector,open,high,low,close
0,2021-05-12,PKI,Health Care,138.39,139.87,137.71,137.86
1,2021-05-11,PKI,Health Care,137.97,141.045,137.13,139.44
2,2021-05-10,PKI,Health Care,141.44,142.21,139.09,140.0
3,2021-05-07,PKI,Health Care,138.0,141.32,137.86,140.97
4,2021-05-06,PKI,Health Care,135.72,137.6,134.56,137.5
5,2021-05-05,PKI,Health Care,131.09,138.1,135.6,136.57
6,2021-05-04,PKI,Health Care,129.67,129.81,126.75,127.81
7,2021-05-03,PKI,Health Care,130.89,131.98,129.46,130.56
8,2021-04-30,PKI,Health Care,130.36,131.46,128.9,129.63
9,2021-04-29,PKI,Health Care,134.0,134.125,129.94,130.5
10,2021-04-28,PKI,Health Care,134.32,135.04,132.855,133.89
11,2021-04-27,PKI,Health Care,135.44,135.87,134.64,135.01
12,2021-04-26,PKI,Health Care,135.51,135.61,134.52,134.98
13,2021-04-23,PKI,Health Care,133.22,135.095,132.79,134.97
14,2021-04-22,PKI,Health Care,133.94,135.2,132.79,133.39
15,2021-04-21,PKI,Health Care,134.11,134.38,132.5,133.94
16,2021-04-20,PKI,Health Care,134.2,135.07,132.84,134.36
17,2021-04-19,PKI,Health Care,132.49,135.17,132.25,134.59
18,2021-04-16,PKI,Health Care,135.26,135.35,132.61,133.16
19,2021-04-15,PKI,Health Care,134.26,136.4,134.23,134.63
20,2021-04-14,PKI,Health Care,135.78,136.31,130.43,132.85
21,2021-04-13,PKI,Health Care,133.56,135.69,132.8,135.35
22,2021-04-12,PKI,Health Care,133.18,133.38,132.25,132.62
23,2021-04-09,PKI,Health Care,132.39,133.67,131.45,133.39
24,2021-04-08,PKI,Health Care,131.36,132.805,130.76,131.56
25,2021-04-07,PKI,Health Care,132.19,133.0,128.7235,130.18
26,2021-04-06,PKI,Health Care,131.91,134.5,131.73,132.97
27,2021-04-05,PKI,Health Care,131.02,131.45,130.2,130.99
28,2021-04-01,PKI,Health Care,129.32,130.1,128.02,129.88
29,2021-03-31,PKI,Health Care,128.62,129.712,127.885,128.29
30,2021-03-30,PKI,Health Care,128.82,130.62,126.03,127.73
31,2021-03-29,PKI,Health Care,127.82,129.36,127.03,128.65
32,2021-03-26,PKI,Health Care,126.61,129.77,125.97,129.55
33,2021-03-25,PKI,Health Care,124.99,126.02,123.295,125.85
34,2021-03-24,PKI,Health Care,126.31,127.1538,124.27,125.2
35,2021-03-23,PKI,Health Care,128.13,128.825,126.25,127.25
36,2021-03-22,PKI,Health Care,128.01,129.72,126.54,128.13
37,2021-03-19,PKI,Health Care,126.93,129.74,126.53,128.4
38,2021-03-18,PKI,Health Care,124.88,129.48,124.64,126.56
39,2021-03-17,PKI,Health Care,124.77,127.58,124.37,126.39
40,2021-03-16,PKI,Health Care,127.71,128.18,124.0727,125.96
41,2021-03-15,PKI,Health Care,122.77,127.04,122.01,126.63
42,2021-03-12,PKI,Health Care,123.98,124.68,120.7901,123.1
43,2021-03-11,PKI,Health Care,122.21,126.39,121.805,126.24
44,2021-03-10,PKI,Health Care,127.0,129.66,119.954,120.35
45,2021-03-09,PKI,Health Care,124.34,130.17,124.26,125.96
46,2021-03-08,PKI,Health Care,124.06,126.39,121.54,121.56
47,2021-03-05,PKI,Health Care,125.23,125.79,121.14,124.05
48,2021-03-04,PKI,Health Care,125.48,126.49,123.27,124.22
49,2021-03-03,PKI,Health Care,127.5,127.91,126.24,126.38
50,2021-03-02,PKI,Health Care,129.61,130.82,127.44,127.53
51,2021-03-01,PKI,Health Care,127.81,130.115,127.17,129.72
52,2021-02-26,PKI,Health Care,127.0,127.0,124.91,126.09
53,2021-02-25,PKI,Health Care,129.43,129.43,124.9,125.97
54,2021-02-24,PKI,Health Care,131.0,131.55,127.94,128.78
55,2021-02-23,PKI,Health Care,128.66,131.9551,127.38,131.02
56,2021-02-22,PKI,Health Care,135.49,135.57,128.205,129.72
57,2021-02-19,PKI,Health Care,142.81,143.48,136.76,136.79
58,2021-02-18,PKI,Health Care,142.27,143.89,141.18,142.6
59,2021-02-17,PKI,Health Care,145.71,147.02,142.62,144.42
60,2021-02-16,PKI,Health Care,150.0,151.95,145.76,146.49
61,2021-02-12,PKI,Health Care,148.63,151.88,147.69,150.57
62,2021-02-11,PKI,Health Care,148.6,149.9499,146.99,148.7
63,2021-02-10,PKI,Health Care,147.22,148.97,145.29,147.22
64,2021-02-09,PKI,Health Care,144.44,146.96,142.96,145.62
65,2021-02-08,PKI,Health Care,145.72,147.155,142.23,144.55
66,2021-02-05,PKI,Health Care,142.38,145.94,142.38,145.03
67,2021-02-04,PKI,Health Care,139.63,142.37,137.2401,142.37
68,2021-02-03,PKI,Health Care,148.91,151.5,139.66,139.72
69,2021-02-02,PKI,Health Care,153.35,156.6,150.84,151.13
70,2021-02-01,PKI,Health Care,148.24,153.99,147.785,151.93
71,2021-01-29,PKI,Health Care,143.94,149.58,143.505,147.07
72,2021-01-28,PKI,Health Care,143.99,147.64,143.81,144.74
73,2021-01-27,PKI,Health Care,143.63,144.93,140.27,141.73
74,2021-01-26,PKI,Health Care,151.1,151.1,146.03,146.24
75,2021-01-25,PKI,Health Care,152.73,153.7,149.405,151.05
76,2021-01-22,PKI,Health Care,151.04,152.27,149.589,151.91
77,2021-01-21,PKI,Health Care,150.95,151.87,148.57,150.59
78,2021-01-20,PKI,Health Care,150.09,152.07,149.72,151.26
79,2021-01-19,PKI,Health Care,150.47,151.28,147.41,149.29
80,2021-01-15,PKI,Health Care,147.46,149.49,146.03,148.52
81,2021-01-14,PKI,Health Care,152.18,152.78,148.04,148.13
82,2021-01-13,PKI,Health Care,151.94,153.86,151.01,151.52
83,2021-01-12,PKI,Health Care,158.8,159.32,150.8305,151.98
84,2021-01-11,PKI,Health Care,158.9,162.7,157.48,159.25
85,2021-01-08,PKI,Health Care,160.55,162.4,157.6,159.76
86,2021-01-07,PKI,Health Care,160.58,162.16,158.75,160.53
87,2021-01-06,PKI,Health Care,150.36,158.0,150.18,156.37
88,2021-01-05,PKI,Health Care,145.8,152.52,145.0,151.9
89,2021-01-04,PKI,Health Care,144.13,147.505,142.48,145.51
90,2020-12-31,PKI,Health Care,140.93,143.62,139.99,143.5
91,2020-12-30,PKI,Health Care,140.59,141.09,139.49,140.58
92,2020-12-29,PKI,Health Care,141.78,142.82,139.465,139.83
93,2020-12-28,PKI,Health Care,140.96,141.58,139.12,140.71
94,2020-12-24,PKI,Health Care,139.21,140.11,138.64,139.71
95,2020-12-23,PKI,Health Care,139.98,140.39,137.58,139.32
96,2020-12-22,PKI,Health Care,140.44,141.56,138.99,139.86
97,2020-12-21,PKI,Health Care,141.04,141.41,137.4,140.62
98,2020-12-18,PKI,Health Care,143.16,143.55,140.77,142.7
99,2020-12-17,PKI,Health Care,141.53,143.5999,141.07,143.42
100,2020-12-16,PKI,Health Care,145.0,145.34,140.4,140.8
101,2020-12-15,PKI,Health Care,146.09,147.8,145.08,145.2
102,2020-12-14,PKI,Health Care,146.5,149.95,145.28,145.32
103,2020-12-11,PKI,Health Care,145.8,146.65,144.36,146.07
104,2020-12-10,PKI,Health Care,143.46,146.67,143.09,145.91
105,2020-12-09,PKI,Health Care,147.89,147.89,142.95,143.91
106,2020-12-08,PKI,Health Care,143.5,148.39,143.45,147.91
107,2020-12-07,PKI,Health Care,141.5,144.17,141.5,143.89
108,2020-12-04,PKI,Health Care,138.43,141.88,138.3,141.78
109,2020-12-03,PKI,Health Care,139.06,139.32,137.62,138.02
110,2020-12-02,PKI,Health Care,137.93,139.4,135.745,138.58
111,2020-12-01,PKI,Health Care,132.89,137.45,131.94,137.2
112,2020-11-30,PKI,Health Care,129.61,133.19,129.445,133.0
113,2020-11-27,PKI,Health Care,127.96,129.32,127.615,129.26
114,2020-11-25,PKI,Health Care,126.75,127.78,126.6,127.5
115,2020-11-24,PKI,Health Care,128.63,128.84,126.0,127.07
116,2020-11-23,PKI,Health Care,130.15,130.45,125.76,127.82
117,2020-11-20,PKI,Health Care,131.0,131.2,129.87,130.19
118,2020-11-19,PKI,Health Care,128.75,131.3,128.09,130.81
119,2020-11-18,PKI,Health Care,133.0,133.12,127.46,128.67
120,2020-11-17,PKI,Health Care,132.75,134.0,132.04,133.0
121,2020-11-16,PKI,Health Care,132.28,134.33,131.14,133.32
122,2020-11-13,PKI,Health Care,132.03,132.68,130.85,132.12
123,2020-11-12,PKI,Health Care,129.21,131.89,129.15,130.64
124,2020-11-11,PKI,Health Care,127.47,130.725,127.0,129.07
125,2020-11-10,PKI,Health Care,127.73,129.18,123.66,125.53
126,2020-11-09,PKI,Health Care,136.5,136.5,123.015,128.09
127,2020-11-06,PKI,Health Care,138.75,142.65,137.85,141.3
128,2020-11-05,PKI,Health Care,137.21,139.78,136.5201,138.41
129,2020-11-04,PKI,Health Care,134.57,136.34,133.2703,135.04
130,2020-11-03,PKI,Health Care,133.99,135.49,132.52,133.15
131,2020-11-02,PKI,Health Care,130.19,133.94,130.19,132.64
132,2020-10-30,PKI,Health Care,127.94,129.56,125.61,129.55
133,2020-10-29,PKI,Health Care,126.91,132.505,124.4,128.79
134,2020-10-28,PKI,Health Care,124.64,125.91,123.37,124.4
135,2020-10-27,PKI,Health Care,124.0,128.2352,123.5035,127.08
136,2020-10-26,PKI,Health Care,123.03,124.63,122.1735,124.07
137,2020-10-23,PKI,Health Care,125.58,125.58,122.82,124.45
138,2020-10-22,PKI,Health Care,124.1,125.96,123.01,125.2
139,2020-10-21,PKI,Health Care,123.65,124.84,123.25,123.38
140,2020-10-20,PKI,Health Care,123.1,124.67,122.5,123.35
141,2020-10-19,PKI,Health Care,123.79,125.15,122.0,122.3
142,2020-10-16,PKI,Health Care,124.18,125.695,123.69,124.02
143,2020-10-15,PKI,Health Care,120.66,124.11,119.94,123.33
144,2020-10-14,PKI,Health Care,124.57,125.28,121.11,122.05
145,2020-10-13,PKI,Health Care,127.8,128.88,124.33,124.67
146,2020-10-12,PKI,Health Care,134.05,134.39,127.71,128.33
147,2020-10-09,PKI,Health Care,128.86,129.8,128.0,129.68
148,2020-10-08,PKI,Health Care,128.51,129.1494,126.68,127.61
149,2020-10-07,PKI,Health Care,127.3,129.29,127.3,128.24
150,2020-10-06,PKI,Health Care,129.57,129.85,124.82,126.55
151,2020-10-05,PKI,Health Care,125.62,129.8,125.15,129.71
152,2020-10-02,PKI,Health Care,123.18,125.14,122.41,124.56
153,2020-10-01,PKI,Health Care,127.5,128.98,123.66,124.86
154,2020-09-30,PKI,Health Care,123.65,126.1,123.65,125.51
155,2020-09-29,PKI,Health Care,121.89,124.659,121.89,123.26
156,2020-09-28,PKI,Health Care,120.61,122.45,120.61,121.89
157,2020-09-25,PKI,Health Care,117.27,120.62,116.76,119.8
158,2020-09-24,PKI,Health Care,117.18,118.36,116.27,117.96
159,2020-09-23,PKI,Health Care,119.66,120.49,117.48,117.58
160,2020-09-22,PKI,Health Care,117.93,120.11,117.34,119.95
161,2020-09-21,PKI,Health Care,116.59,118.47,114.75,118.25
162,2020-09-18,PKI,Health Care,119.32,120.28,117.57,118.2
163,2020-09-17,PKI,Health Care,119.03,121.34,118.37,119.49
164,2020-09-16,PKI,Health Care,119.54,120.63,119.0,120.31
165,2020-09-15,PKI,Health Care,118.34,119.27,118.16,118.51
166,2020-09-14,PKI,Health Care,118.57,118.93,117.0695,117.73
167,2020-09-11,PKI,Health Care,116.14,119.57,115.54,117.69
168,2020-09-10,PKI,Health Care,114.85,116.48,113.14,113.46
169,2020-09-09,PKI,Health Care,112.69,115.14,112.38,114.25
170,2020-09-08,PKI,Health Care,112.8,113.4,111.5,112.01
171,2020-09-04,PKI,Health Care,116.64,116.64,111.57,114.3
172,2020-09-03,PKI,Health Care,121.33,121.33,114.72,116.04
173,2020-09-02,PKI,Health Care,120.3,122.29,119.45,122.06
174,2020-09-01,PKI,Health Care,118.73,119.525,117.73,119.39
