,date,symbol,sector,open,high,low,close
0,2021-05-12,PNR,Industrials,67.92,68.14,65.565,65.58
1,2021-05-11,PNR,Industrials,68.41,68.73,67.21,67.98
2,2021-05-10,PNR,Industrials,68.6,69.88,68.25,69.05
3,2021-05-07,PNR,Industrials,66.86,68.58,66.69,67.94
4,2021-05-06,PNR,Industrials,67.73,67.98,66.54,67.3
5,2021-05-05,PNR,Industrials,66.65,67.73,66.95,67.3
6,2021-05-04,PNR,Industrials,65.04,66.6,64.71,66.4
7,2021-05-03,PNR,Industrials,65.07,65.77,64.53,65.35
8,2021-04-30,PNR,Industrials,64.65,65.03,64.13,64.51
9,2021-04-29,PNR,Industrials,64.63,65.17,64.22,65.16
10,2021-04-28,PNR,Industrials,64.11,64.53,63.39,64.31
11,2021-04-27,PNR,Industrials,63.79,64.34,63.47,64.08
12,2021-04-26,PNR,Industrials,64.57,64.98,63.86,64.09
13,2021-04-23,PNR,Industrials,64.55,64.83,63.62,64.31
14,2021-04-22,PNR,Industrials,65.83,65.83,63.2957,64.2
15,2021-04-21,PNR,Industrials,63.63,64.72,63.44,64.37
16,2021-04-20,PNR,Industrials,64.19,64.44,62.95,63.44
17,2021-04-19,PNR,Industrials,64.04,64.58,63.68,64.0
18,2021-04-16,PNR,Industrials,63.49,64.03,62.75,63.84
19,2021-04-15,PNR,Industrials,62.46,63.05,62.27,63.03
20,2021-04-14,PNR,Industrials,62.5,63.42,62.24,62.27
21,2021-04-13,PNR,Industrials,63.08,63.08,62.05,62.23
22,2021-04-12,PNR,Industrials,62.24,63.41,62.24,63.35
23,2021-04-09,PNR,Industrials,61.2,62.1,60.51,62.07
24,2021-04-08,PNR,Industrials,61.4,61.56,60.55,60.81
25,2021-04-07,PNR,Industrials,62.19,62.565,61.05,61.5
26,2021-04-06,PNR,Industrials,62.93,62.95,62.22,62.4
27,2021-04-05,PNR,Industrials,62.71,63.055,62.19,62.72
28,2021-04-01,PNR,Industrials,62.68,62.75,61.67,62.39
29,2021-03-31,PNR,Industrials,62.35,63.35,62.13,62.32
30,2021-03-30,PNR,Industrials,62.32,62.9825,61.9,62.08
31,2021-03-29,PNR,Industrials,62.24,62.9315,61.94,62.25
32,2021-03-26,PNR,Industrials,61.43,62.3,61.13,62.24
33,2021-03-25,PNR,Industrials,59.77,60.95,58.77,60.84
34,2021-03-24,PNR,Industrials,59.74,60.52,59.653,59.86
35,2021-03-23,PNR,Industrials,60.11,60.52,58.78,59.32
36,2021-03-22,PNR,Industrials,60.98,61.04,59.58,60.61
37,2021-03-19,PNR,Industrials,60.77,61.57,60.11,61.02
38,2021-03-18,PNR,Industrials,61.35,62.23,60.76,61.22
39,2021-03-17,PNR,Industrials,60.94,61.98,60.91,61.35
40,2021-03-16,PNR,Industrials,61.11,61.79,60.61,60.95
41,2021-03-15,PNR,Industrials,59.35,61.11,58.68,61.08
42,2021-03-12,PNR,Industrials,60.56,60.77,59.27,59.52
43,2021-03-11,PNR,Industrials,59.77,61.0,59.29,60.12
44,2021-03-10,PNR,Industrials,59.04,60.57,58.82,59.93
45,2021-03-09,PNR,Industrials,60.1,60.26,59.01,59.05
46,2021-03-08,PNR,Industrials,58.07,60.48,57.96,59.9
47,2021-03-05,PNR,Industrials,57.0,57.9,55.62,57.68
48,2021-03-04,PNR,Industrials,57.55,57.71,55.45,56.26
49,2021-03-03,PNR,Industrials,57.7,58.78,57.4401,57.74
50,2021-03-02,PNR,Industrials,58.2,58.41,57.14,57.7
51,2021-03-01,PNR,Industrials,56.39,58.79,56.39,58.28
52,2021-02-26,PNR,Industrials,56.31,56.99,55.56,55.93
53,2021-02-25,PNR,Industrials,57.26,57.4088,55.78,55.88
54,2021-02-24,PNR,Industrials,55.76,57.48,55.3,57.15
55,2021-02-23,PNR,Industrials,55.65,55.93,54.64,55.69
56,2021-02-22,PNR,Industrials,56.44,56.58,55.31,55.78
