,date,symbol,sector,open,high,low,close
0,2021-05-12,POOL,Consumer Discretionary,435.12,437.35,418.83,419.76
1,2021-05-11,POOL,Consumer Discretionary,438.71,442.05,433.835,438.87
2,2021-05-10,POOL,Consumer Discretionary,446.08,449.44,442.906,444.96
3,2021-05-07,POOL,Consumer Discretionary,435.33,445.21,435.33,444.01
4,2021-05-06,POOL,Consumer Discretionary,440.68,441.8947,428.91,434.85
5,2021-05-05,POOL,Consumer Discretionary,436.39,442.9,432.52,441.56
6,2021-05-04,POOL,Consumer Discretionary,428.0,431.23,424.495,431.15
7,2021-05-03,POOL,Consumer Discretionary,425.0,431.465,423.52,428.86
8,2021-04-30,POOL,Consumer Discretionary,421.0,424.44,419.14,422.52
9,2021-04-29,POOL,Consumer Discretionary,423.9015,423.9015,416.01,421.45
10,2021-04-28,POOL,Consumer Discretionary,418.73,423.07,413.91,415.29
11,2021-04-27,POOL,Consumer Discretionary,416.35,425.0,413.56,421.69
12,2021-04-26,POOL,Consumer Discretionary,419.58,419.58,409.0,413.25
13,2021-04-23,POOL,Consumer Discretionary,411.28,424.56,411.28,419.53
14,2021-04-22,POOL,Consumer Discretionary,413.09,426.7,409.38,410.46
15,2021-04-21,POOL,Consumer Discretionary,384.05,392.13,384.05,385.67
16,2021-04-20,POOL,Consumer Discretionary,384.19,388.59,383.24,386.06
17,2021-04-19,POOL,Consumer Discretionary,382.0,385.68,380.69,382.95
18,2021-04-16,POOL,Consumer Discretionary,376.03,384.14,373.895,382.21
19,2021-04-15,POOL,Consumer Discretionary,370.67,376.98,367.705,374.43
20,2021-04-14,POOL,Consumer Discretionary,369.97,372.29,366.23,367.7
21,2021-04-13,POOL,Consumer Discretionary,372.89,374.44,370.245,370.45
22,2021-04-12,POOL,Consumer Discretionary,370.42,371.88,368.07,371.18
23,2021-04-09,POOL,Consumer Discretionary,361.88,370.45,361.88,369.49
24,2021-04-08,POOL,Consumer Discretionary,358.6,361.07,354.53,360.76
25,2021-04-07,POOL,Consumer Discretionary,358.08,360.85,354.78,356.65
26,2021-04-06,POOL,Consumer Discretionary,358.5,361.15,353.1,357.72
27,2021-04-05,POOL,Consumer Discretionary,352.65,359.22,351.87,357.0
28,2021-04-01,POOL,Consumer Discretionary,345.74,352.19,345.43,351.57
29,2021-03-31,POOL,Consumer Discretionary,343.48,349.01,343.48,345.24
30,2021-03-30,POOL,Consumer Discretionary,339.89,343.8671,335.24,342.37
31,2021-03-29,POOL,Consumer Discretionary,342.96,350.5,338.865,343.48
32,2021-03-26,POOL,Consumer Discretionary,335.52,342.11,333.54,341.86
33,2021-03-25,POOL,Consumer Discretionary,337.0,338.155,332.695,335.25
34,2021-03-24,POOL,Consumer Discretionary,340.09,344.76,335.4,340.1
35,2021-03-23,POOL,Consumer Discretionary,334.43,342.43,333.89,340.91
36,2021-03-22,POOL,Consumer Discretionary,340.61,340.61,331.6,336.22
37,2021-03-19,POOL,Consumer Discretionary,339.37,348.35,337.83,340.8
38,2021-03-18,POOL,Consumer Discretionary,336.29,340.89,332.26,336.87
39,2021-03-17,POOL,Consumer Discretionary,343.7,344.16,336.69,339.2
40,2021-03-16,POOL,Consumer Discretionary,350.0,351.88,342.56,343.97
41,2021-03-15,POOL,Consumer Discretionary,342.31,348.0,340.58,347.57
42,2021-03-12,POOL,Consumer Discretionary,342.81,344.56,339.02,342.44
43,2021-03-11,POOL,Consumer Discretionary,342.49,348.46,336.95,346.84
44,2021-03-10,POOL,Consumer Discretionary,341.83,344.8003,338.5,343.2
45,2021-03-09,POOL,Consumer Discretionary,332.94,341.115,330.2,336.51
46,2021-03-08,POOL,Consumer Discretionary,328.84,334.67,326.8,328.34
47,2021-03-05,POOL,Consumer Discretionary,324.7525,330.83,313.92,330.22
48,2021-03-04,POOL,Consumer Discretionary,331.66,333.52,319.055,323.59
49,2021-03-03,POOL,Consumer Discretionary,330.29,335.355,328.37,331.1
50,2021-03-02,POOL,Consumer Discretionary,332.17,334.63,327.075,330.7
51,2021-03-01,POOL,Consumer Discretionary,335.01,340.47,332.77,334.2
52,2021-02-26,POOL,Consumer Discretionary,327.77,338.715,325.74,334.77
53,2021-02-25,POOL,Consumer Discretionary,326.59,328.1,320.71,322.99
54,2021-02-24,POOL,Consumer Discretionary,318.91,329.67,314.92,328.39
55,2021-02-23,POOL,Consumer Discretionary,310.75,319.91,305.47,318.25
56,2021-02-22,POOL,Consumer Discretionary,325.07,326.02,311.57,314.43
57,2021-02-19,POOL,Consumer Discretionary,329.96,332.54,325.42,326.08
