,date,symbol,sector,open,high,low,close
0,2021-05-12,PRGO,Health Care,44.2,46.08,43.56,45.76
1,2021-05-11,PRGO,Health Care,42.66,45.08,41.95,44.34
2,2021-05-10,PRGO,Health Care,42.86,43.94,42.84,43.12
3,2021-05-07,PRGO,Health Care,42.69,43.46,42.6,42.96
4,2021-05-06,PRGO,Health Care,42.11,42.67,41.13,42.65
5,2021-05-05,PRGO,Health Care,42.08,42.2,41.62,42.02
6,2021-05-04,PRGO,Health Care,42.28,42.51,41.67,42.13
7,2021-05-03,PRGO,Health Care,41.73,42.75,41.73,42.37
8,2021-04-30,PRGO,Health Care,42.07,42.24,41.59,41.63
9,2021-04-29,PRGO,Health Care,41.76,42.42,41.67,42.04
10,2021-04-28,PRGO,Health Care,41.29,41.53,40.96,41.51
11,2021-04-27,PRGO,Health Care,42.01,42.27,41.32,41.33
12,2021-04-26,PRGO,Health Care,42.36,43.16,42.27,42.47
13,2021-04-23,PRGO,Health Care,42.45,42.45,41.745,41.83
14,2021-04-22,PRGO,Health Care,42.66,42.91,42.34,42.63
15,2021-04-21,PRGO,Health Care,42.25,42.82,42.22,42.73
16,2021-04-20,PRGO,Health Care,41.85,42.14,41.52,42.05
17,2021-04-19,PRGO,Health Care,41.61,41.95,41.475,41.7
18,2021-04-16,PRGO,Health Care,41.31,41.67,41.09,41.62
19,2021-04-15,PRGO,Health Care,40.69,41.43,40.4227,41.17
20,2021-04-14,PRGO,Health Care,40.05,40.82,40.05,40.38
21,2021-04-13,PRGO,Health Care,40.2,40.39,39.93,40.15
22,2021-04-12,PRGO,Health Care,40.45,40.835,40.14,40.52
23,2021-04-09,PRGO,Health Care,40.11,40.62,40.1,40.53
24,2021-04-08,PRGO,Health Care,40.68,40.81,39.91,40.21
25,2021-04-07,PRGO,Health Care,40.83,41.3,40.34,40.41
26,2021-04-06,PRGO,Health Care,40.53,41.14,40.45,40.96
27,2021-04-05,PRGO,Health Care,40.98,41.2,40.14,40.39
28,2021-04-01,PRGO,Health Care,40.47,40.99,39.93,40.68
29,2021-03-31,PRGO,Health Care,41.03,41.5,40.43,40.47
30,2021-03-30,PRGO,Health Care,41.86,41.95,40.83,41.22
31,2021-03-29,PRGO,Health Care,41.74,42.28,41.5,41.99
32,2021-03-26,PRGO,Health Care,42.15,42.52,41.52,42.01
33,2021-03-25,PRGO,Health Care,42.58,42.71,41.51,42.1
34,2021-03-24,PRGO,Health Care,42.23,42.92,42.11,42.4
35,2021-03-23,PRGO,Health Care,42.54,42.61,41.76,42.12
36,2021-03-22,PRGO,Health Care,42.34,42.69,41.85,42.54
37,2021-03-19,PRGO,Health Care,41.7,42.72,41.64,42.65
38,2021-03-18,PRGO,Health Care,41.14,42.39,41.11,41.8
39,2021-03-17,PRGO,Health Care,41.23,41.76,41.1185,41.47
40,2021-03-16,PRGO,Health Care,41.75,41.75,41.02,41.39
41,2021-03-15,PRGO,Health Care,41.17,41.85,41.06,41.8
42,2021-03-12,PRGO,Health Care,41.28,41.46,40.61,41.03
43,2021-03-11,PRGO,Health Care,41.43,41.83,41.29,41.35
44,2021-03-10,PRGO,Health Care,41.26,41.8,41.0,41.62
45,2021-03-09,PRGO,Health Care,41.89,42.41,40.95,40.95
46,2021-03-08,PRGO,Health Care,41.33,42.59,41.29,41.82
47,2021-03-05,PRGO,Health Care,40.76,41.35,40.08,41.04
48,2021-03-04,PRGO,Health Care,41.18,41.45,40.035,40.57
49,2021-03-03,PRGO,Health Care,41.88,42.24,40.7,41.28
50,2021-03-02,PRGO,Health Care,42.4,43.3,42.05,42.09
51,2021-03-01,PRGO,Health Care,45.2,45.32,41.56,42.26
52,2021-02-26,PRGO,Health Care,40.56,40.77,38.2,40.36
53,2021-02-25,PRGO,Health Care,41.51,42.01,40.525,40.78
54,2021-02-24,PRGO,Health Care,42.65,42.65,41.35,41.66
55,2021-02-23,PRGO,Health Care,42.57,42.75,40.92,42.5
56,2021-02-22,PRGO,Health Care,42.03,42.55,41.53,42.12
57,2021-02-19,PRGO,Health Care,42.31,42.56,41.77,42.1
58,2021-02-18,PRGO,Health Care,43.99,44.22,42.15,42.28
59,2021-02-17,PRGO,Health Care,44.19,44.37,43.32,44.05
60,2021-02-16,PRGO,Health Care,44.98,45.14,44.24,44.38
61,2021-02-12,PRGO,Health Care,45.43,46.07,44.5,44.98
62,2021-02-11,PRGO,Health Care,44.97,45.92,44.53,45.78
63,2021-02-10,PRGO,Health Care,43.84,45.15,43.691,44.83
64,2021-02-09,PRGO,Health Care,43.74,43.96,43.39,43.9
65,2021-02-08,PRGO,Health Care,43.37,43.65,43.02,43.51
66,2021-02-05,PRGO,Health Care,44.05,44.05,42.805,43.09
67,2021-02-04,PRGO,Health Care,42.95,43.73,42.8,43.57
68,2021-02-03,PRGO,Health Care,42.35,42.61,41.61,42.61
69,2021-02-02,PRGO,Health Care,43.28,43.39,42.24,42.33
70,2021-02-01,PRGO,Health Care,43.22,43.51,42.35,42.96
71,2021-01-29,PRGO,Health Care,43.75,44.365,42.43,42.7
72,2021-01-28,PRGO,Health Care,44.14,44.81,43.465,43.69
73,2021-01-27,PRGO,Health Care,44.35,44.66,43.97,44.11
74,2021-01-26,PRGO,Health Care,44.78,44.83,44.16,44.49
75,2021-01-25,PRGO,Health Care,43.18,44.75,42.76,44.5
76,2021-01-22,PRGO,Health Care,43.03,43.42,42.62,43.29
77,2021-01-21,PRGO,Health Care,43.35,43.705,42.94,43.42
78,2021-01-20,PRGO,Health Care,43.32,43.82,43.1,43.27
79,2021-01-19,PRGO,Health Care,43.92,44.08,43.35,43.47
80,2021-01-15,PRGO,Health Care,44.72,45.2,43.5,43.71
81,2021-01-14,PRGO,Health Care,45.94,46.13,44.18,44.65
82,2021-01-13,PRGO,Health Care,45.84,46.57,45.62,46.12
83,2021-01-12,PRGO,Health Care,44.65,46.26,44.47,45.68
84,2021-01-11,PRGO,Health Care,44.4,45.165,44.0621,44.6
85,2021-01-08,PRGO,Health Care,46.06,46.19,44.28,44.64
86,2021-01-07,PRGO,Health Care,45.2,46.18,45.01,46.0
87,2021-01-06,PRGO,Health Care,43.48,45.32,43.48,44.83
88,2021-01-05,PRGO,Health Care,44.77,44.8,43.97,44.27
89,2021-01-04,PRGO,Health Care,44.95,45.0,43.74,44.63
90,2020-12-31,PRGO,Health Care,44.63,44.87,44.15,44.72
91,2020-12-30,PRGO,Health Care,44.67,45.17,44.28,44.48
92,2020-12-29,PRGO,Health Care,44.95,45.07,44.04,44.55
93,2020-12-28,PRGO,Health Care,44.45,45.25,44.1,44.65
94,2020-12-24,PRGO,Health Care,43.8,44.08,43.61,44.01
95,2020-12-23,PRGO,Health Care,43.87,44.25,43.46,43.66
96,2020-12-22,PRGO,Health Care,44.76,44.81,43.66,43.85
97,2020-12-21,PRGO,Health Care,45.07,45.08,44.16,44.81
