,date,symbol,sector,open,high,low,close
0,2021-05-12,PVH,Consumer Discretionary,111.28,112.48,105.44,105.95
1,2021-05-11,PVH,Consumer Discretionary,112.84,114.03,110.04,111.79
2,2021-05-10,PVH,Consumer Discretionary,118.78,121.175,114.82,115.01
3,2021-05-07,PVH,Consumer Discretionary,114.79,119.79,114.575,118.67
4,2021-05-06,PVH,Consumer Discretionary,118.32,118.5,114.75,115.78
5,2021-05-05,PVH,Consumer Discretionary,116.99,118.62,116.85,117.39
6,2021-05-04,PVH,Consumer Discretionary,116.57,116.99,114.46,116.24
7,2021-05-03,PVH,Consumer Discretionary,114.32,117.2,113.66,116.64
8,2021-04-30,PVH,Consumer Discretionary,113.56,114.39,111.87,113.18
9,2021-04-29,PVH,Consumer Discretionary,114.99,116.0,113.38,114.05
10,2021-04-28,PVH,Consumer Discretionary,111.28,114.24,110.69,113.5
11,2021-04-27,PVH,Consumer Discretionary,108.49,111.81,107.8592,111.44
12,2021-04-26,PVH,Consumer Discretionary,110.0,112.35,107.49,108.49
13,2021-04-23,PVH,Consumer Discretionary,108.32,109.9,106.26,109.44
14,2021-04-22,PVH,Consumer Discretionary,108.26,109.95,106.72,107.01
15,2021-04-21,PVH,Consumer Discretionary,101.65,107.9,101.29,107.55
16,2021-04-20,PVH,Consumer Discretionary,102.93,103.27,99.57,101.9
17,2021-04-19,PVH,Consumer Discretionary,105.33,106.75,103.34,103.93
18,2021-04-16,PVH,Consumer Discretionary,108.51,109.0,105.35,106.17
19,2021-04-15,PVH,Consumer Discretionary,109.15,109.15,106.38,107.19
20,2021-04-14,PVH,Consumer Discretionary,107.8,109.98,107.01,107.74
21,2021-04-13,PVH,Consumer Discretionary,112.11,112.31,107.26,108.29
22,2021-04-12,PVH,Consumer Discretionary,110.12,114.18,110.02,113.1
23,2021-04-09,PVH,Consumer Discretionary,105.1,110.64,104.485,110.5
24,2021-04-08,PVH,Consumer Discretionary,102.48,104.74,101.17,104.56
25,2021-04-07,PVH,Consumer Discretionary,104.87,105.6594,102.5602,102.95
26,2021-04-06,PVH,Consumer Discretionary,103.63,105.66,103.27,104.08
27,2021-04-05,PVH,Consumer Discretionary,102.41,105.06,100.99,104.3
28,2021-04-01,PVH,Consumer Discretionary,105.0,105.933,99.68,100.98
29,2021-03-31,PVH,Consumer Discretionary,100.59,107.45,100.1,105.7
30,2021-03-30,PVH,Consumer Discretionary,97.5,100.86,97.3501,100.12
31,2021-03-29,PVH,Consumer Discretionary,101.14,102.34,97.44,97.96
32,2021-03-26,PVH,Consumer Discretionary,99.75,102.75,99.0,101.9
33,2021-03-25,PVH,Consumer Discretionary,93.97,98.69,91.49,98.25
34,2021-03-24,PVH,Consumer Discretionary,96.71,99.79,95.6,95.69
35,2021-03-23,PVH,Consumer Discretionary,101.37,101.654,93.7629,94.94
36,2021-03-22,PVH,Consumer Discretionary,105.53,105.62,101.8,103.47
