,date,symbol,sector,open,high,low,close
0,2021-05-12,PWR,Industrials,98.53,99.1499,94.51,94.67
1,2021-05-11,PWR,Industrials,99.0,100.04,97.28,98.59
2,2021-05-10,PWR,Industrials,100.73,101.959,100.12,100.6
3,2021-05-07,PWR,Industrials,97.53,101.7199,97.32,100.18
4,2021-05-06,PWR,Industrials,97.3,100.0,96.31,98.59
5,2021-05-05,PWR,Industrials,97.92,98.47,97.27,97.38
6,2021-05-04,PWR,Industrials,96.77,97.69,95.3,97.65
7,2021-05-03,PWR,Industrials,97.84,98.5,97.045,97.18
8,2021-04-30,PWR,Industrials,98.04,98.63,96.38,96.64
9,2021-04-29,PWR,Industrials,98.63,98.92,97.38,98.74
10,2021-04-28,PWR,Industrials,98.25,98.415,97.7,97.85
11,2021-04-27,PWR,Industrials,97.76,98.37,97.02,98.18
12,2021-04-26,PWR,Industrials,98.47,98.95,97.35,97.72
13,2021-04-23,PWR,Industrials,95.82,97.95,95.53,97.64
14,2021-04-22,PWR,Industrials,95.76,96.77,94.85,95.92
15,2021-04-21,PWR,Industrials,94.0,95.66,93.37,95.57
16,2021-04-20,PWR,Industrials,95.29,95.36,92.175,93.75
17,2021-04-19,PWR,Industrials,96.29,96.48,95.21,95.83
18,2021-04-16,PWR,Industrials,95.92,96.49,94.63,95.7
19,2021-04-15,PWR,Industrials,94.52,95.32,93.73,95.28
20,2021-04-14,PWR,Industrials,93.5,95.005,93.32,94.01
21,2021-04-13,PWR,Industrials,93.52,94.49,92.6718,94.06
22,2021-04-12,PWR,Industrials,93.81,94.13,92.74,93.25
23,2021-04-09,PWR,Industrials,91.91,93.75,91.4,93.72
24,2021-04-08,PWR,Industrials,91.29,91.885,90.11,91.52
25,2021-04-07,PWR,Industrials,92.15,92.23,90.4275,91.1
26,2021-04-06,PWR,Industrials,91.8,94.1,91.8,92.15
27,2021-04-05,PWR,Industrials,90.91,92.15,90.17,91.93
28,2021-04-01,PWR,Industrials,89.0,90.22,88.11,89.17
29,2021-03-31,PWR,Industrials,88.18,88.9,86.66,87.98
30,2021-03-30,PWR,Industrials,84.29,87.76,84.135,87.57
31,2021-03-29,PWR,Industrials,86.56,87.7599,84.08,84.32
32,2021-03-26,PWR,Industrials,84.66,87.2,83.71,87.14
33,2021-03-25,PWR,Industrials,81.74,84.01,80.385,83.48
34,2021-03-24,PWR,Industrials,83.34,84.46,82.13,82.28
35,2021-03-23,PWR,Industrials,84.12,84.94,81.61,82.39
36,2021-03-22,PWR,Industrials,85.46,85.77,83.87,85.05
37,2021-03-19,PWR,Industrials,85.21,86.38,83.83,85.46
38,2021-03-18,PWR,Industrials,88.04,88.74,85.7,85.81
39,2021-03-17,PWR,Industrials,87.51,88.4,86.94,87.93
40,2021-03-16,PWR,Industrials,88.9,88.9058,86.95,87.26
41,2021-03-15,PWR,Industrials,88.18,88.97,87.34,88.85
42,2021-03-12,PWR,Industrials,87.39,88.71,87.15,88.64
43,2021-03-11,PWR,Industrials,86.38,88.25,85.8201,87.41
44,2021-03-10,PWR,Industrials,83.17,85.81,82.69,85.49
45,2021-03-09,PWR,Industrials,84.13,84.66,83.05,83.23
46,2021-03-08,PWR,Industrials,84.24,84.9,82.85,83.34
47,2021-03-05,PWR,Industrials,82.67,83.64,78.79,83.12
48,2021-03-04,PWR,Industrials,82.25,82.51,79.04,81.83
49,2021-03-03,PWR,Industrials,84.21,85.04,82.58,82.73
50,2021-03-02,PWR,Industrials,85.35,85.379,83.56,84.21
51,2021-03-01,PWR,Industrials,85.68,87.67,85.22,85.7
52,2021-02-26,PWR,Industrials,84.59,85.755,82.65,83.85
53,2021-02-25,PWR,Industrials,84.0,86.23,83.43,84.61
54,2021-02-24,PWR,Industrials,78.68,81.99,78.37,81.13
55,2021-02-23,PWR,Industrials,77.2,78.74,74.84,78.21
56,2021-02-22,PWR,Industrials,77.16,78.68,76.06,77.91
57,2021-02-19,PWR,Industrials,76.6,77.78,76.415,77.25
58,2021-02-18,PWR,Industrials,76.36,76.5,73.9,75.88
59,2021-02-17,PWR,Industrials,77.36,78.02,76.02,76.83
60,2021-02-16,PWR,Industrials,78.75,79.55,77.34,77.61
61,2021-02-12,PWR,Industrials,76.7,78.05,76.56,77.87
62,2021-02-11,PWR,Industrials,76.57,78.53,76.12,77.01
63,2021-02-10,PWR,Industrials,77.44,77.44,76.15,76.22
64,2021-02-09,PWR,Industrials,76.65,77.89,76.1,77.17
65,2021-02-08,PWR,Industrials,76.75,77.07,76.08,76.58
66,2021-02-05,PWR,Industrials,76.14,76.21,74.8,75.95
67,2021-02-04,PWR,Industrials,74.26,75.43,73.71,75.31
68,2021-02-03,PWR,Industrials,75.63,75.63,74.06,74.12
69,2021-02-02,PWR,Industrials,73.93,76.79,73.56,75.82
70,2021-02-01,PWR,Industrials,71.56,73.1,70.465,72.88
71,2021-01-29,PWR,Industrials,72.15,72.27,69.84,70.47
72,2021-01-28,PWR,Industrials,72.93,73.43,71.6,72.55
73,2021-01-27,PWR,Industrials,73.17,73.365,70.38,71.67
74,2021-01-26,PWR,Industrials,76.29,76.29,74.74,74.84
75,2021-01-25,PWR,Industrials,77.54,77.7744,74.4133,75.72
76,2021-01-22,PWR,Industrials,77.56,78.12,76.64,77.66
77,2021-01-21,PWR,Industrials,79.16,79.81,77.35,77.81
78,2021-01-20,PWR,Industrials,78.62,79.86,78.125,79.27
79,2021-01-19,PWR,Industrials,77.2,78.37,76.62,78.25
80,2021-01-15,PWR,Industrials,76.78,77.2,74.8,76.16
81,2021-01-14,PWR,Industrials,75.21,77.89,74.62,77.58
82,2021-01-13,PWR,Industrials,75.85,76.26,74.0,74.77
83,2021-01-12,PWR,Industrials,75.89,76.59,74.43,76.26
84,2021-01-11,PWR,Industrials,75.06,76.64,75.0,75.31
85,2021-01-08,PWR,Industrials,76.62,76.8,75.01,75.98
86,2021-01-07,PWR,Industrials,75.92,77.4,74.9,76.39
87,2021-01-06,PWR,Industrials,70.92,74.96,70.7,74.8
88,2021-01-05,PWR,Industrials,68.25,70.02,68.15,69.57
89,2021-01-04,PWR,Industrials,70.9,71.825,67.6,68.25
90,2020-12-31,PWR,Industrials,71.32,72.2,70.94,72.02
91,2020-12-30,PWR,Industrials,70.79,71.645,70.63,71.15
92,2020-12-29,PWR,Industrials,71.43,71.43,69.77,70.62
93,2020-12-28,PWR,Industrials,71.55,71.99,70.58,70.71
94,2020-12-24,PWR,Industrials,71.05,71.18,70.39,70.93
95,2020-12-23,PWR,Industrials,69.4,71.08,69.37,70.81
96,2020-12-22,PWR,Industrials,68.46,69.48,68.31,69.13
97,2020-12-21,PWR,Industrials,67.38,68.63,66.75,68.58
98,2020-12-18,PWR,Industrials,68.91,69.3,67.41,68.29
99,2020-12-17,PWR,Industrials,68.79,69.205,68.15,68.82
100,2020-12-16,PWR,Industrials,68.61,69.22,67.19,68.4
101,2020-12-15,PWR,Industrials,68.9,69.62,68.6,69.24
102,2020-12-14,PWR,Industrials,72.23,72.425,68.29,68.51
103,2020-12-11,PWR,Industrials,73.5,73.76,72.0,72.07
104,2020-12-10,PWR,Industrials,72.54,73.98,71.59,73.01
105,2020-12-09,PWR,Industrials,72.12,73.52,72.12,73.1
106,2020-12-08,PWR,Industrials,71.37,72.4,71.185,71.73
107,2020-12-07,PWR,Industrials,70.79,71.62,70.38,71.51
108,2020-12-04,PWR,Industrials,69.58,71.67,69.34,70.73
109,2020-12-03,PWR,Industrials,68.6,69.785,68.0,69.37
110,2020-12-02,PWR,Industrials,69.83,69.86,68.22,68.57
111,2020-12-01,PWR,Industrials,69.42,70.476,68.95,69.96
112,2020-11-30,PWR,Industrials,69.73,70.2,67.91,68.34
