,date,symbol,sector,open,high,low,close
0,2021-05-12,RCL,Consumer Discretionary,80.12,81.0,77.8,78.05
1,2021-05-11,RCL,Consumer Discretionary,81.38,82.97,79.825,81.28
2,2021-05-10,RCL,Consumer Discretionary,83.9,84.86,83.03,83.93
3,2021-05-07,RCL,Consumer Discretionary,81.09,84.5599,80.45,84.29
4,2021-05-06,RCL,Consumer Discretionary,83.11,83.87,79.02,80.7
5,2021-05-05,RCL,Consumer Discretionary,84.08,84.8,82.4,83.0
6,2021-05-04,RCL,Consumer Discretionary,87.0,87.1,82.9305,83.99
7,2021-05-03,RCL,Consumer Discretionary,87.46,88.6922,86.6901,87.91
8,2021-04-30,RCL,Consumer Discretionary,84.15,87.47,83.81,86.95
9,2021-04-29,RCL,Consumer Discretionary,90.06,92.45,84.715,84.9
10,2021-04-28,RCL,Consumer Discretionary,87.26,88.43,86.59,87.47
11,2021-04-27,RCL,Consumer Discretionary,87.01,88.22,85.823,87.63
12,2021-04-26,RCL,Consumer Discretionary,87.4,88.84,86.665,86.94
13,2021-04-23,RCL,Consumer Discretionary,84.65,85.96,83.28,85.81
14,2021-04-22,RCL,Consumer Discretionary,84.4,86.55,83.611,84.18
15,2021-04-21,RCL,Consumer Discretionary,81.15,84.72,80.05,84.69
16,2021-04-20,RCL,Consumer Discretionary,83.0,83.01,79.0265,81.07
17,2021-04-19,RCL,Consumer Discretionary,85.12,85.74,83.41,83.78
18,2021-04-16,RCL,Consumer Discretionary,85.23,86.82,84.7,85.39
19,2021-04-15,RCL,Consumer Discretionary,87.07,87.08,83.85,84.5
20,2021-04-14,RCL,Consumer Discretionary,86.75,88.73,86.36,86.53
21,2021-04-13,RCL,Consumer Discretionary,84.88,86.85,83.6,86.53
22,2021-04-12,RCL,Consumer Discretionary,89.03,89.03,85.73,87.06
23,2021-04-09,RCL,Consumer Discretionary,89.38,90.47,88.67,89.88
24,2021-04-08,RCL,Consumer Discretionary,90.93,90.93,87.43,89.79
25,2021-04-07,RCL,Consumer Discretionary,93.0,95.3,90.9,91.04
26,2021-04-06,RCL,Consumer Discretionary,89.15,92.3,88.576,90.76
27,2021-04-05,RCL,Consumer Discretionary,89.44,91.3,88.72,89.15
28,2021-04-01,RCL,Consumer Discretionary,86.5,87.82,85.48,86.67
29,2021-03-31,RCL,Consumer Discretionary,85.13,86.84,84.44,85.61
30,2021-03-30,RCL,Consumer Discretionary,83.14,85.97,83.06,85.35
31,2021-03-29,RCL,Consumer Discretionary,84.65,85.2,81.6,82.87
32,2021-03-26,RCL,Consumer Discretionary,84.96,86.3299,81.68,84.56
33,2021-03-25,RCL,Consumer Discretionary,80.0,84.25,78.86,83.45
34,2021-03-24,RCL,Consumer Discretionary,86.0,89.1,80.56,81.58
35,2021-03-23,RCL,Consumer Discretionary,87.39,88.06,83.04,83.9
36,2021-03-22,RCL,Consumer Discretionary,89.46,90.26,87.85,88.9
37,2021-03-19,RCL,Consumer Discretionary,88.76,91.04,86.53,90.72
38,2021-03-18,RCL,Consumer Discretionary,91.63,92.1584,88.22,88.41
39,2021-03-17,RCL,Consumer Discretionary,89.56,91.45,87.92,91.45
40,2021-03-16,RCL,Consumer Discretionary,93.51,94.0,88.34,89.52
41,2021-03-15,RCL,Consumer Discretionary,92.25,96.9,92.0,94.55
42,2021-03-12,RCL,Consumer Discretionary,87.73,90.32,87.65,90.22
43,2021-03-11,RCL,Consumer Discretionary,88.56,89.67,86.3,87.99
44,2021-03-10,RCL,Consumer Discretionary,90.0,92.0944,86.46,87.32
45,2021-03-09,RCL,Consumer Discretionary,89.0,90.25,85.4,89.56
46,2021-03-08,RCL,Consumer Discretionary,87.99,89.61,85.24,87.91
47,2021-03-05,RCL,Consumer Discretionary,89.91,90.55,80.55,86.51
48,2021-03-04,RCL,Consumer Discretionary,96.14,96.38,87.89,91.61
49,2021-03-03,RCL,Consumer Discretionary,94.03,97.3591,93.93,94.48
50,2021-03-02,RCL,Consumer Discretionary,92.7,95.5,91.99,93.62
51,2021-03-01,RCL,Consumer Discretionary,92.78,93.119,89.71,91.35
52,2021-02-26,RCL,Consumer Discretionary,91.0,94.23,89.27,93.27
53,2021-02-25,RCL,Consumer Discretionary,98.01,99.24,88.51,91.63
54,2021-02-24,RCL,Consumer Discretionary,91.67,97.08,91.62,96.66
55,2021-02-23,RCL,Consumer Discretionary,87.31,90.47,82.77,90.05
56,2021-02-22,RCL,Consumer Discretionary,79.57,88.75,79.01,86.23
57,2021-02-19,RCL,Consumer Discretionary,76.62,79.73,76.5,78.87
58,2021-02-18,RCL,Consumer Discretionary,74.31,75.98,72.9,75.12
59,2021-02-17,RCL,Consumer Discretionary,73.36,76.65,72.49,75.11
60,2021-02-16,RCL,Consumer Discretionary,69.0,74.76,68.38,74.2
61,2021-02-12,RCL,Consumer Discretionary,66.66,68.3,66.65,67.63
62,2021-02-11,RCL,Consumer Discretionary,69.0,69.83,67.41,67.99
63,2021-02-10,RCL,Consumer Discretionary,69.25,70.69,68.535,68.77
64,2021-02-09,RCL,Consumer Discretionary,70.75,70.75,68.31,68.89
65,2021-02-08,RCL,Consumer Discretionary,72.5,72.5,70.5801,70.7
66,2021-02-05,RCL,Consumer Discretionary,71.67,72.99,71.03,71.58
67,2021-02-04,RCL,Consumer Discretionary,70.4,71.87,69.88,70.84
68,2021-02-03,RCL,Consumer Discretionary,69.0,70.03,68.31,69.42
69,2021-02-02,RCL,Consumer Discretionary,67.17,68.91,65.84,68.68
70,2021-02-01,RCL,Consumer Discretionary,65.95,66.55,64.66,65.75
71,2021-01-29,RCL,Consumer Discretionary,68.65,69.33,64.2601,65.0
72,2021-01-28,RCL,Consumer Discretionary,69.285,70.58,67.45,69.05
73,2021-01-27,RCL,Consumer Discretionary,65.43,68.525,64.34,66.18
74,2021-01-26,RCL,Consumer Discretionary,69.0,69.09,66.48,66.5
75,2021-01-25,RCL,Consumer Discretionary,70.73,70.86,66.91,68.42
76,2021-01-22,RCL,Consumer Discretionary,71.67,72.28,70.66,71.96
77,2021-01-21,RCL,Consumer Discretionary,72.5,73.51,71.02,72.66
78,2021-01-20,RCL,Consumer Discretionary,74.04,75.16,72.27,72.82
79,2021-01-19,RCL,Consumer Discretionary,74.0,74.67,72.46,73.48
80,2021-01-15,RCL,Consumer Discretionary,75.04,76.29,72.87,72.92
81,2021-01-14,RCL,Consumer Discretionary,73.59,76.53,73.37,75.84
82,2021-01-13,RCL,Consumer Discretionary,71.78,72.51,70.7737,72.25
83,2021-01-12,RCL,Consumer Discretionary,72.14,72.71,70.81,72.47
84,2021-01-11,RCL,Consumer Discretionary,71.3,73.1,70.85,72.12
