,date,symbol,sector,open,high,low,close
0,2021-05-12,REGN,Health Care,497.0,513.67,497.0,507.14
1,2021-05-11,REGN,Health Care,496.82,508.98,494.02,501.19
2,2021-05-10,REGN,Health Care,497.52,513.48,495.0,502.34
3,2021-05-07,REGN,Health Care,497.5871,503.0,492.81,496.75
4,2021-05-06,REGN,Health Care,483.11,502.98,478.4,498.68
5,2021-05-05,REGN,Health Care,486.41,488.745,481.09,482.42
6,2021-05-04,REGN,Health Care,485.94,488.2755,480.85,485.18
7,2021-05-03,REGN,Health Care,483.5,491.67,482.825,488.62
8,2021-04-30,REGN,Health Care,482.77,491.579,480.51,481.3
9,2021-04-29,REGN,Health Care,489.69,490.0,482.28,485.0
10,2021-04-28,REGN,Health Care,494.91,495.44,487.5,487.77
11,2021-04-27,REGN,Health Care,502.6,502.6,491.26,491.81
12,2021-04-26,REGN,Health Care,489.84,502.0,485.0,501.17
13,2021-04-23,REGN,Health Care,488.63,491.49,484.0313,488.64
14,2021-04-22,REGN,Health Care,505.4,505.4,489.28,490.43
15,2021-04-21,REGN,Health Care,507.49,510.32,503.2245,506.48
16,2021-04-20,REGN,Health Care,499.55,506.73,497.4,504.42
17,2021-04-19,REGN,Health Care,503.005,505.9699,498.47,499.69
18,2021-04-16,REGN,Health Care,496.6488,506.872,495.86,502.6
19,2021-04-15,REGN,Health Care,487.44,499.28,485.81,494.64
20,2021-04-14,REGN,Health Care,478.0,486.73,477.92,481.16
21,2021-04-13,REGN,Health Care,476.528,483.4,474.595,477.04
22,2021-04-12,REGN,Health Care,481.78,481.78,469.8,472.8
23,2021-04-09,REGN,Health Care,476.2175,480.2623,471.5,475.17
24,2021-04-08,REGN,Health Care,485.7697,488.99,474.84,476.36
25,2021-04-07,REGN,Health Care,479.0,486.95,477.62,481.79
26,2021-04-06,REGN,Health Care,485.5,485.82,476.72,478.68
27,2021-04-05,REGN,Health Care,477.09,485.28,474.22,484.56
28,2021-04-01,REGN,Health Care,472.0,478.15,469.37,474.93
29,2021-03-31,REGN,Health Care,472.64,475.7,470.67,473.14
30,2021-03-30,REGN,Health Care,479.84,480.84,469.36,470.67
31,2021-03-29,REGN,Health Care,472.34,488.9,471.91,481.52
32,2021-03-26,REGN,Health Care,461.13,477.32,458.44,476.91
33,2021-03-25,REGN,Health Care,458.31,465.84,451.6,463.48
34,2021-03-24,REGN,Health Care,471.51,472.08,458.25,460.32
35,2021-03-23,REGN,Health Care,486.16,488.7162,466.71,469.76
36,2021-03-22,REGN,Health Care,471.89,484.61,471.23,483.22
37,2021-03-19,REGN,Health Care,478.31,482.59,472.48,473.7
38,2021-03-18,REGN,Health Care,485.08,491.88,474.31,474.68
39,2021-03-17,REGN,Health Care,495.0,497.705,483.15,496.01
40,2021-03-16,REGN,Health Care,485.0,490.22,479.61,482.17
41,2021-03-15,REGN,Health Care,473.01,484.7,472.26,483.94
42,2021-03-12,REGN,Health Care,467.0,471.82,463.65,471.46
43,2021-03-11,REGN,Health Care,469.0,474.89,466.725,469.96
44,2021-03-10,REGN,Health Care,473.89,474.98,465.21,467.95
45,2021-03-09,REGN,Health Care,469.8,478.13,469.32,470.63
46,2021-03-08,REGN,Health Care,456.49,473.5,456.49,463.19
47,2021-03-05,REGN,Health Care,451.58,463.83,449.3,461.57
48,2021-03-04,REGN,Health Care,445.37,451.8535,441.0,449.38
49,2021-03-03,REGN,Health Care,456.14,458.65,446.38,446.73
50,2021-03-02,REGN,Health Care,463.13,466.0,454.3462,454.86
51,2021-03-01,REGN,Health Care,454.49,463.85,453.83,463.05
52,2021-02-26,REGN,Health Care,455.84,457.17,445.566,450.57
53,2021-02-25,REGN,Health Care,460.31,465.0,448.33,453.19
54,2021-02-24,REGN,Health Care,466.11,469.4712,457.17,458.6
55,2021-02-23,REGN,Health Care,458.056,468.96,448.0,468.03
56,2021-02-22,REGN,Health Care,468.27,468.27,459.9,460.58
57,2021-02-19,REGN,Health Care,478.25,483.68,470.27,470.37
58,2021-02-18,REGN,Health Care,479.9,481.755,475.835,477.03
59,2021-02-17,REGN,Health Care,477.0,484.375,476.56,481.68
60,2021-02-16,REGN,Health Care,488.01,492.0,478.44,480.71
61,2021-02-12,REGN,Health Care,494.25,494.4831,482.845,485.62
62,2021-02-11,REGN,Health Care,491.23,496.6,486.035,490.54
63,2021-02-10,REGN,Health Care,493.43,497.86,488.12,491.22
64,2021-02-09,REGN,Health Care,496.53,497.99,487.55,490.68
65,2021-02-08,REGN,Health Care,503.14,506.6276,492.46,494.9
66,2021-02-05,REGN,Health Care,513.84,514.9735,495.2185,498.98
67,2021-02-04,REGN,Health Care,494.07,498.96,490.02,498.84
68,2021-02-03,REGN,Health Care,505.09,507.28,490.84,491.18
69,2021-02-02,REGN,Health Care,511.01,513.28,498.02,499.98
70,2021-02-01,REGN,Health Care,512.82,512.82,503.1,508.08
71,2021-01-29,REGN,Health Care,505.97,514.415,496.0958,503.84
72,2021-01-28,REGN,Health Care,521.27,529.51,505.1101,506.27
73,2021-01-27,REGN,Health Care,540.58,541.97,512.94,515.56
74,2021-01-26,REGN,Health Care,558.91,558.91,542.14,544.1
75,2021-01-25,REGN,Health Care,554.32,555.0,538.77,548.2
76,2021-01-22,REGN,Health Care,534.1,546.7221,534.1,537.78
77,2021-01-21,REGN,Health Care,540.58,543.275,527.9101,535.48
78,2021-01-20,REGN,Health Care,536.78,543.99,529.31,542.27
79,2021-01-19,REGN,Health Care,523.03,536.62,522.06,533.89
80,2021-01-15,REGN,Health Care,518.1,522.99,511.11,517.93
81,2021-01-14,REGN,Health Care,513.1,524.88,511.33,517.91
82,2021-01-13,REGN,Health Care,517.0,522.0,509.14,511.9
83,2021-01-12,REGN,Health Care,504.41,518.5,502.0,505.75
84,2021-01-11,REGN,Health Care,501.0,505.14,489.35,502.92
85,2021-01-08,REGN,Health Care,487.9345,500.7,487.9345,498.73
86,2021-01-07,REGN,Health Care,471.24,481.84,467.18,481.2
87,2021-01-06,REGN,Health Care,477.15,483.0,467.0,470.09
88,2021-01-05,REGN,Health Care,480.39,486.25,475.41,483.45
89,2021-01-04,REGN,Health Care,486.85,491.7755,473.58,482.86
90,2020-12-31,REGN,Health Care,477.81,483.57,470.78,483.11
91,2020-12-30,REGN,Health Care,487.39,488.825,477.68,478.3
92,2020-12-29,REGN,Health Care,485.0,490.4527,482.42,484.22
93,2020-12-28,REGN,Health Care,488.72,492.69,482.21,482.96
94,2020-12-24,REGN,Health Care,492.44,495.23,486.03,488.93
95,2020-12-23,REGN,Health Care,491.2,493.63,488.5201,492.19
96,2020-12-22,REGN,Health Care,496.0,496.48,488.5,490.06
97,2020-12-21,REGN,Health Care,494.0,497.29,485.06,496.74
98,2020-12-18,REGN,Health Care,500.0,506.9899,496.81,498.89
