,date,symbol,sector,open,high,low,close
0,2021-05-12,RHI,Industrials,90.01,90.18,87.38,87.45
1,2021-05-11,RHI,Industrials,89.95,90.49,88.58,89.68
2,2021-05-10,RHI,Industrials,90.9,91.28,89.83,90.8
3,2021-05-07,RHI,Industrials,89.0,90.58,88.65,90.32
4,2021-05-06,RHI,Industrials,89.21,89.815,88.38,89.7
5,2021-05-05,RHI,Industrials,89.41,89.39,87.93,89.14
6,2021-05-04,RHI,Industrials,87.19,89.21,87.19,89.16
7,2021-05-03,RHI,Industrials,88.24,88.43,86.99,87.55
8,2021-04-30,RHI,Industrials,88.67,88.67,86.921,87.61
9,2021-04-29,RHI,Industrials,88.45,89.01,87.71,88.8
10,2021-04-28,RHI,Industrials,88.9,89.95,87.67,87.68
11,2021-04-27,RHI,Industrials,87.87,88.98,87.71,88.94
12,2021-04-26,RHI,Industrials,87.17,88.53,87.17,87.7
13,2021-04-23,RHI,Industrials,85.2,87.32,84.31,87.0
14,2021-04-22,RHI,Industrials,86.85,87.52,85.15,85.2
15,2021-04-21,RHI,Industrials,81.2,82.86,80.94,82.5
16,2021-04-20,RHI,Industrials,82.21,83.82,80.94,81.25
17,2021-04-19,RHI,Industrials,82.83,83.025,81.25,81.48
18,2021-04-16,RHI,Industrials,82.92,83.52,82.29,83.3
19,2021-04-15,RHI,Industrials,83.13,83.54,81.45,82.23
20,2021-04-14,RHI,Industrials,82.55,83.87,82.55,82.89
21,2021-04-13,RHI,Industrials,81.68,82.7,81.2,82.57
22,2021-04-12,RHI,Industrials,81.02,81.97,81.0,81.85
23,2021-04-09,RHI,Industrials,80.67,81.575,80.48,81.35
24,2021-04-08,RHI,Industrials,79.72,80.54,79.1,80.24
25,2021-04-07,RHI,Industrials,79.38,79.75,78.83,79.58
26,2021-04-06,RHI,Industrials,77.96,80.63,77.62,79.35
27,2021-04-05,RHI,Industrials,78.25,79.11,77.63,78.19
28,2021-04-01,RHI,Industrials,78.25,78.63,77.19,77.66
29,2021-03-31,RHI,Industrials,77.5,78.83,77.4,78.07
30,2021-03-30,RHI,Industrials,76.62,77.84,76.39,77.56
