,date,symbol,sector,open,high,low,close
0,2021-05-12,RL,Consumer Discretionary,133.43,135.76,127.6,128.04
1,2021-05-11,RL,Consumer Discretionary,136.92,136.92,131.9,134.05
2,2021-05-10,RL,Consumer Discretionary,139.8,142.06,137.57,137.57
3,2021-05-07,RL,Consumer Discretionary,133.91,139.85,133.31,139.64
4,2021-05-06,RL,Consumer Discretionary,135.39,136.18,132.84,134.0
5,2021-05-05,RL,Consumer Discretionary,136.2,135.99,134.01,134.95
6,2021-05-04,RL,Consumer Discretionary,136.15,137.1187,134.215,135.41
7,2021-05-03,RL,Consumer Discretionary,134.31,136.9999,133.91,136.31
8,2021-04-30,RL,Consumer Discretionary,133.3,133.99,131.74,133.29
9,2021-04-29,RL,Consumer Discretionary,133.29,135.05,130.38,133.41
10,2021-04-28,RL,Consumer Discretionary,134.48,135.25,131.32,132.29
11,2021-04-27,RL,Consumer Discretionary,126.38,129.14,125.58,128.85
12,2021-04-26,RL,Consumer Discretionary,126.31,128.255,125.49,125.83
13,2021-04-23,RL,Consumer Discretionary,124.87,125.72,123.53,125.48
14,2021-04-22,RL,Consumer Discretionary,123.02,125.09,122.99,123.43
15,2021-04-21,RL,Consumer Discretionary,119.0,123.17,118.4,122.63
16,2021-04-20,RL,Consumer Discretionary,121.43,122.07,117.57,119.44
17,2021-04-19,RL,Consumer Discretionary,123.86,124.6,121.46,122.18
18,2021-04-16,RL,Consumer Discretionary,126.92,127.2,123.0,124.56
19,2021-04-15,RL,Consumer Discretionary,127.0,127.49,125.38,125.98
20,2021-04-14,RL,Consumer Discretionary,124.42,127.59,124.42,125.79
21,2021-04-13,RL,Consumer Discretionary,126.65,126.98,122.89,124.52
22,2021-04-12,RL,Consumer Discretionary,127.0,129.12,126.825,127.76
23,2021-04-09,RL,Consumer Discretionary,124.74,127.75,124.01,127.54
24,2021-04-08,RL,Consumer Discretionary,122.74,124.35,121.37,123.58
25,2021-04-07,RL,Consumer Discretionary,124.66,125.7,122.92,123.64
26,2021-04-06,RL,Consumer Discretionary,123.71,125.72,122.53,123.7
27,2021-04-05,RL,Consumer Discretionary,121.38,123.56,119.2,123.31
28,2021-04-01,RL,Consumer Discretionary,123.45,123.91,118.83,119.94
29,2021-03-31,RL,Consumer Discretionary,120.72,124.93,120.3,123.16
30,2021-03-30,RL,Consumer Discretionary,118.78,120.46,117.05,120.24
31,2021-03-29,RL,Consumer Discretionary,121.21,123.23,116.57,117.99
32,2021-03-26,RL,Consumer Discretionary,120.17,122.25,118.19,122.16
33,2021-03-25,RL,Consumer Discretionary,112.42,119.2,110.83,118.3
34,2021-03-24,RL,Consumer Discretionary,115.02,118.33,113.89,113.96
35,2021-03-23,RL,Consumer Discretionary,120.74,121.33,112.4421,113.56
36,2021-03-22,RL,Consumer Discretionary,122.0,122.9,120.05,121.52
37,2021-03-19,RL,Consumer Discretionary,121.4,124.03,120.63,121.75
38,2021-03-18,RL,Consumer Discretionary,121.07,125.85,120.7,122.48
39,2021-03-17,RL,Consumer Discretionary,122.11,122.78,118.3,121.07
40,2021-03-16,RL,Consumer Discretionary,124.0,124.76,118.685,121.76
41,2021-03-15,RL,Consumer Discretionary,123.8,125.35,122.37,124.0
42,2021-03-12,RL,Consumer Discretionary,123.39,125.895,122.035,123.98
43,2021-03-11,RL,Consumer Discretionary,122.89,123.7993,119.99,121.75
44,2021-03-10,RL,Consumer Discretionary,125.02,127.08,121.82,122.61
45,2021-03-09,RL,Consumer Discretionary,126.7,129.745,124.68,124.95
46,2021-03-08,RL,Consumer Discretionary,124.02,128.4,123.06,126.55
47,2021-03-05,RL,Consumer Discretionary,122.43,125.3108,116.17,122.2
48,2021-03-04,RL,Consumer Discretionary,121.98,125.33,117.41,120.97
49,2021-03-03,RL,Consumer Discretionary,121.87,125.65,121.54,122.3
50,2021-03-02,RL,Consumer Discretionary,120.53,122.685,119.54,121.64
51,2021-03-01,RL,Consumer Discretionary,119.03,123.23,118.71,120.34
52,2021-02-26,RL,Consumer Discretionary,117.5,119.06,114.3,117.08
53,2021-02-25,RL,Consumer Discretionary,120.53,122.2,117.58,117.58
54,2021-02-24,RL,Consumer Discretionary,117.0,120.22,116.06,119.88
55,2021-02-23,RL,Consumer Discretionary,117.29,118.04,114.46,117.13
56,2021-02-22,RL,Consumer Discretionary,112.7,118.2484,112.48,117.38
57,2021-02-19,RL,Consumer Discretionary,111.04,114.07,109.305,113.46
58,2021-02-18,RL,Consumer Discretionary,110.87,111.4,108.59,110.99
59,2021-02-17,RL,Consumer Discretionary,111.81,112.055,109.77,111.41
60,2021-02-16,RL,Consumer Discretionary,111.33,112.3,110.05,111.77
61,2021-02-12,RL,Consumer Discretionary,112.1,112.65,110.14,110.7
62,2021-02-11,RL,Consumer Discretionary,112.65,116.46,111.73,113.44
63,2021-02-10,RL,Consumer Discretionary,111.43,113.185,109.77,112.16
64,2021-02-09,RL,Consumer Discretionary,109.38,111.11,109.07,110.36
65,2021-02-08,RL,Consumer Discretionary,109.16,111.42,108.58,110.21
66,2021-02-05,RL,Consumer Discretionary,108.2,109.46,105.095,108.5
67,2021-02-04,RL,Consumer Discretionary,103.42,109.34,100.34,107.83
68,2021-02-03,RL,Consumer Discretionary,103.66,106.585,103.66,105.19
69,2021-02-02,RL,Consumer Discretionary,104.0,105.0,101.72,103.43
70,2021-02-01,RL,Consumer Discretionary,104.16,104.23,100.535,102.48
71,2021-01-29,RL,Consumer Discretionary,103.5,103.88,99.92,101.05
72,2021-01-28,RL,Consumer Discretionary,102.0,105.39,101.08,103.54
73,2021-01-27,RL,Consumer Discretionary,105.45,106.14,100.205,100.81
74,2021-01-26,RL,Consumer Discretionary,110.31,110.56,106.15,107.07
75,2021-01-25,RL,Consumer Discretionary,107.55,110.265,105.77,109.49
76,2021-01-22,RL,Consumer Discretionary,106.91,112.89,105.46,108.47
77,2021-01-21,RL,Consumer Discretionary,106.5,108.49,105.3,107.89
78,2021-01-20,RL,Consumer Discretionary,107.65,109.3366,106.36,106.59
79,2021-01-19,RL,Consumer Discretionary,109.52,110.7295,106.15,107.25
80,2021-01-15,RL,Consumer Discretionary,111.3,112.45,109.66,110.07
81,2021-01-14,RL,Consumer Discretionary,113.59,115.15,110.84,111.47
82,2021-01-13,RL,Consumer Discretionary,114.04,116.3399,111.64,112.94
83,2021-01-12,RL,Consumer Discretionary,111.02,117.0,110.575,114.51
84,2021-01-11,RL,Consumer Discretionary,110.02,111.185,108.435,110.59
85,2021-01-08,RL,Consumer Discretionary,112.3,112.83,107.83,109.48
86,2021-01-07,RL,Consumer Discretionary,111.0,113.27,110.0823,112.18
87,2021-01-06,RL,Consumer Discretionary,104.63,110.63,104.24,109.44
88,2021-01-05,RL,Consumer Discretionary,101.01,105.14,100.75,104.0
89,2021-01-04,RL,Consumer Discretionary,103.88,103.955,99.33,101.33
90,2020-12-31,RL,Consumer Discretionary,103.16,104.7,102.35,103.74
91,2020-12-30,RL,Consumer Discretionary,102.38,104.99,101.97,103.94
92,2020-12-29,RL,Consumer Discretionary,103.63,104.06,100.83,101.56
93,2020-12-28,RL,Consumer Discretionary,101.5,104.23,101.34,103.44
94,2020-12-24,RL,Consumer Discretionary,103.16,103.5,100.5,100.92
95,2020-12-23,RL,Consumer Discretionary,99.61,102.36,99.44,101.96
96,2020-12-22,RL,Consumer Discretionary,101.85,102.0,98.645,98.84
97,2020-12-21,RL,Consumer Discretionary,98.83,101.94,98.33,101.33
98,2020-12-18,RL,Consumer Discretionary,101.0,102.52,99.795,101.21
99,2020-12-17,RL,Consumer Discretionary,100.48,102.26,98.99,100.99
100,2020-12-16,RL,Consumer Discretionary,100.95,102.05,99.19,99.5
101,2020-12-15,RL,Consumer Discretionary,99.88,100.75,97.7201,100.53
102,2020-12-14,RL,Consumer Discretionary,103.29,104.76,98.74,98.9
103,2020-12-11,RL,Consumer Discretionary,105.91,105.91,100.7301,101.34
104,2020-12-10,RL,Consumer Discretionary,103.65,105.65,101.635,103.85
105,2020-12-09,RL,Consumer Discretionary,98.52,101.945,97.975,100.83
106,2020-12-08,RL,Consumer Discretionary,94.89,97.7008,94.4401,97.15
107,2020-12-07,RL,Consumer Discretionary,95.55,95.99,93.8,95.49
108,2020-12-04,RL,Consumer Discretionary,97.87,98.0,95.18,96.21
109,2020-12-03,RL,Consumer Discretionary,89.07,98.28,89.07,96.66
110,2020-12-02,RL,Consumer Discretionary,87.38,88.97,85.81,88.92
111,2020-12-01,RL,Consumer Discretionary,87.77,89.69,87.17,88.62
112,2020-11-30,RL,Consumer Discretionary,87.23,87.76,85.14,85.75
113,2020-11-27,RL,Consumer Discretionary,88.12,88.48,86.46,87.98
114,2020-11-25,RL,Consumer Discretionary,87.82,88.57,85.21,88.03
115,2020-11-24,RL,Consumer Discretionary,86.0,89.94,85.535,89.03
116,2020-11-23,RL,Consumer Discretionary,79.13,83.59,78.445,83.34
117,2020-11-20,RL,Consumer Discretionary,80.41,80.65,77.995,78.22
118,2020-11-19,RL,Consumer Discretionary,81.01,82.31,79.9,80.59
119,2020-11-18,RL,Consumer Discretionary,84.31,85.12,81.74,81.74
120,2020-11-17,RL,Consumer Discretionary,78.47,84.365,78.15,84.1
121,2020-11-16,RL,Consumer Discretionary,81.0,81.0,77.485,79.34
122,2020-11-13,RL,Consumer Discretionary,74.86,77.81,74.65,77.61
123,2020-11-12,RL,Consumer Discretionary,75.23,76.2,73.13,74.27
124,2020-11-11,RL,Consumer Discretionary,80.96,81.26,75.54,76.21
125,2020-11-10,RL,Consumer Discretionary,81.01,83.46,80.62,81.35
126,2020-11-09,RL,Consumer Discretionary,77.05,83.39,75.5,81.74
127,2020-11-06,RL,Consumer Discretionary,69.69,70.895,67.41,68.23
128,2020-11-05,RL,Consumer Discretionary,68.93,70.235,68.35,69.93
129,2020-11-04,RL,Consumer Discretionary,70.43,71.43,67.83,68.71
130,2020-11-03,RL,Consumer Discretionary,68.25,70.25,67.98,69.12
131,2020-11-02,RL,Consumer Discretionary,67.43,69.34,66.7,67.43
132,2020-10-30,RL,Consumer Discretionary,70.18,70.34,65.2,66.85
133,2020-10-29,RL,Consumer Discretionary,73.98,73.98,67.5,70.58
134,2020-10-28,RL,Consumer Discretionary,72.95,75.1,72.16,74.3
135,2020-10-27,RL,Consumer Discretionary,76.04,77.34,74.09,74.47
136,2020-10-26,RL,Consumer Discretionary,76.63,77.47,75.06,76.8
137,2020-10-23,RL,Consumer Discretionary,77.26,78.01,76.66,77.39
138,2020-10-22,RL,Consumer Discretionary,75.43,77.48,75.07,77.11
139,2020-10-21,RL,Consumer Discretionary,73.24,75.2,72.65,75.01
140,2020-10-20,RL,Consumer Discretionary,75.2,76.1,73.37,73.51
141,2020-10-19,RL,Consumer Discretionary,74.99,75.99,74.09,74.36
142,2020-10-16,RL,Consumer Discretionary,76.0,76.19,74.73,74.79
143,2020-10-15,RL,Consumer Discretionary,71.85,75.76,71.13,75.75
144,2020-10-14,RL,Consumer Discretionary,72.26,73.88,72.06,72.97
145,2020-10-13,RL,Consumer Discretionary,73.21,74.1,71.32,72.25
146,2020-10-12,RL,Consumer Discretionary,72.96,75.22,72.62,73.64
147,2020-10-09,RL,Consumer Discretionary,75.0,75.18,71.535,73.89
148,2020-10-08,RL,Consumer Discretionary,72.53,74.38,72.0,74.33
149,2020-10-07,RL,Consumer Discretionary,70.0,72.19,70.0,71.78
150,2020-10-06,RL,Consumer Discretionary,72.86,72.97,69.12,69.28
151,2020-10-05,RL,Consumer Discretionary,70.88,72.58,70.85,71.8
152,2020-10-02,RL,Consumer Discretionary,67.0,70.17,66.85,69.93
153,2020-10-01,RL,Consumer Discretionary,68.75,69.82,67.76,69.12
154,2020-09-30,RL,Consumer Discretionary,67.65,68.72,67.11,67.97
155,2020-09-29,RL,Consumer Discretionary,70.06,70.06,67.3,67.34
156,2020-09-28,RL,Consumer Discretionary,72.59,72.72,70.29,70.44
157,2020-09-25,RL,Consumer Discretionary,71.62,72.0,70.52,71.07
158,2020-09-24,RL,Consumer Discretionary,71.91,72.42,69.5,71.66
159,2020-09-23,RL,Consumer Discretionary,76.41,77.12,71.8,72.01
160,2020-09-22,RL,Consumer Discretionary,72.0,75.14,70.755,75.04
161,2020-09-21,RL,Consumer Discretionary,73.83,74.02,70.92,71.17
162,2020-09-18,RL,Consumer Discretionary,77.69,78.89,74.135,75.83
163,2020-09-17,RL,Consumer Discretionary,80.37,81.39,77.92,78.76
164,2020-09-16,RL,Consumer Discretionary,81.5,82.83,81.24,81.27
165,2020-09-15,RL,Consumer Discretionary,80.22,81.55,79.24,80.62
166,2020-09-14,RL,Consumer Discretionary,76.87,80.88,76.63,80.59
167,2020-09-11,RL,Consumer Discretionary,76.07,76.24,74.82,76.16
168,2020-09-10,RL,Consumer Discretionary,74.09,76.5,73.78,75.51
169,2020-09-09,RL,Consumer Discretionary,74.55,74.65,72.69,73.51
170,2020-09-08,RL,Consumer Discretionary,73.22,76.075,72.61,75.06
171,2020-09-04,RL,Consumer Discretionary,74.51,75.08,72.6907,74.05
172,2020-09-03,RL,Consumer Discretionary,72.36,74.62,71.93,74.15
173,2020-09-02,RL,Consumer Discretionary,69.99,71.75,69.61,71.59
174,2020-09-01,RL,Consumer Discretionary,68.31,69.29,67.69,69.17
175,2020-08-31,RL,Consumer Discretionary,70.79,70.875,68.4,68.83
176,2020-08-28,RL,Consumer Discretionary,68.63,71.28,68.35,71.19
177,2020-08-27,RL,Consumer Discretionary,68.1,69.75,67.7,68.24
178,2020-08-26,RL,Consumer Discretionary,69.12,69.35,67.57,67.65
179,2020-08-25,RL,Consumer Discretionary,70.87,70.9,68.75,69.12
180,2020-08-24,RL,Consumer Discretionary,67.2,70.42,66.74,70.25
181,2020-08-21,RL,Consumer Discretionary,67.44,67.79,66.26,67.05
182,2020-08-20,RL,Consumer Discretionary,67.24,68.0,66.53,67.27
183,2020-08-19,RL,Consumer Discretionary,67.82,69.52,67.42,67.55
184,2020-08-18,RL,Consumer Discretionary,70.7,70.7,68.42,68.5
185,2020-08-17,RL,Consumer Discretionary,70.54,70.96,68.53,70.9
186,2020-08-14,RL,Consumer Discretionary,69.44,71.27,68.05,70.66
187,2020-08-13,RL,Consumer Discretionary,69.99,70.37,69.09,70.13
188,2020-08-12,RL,Consumer Discretionary,71.1,71.48,67.93,69.81
