,date,symbol,sector,open,high,low,close
0,2021-05-12,RMD,Health Care,191.9,193.68,189.83,192.32
1,2021-05-11,RMD,Health Care,191.8,195.95,191.04,194.75
2,2021-05-10,RMD,Health Care,196.0,196.48,193.19,193.21
3,2021-05-07,RMD,Health Care,193.85,197.5,193.595,195.16
4,2021-05-06,RMD,Health Care,192.13,193.29,189.623,193.1
5,2021-05-05,RMD,Health Care,192.08,192.995,191.45,192.6
6,2021-05-04,RMD,Health Care,193.41,194.01,187.63,192.17
7,2021-05-03,RMD,Health Care,190.55,194.9,189.3913,194.74
8,2021-04-30,RMD,Health Care,198.0,198.5,187.09,187.97
9,2021-04-29,RMD,Health Care,210.67,211.71,206.74,207.91
10,2021-04-28,RMD,Health Care,210.04,211.8,209.45,210.14
11,2021-04-27,RMD,Health Care,210.75,212.24,209.76,210.67
12,2021-04-26,RMD,Health Care,209.71,212.75,209.02,210.89
13,2021-04-23,RMD,Health Care,208.8,209.57,207.2297,209.3
14,2021-04-22,RMD,Health Care,208.38,209.87,207.32,208.22
15,2021-04-21,RMD,Health Care,206.88,208.99,206.385,208.51
16,2021-04-20,RMD,Health Care,206.05,207.38,204.89,205.7
17,2021-04-19,RMD,Health Care,206.63,207.0,204.6,205.66
18,2021-04-16,RMD,Health Care,205.63,207.82,204.48,207.51
19,2021-04-15,RMD,Health Care,207.45,208.28,203.75,204.2
20,2021-04-14,RMD,Health Care,205.08,208.93,205.08,207.68
21,2021-04-13,RMD,Health Care,202.0,206.09,201.17,205.45
22,2021-04-12,RMD,Health Care,198.47,201.84,198.47,201.74
23,2021-04-09,RMD,Health Care,198.09,199.17,197.44,199.16
24,2021-04-08,RMD,Health Care,198.61,198.81,196.57,197.24
25,2021-04-07,RMD,Health Care,196.99,198.7,195.79,197.12
26,2021-04-06,RMD,Health Care,195.33,197.29,194.89,196.29
27,2021-04-05,RMD,Health Care,196.15,196.52,194.09,195.11
28,2021-04-01,RMD,Health Care,194.14,194.98,192.47,194.44
29,2021-03-31,RMD,Health Care,191.34,195.87,190.405,194.02
30,2021-03-30,RMD,Health Care,190.03,191.19,187.19,189.31
31,2021-03-29,RMD,Health Care,190.0,192.42,189.59,191.05
32,2021-03-26,RMD,Health Care,186.64,191.04,185.61,190.93
33,2021-03-25,RMD,Health Care,191.99,191.99,186.09,187.53
34,2021-03-24,RMD,Health Care,193.51,195.46,191.39,192.18
35,2021-03-23,RMD,Health Care,191.07,192.23,188.93,190.74
36,2021-03-22,RMD,Health Care,185.17,189.84,184.73,189.79
37,2021-03-19,RMD,Health Care,185.62,186.41,184.61,185.6
38,2021-03-18,RMD,Health Care,190.01,191.1,184.85,185.09
39,2021-03-17,RMD,Health Care,191.26,192.1,189.61,191.47
40,2021-03-16,RMD,Health Care,192.04,193.48,190.605,191.99
41,2021-03-15,RMD,Health Care,185.48,187.615,185.48,187.09
42,2021-03-12,RMD,Health Care,185.74,186.54,184.48,185.12
43,2021-03-11,RMD,Health Care,187.53,188.3,186.25,186.71
44,2021-03-10,RMD,Health Care,184.85,186.77,183.69,185.39
45,2021-03-09,RMD,Health Care,181.25,185.24,180.72,182.26
46,2021-03-08,RMD,Health Care,185.05,186.1,179.37,179.46
47,2021-03-05,RMD,Health Care,185.78,185.78,181.27,185.05
48,2021-03-04,RMD,Health Care,189.52,190.16,181.28,183.05
49,2021-03-03,RMD,Health Care,191.8,191.8,188.47,190.21
50,2021-03-02,RMD,Health Care,195.82,196.38,192.35,193.21
51,2021-03-01,RMD,Health Care,194.34,196.9,194.34,195.62
52,2021-02-26,RMD,Health Care,195.23,195.47,190.7401,192.78
53,2021-02-25,RMD,Health Care,199.67,200.82,193.91,194.98
54,2021-02-24,RMD,Health Care,199.56,202.97,199.01,200.97
55,2021-02-23,RMD,Health Care,200.25,201.7,198.54,200.09
56,2021-02-22,RMD,Health Care,200.06,201.12,198.44,200.02
57,2021-02-19,RMD,Health Care,200.07,203.22,200.07,201.18
58,2021-02-18,RMD,Health Care,197.68,201.4499,196.21,199.88
59,2021-02-17,RMD,Health Care,193.27,201.59,191.1,199.73
60,2021-02-16,RMD,Health Care,200.46,200.46,193.02,194.1
61,2021-02-12,RMD,Health Care,199.86,200.95,198.74,200.55
62,2021-02-11,RMD,Health Care,201.64,202.2,199.52,200.53
63,2021-02-10,RMD,Health Care,201.37,201.55,199.11,200.4
64,2021-02-09,RMD,Health Care,201.61,203.47,199.59,199.86
65,2021-02-08,RMD,Health Care,202.61,204.03,200.8,201.55
66,2021-02-05,RMD,Health Care,204.89,207.08,200.755,202.17
67,2021-02-04,RMD,Health Care,203.15,206.22,201.83,204.06
68,2021-02-03,RMD,Health Care,204.42,206.24,203.0,203.21
69,2021-02-02,RMD,Health Care,204.29,208.88,203.93,206.67
70,2021-02-01,RMD,Health Care,203.76,203.9257,198.82,202.67
71,2021-01-29,RMD,Health Care,212.7,212.7,198.9,201.57
72,2021-01-28,RMD,Health Care,215.72,219.98,214.28,215.93
73,2021-01-27,RMD,Health Care,219.13,220.75,213.02,214.06
74,2021-01-26,RMD,Health Care,221.46,224.43,219.25,222.28
75,2021-01-25,RMD,Health Care,215.93,224.0,215.735,221.68
76,2021-01-22,RMD,Health Care,217.42,217.47,214.61,215.52
77,2021-01-21,RMD,Health Care,218.29,218.56,214.07,217.07
