,date,symbol,sector,open,high,low,close
0,2021-05-12,ROK,Industrials,266.38,269.39,260.44,260.54
1,2021-05-11,ROK,Industrials,269.02,270.17,266.0,268.31
2,2021-05-10,ROK,Industrials,271.04,274.1399,270.3476,270.81
3,2021-05-07,ROK,Industrials,267.31,271.29,265.94,270.68
4,2021-05-06,ROK,Industrials,267.0,268.63,264.8,268.5
5,2021-05-05,ROK,Industrials,264.065,268.46,266.08,266.53
6,2021-05-04,ROK,Industrials,259.69,263.44,258.21,262.6
7,2021-05-03,ROK,Industrials,266.8,266.8,260.52,261.17
8,2021-04-30,ROK,Industrials,265.11,267.465,263.15,264.26
9,2021-04-29,ROK,Industrials,269.46,271.76,266.79,267.77
10,2021-04-28,ROK,Industrials,266.96,269.56,263.363,266.25
11,2021-04-27,ROK,Industrials,268.8,270.46,266.52,268.62
12,2021-04-26,ROK,Industrials,268.83,272.55,266.12,267.42
13,2021-04-23,ROK,Industrials,265.67,269.425,265.19,269.06
14,2021-04-22,ROK,Industrials,268.37,268.37,263.955,265.05
15,2021-04-21,ROK,Industrials,263.33,267.89,263.15,267.82
16,2021-04-20,ROK,Industrials,267.81,268.0,261.3566,263.22
17,2021-04-19,ROK,Industrials,264.9,267.2,263.765,267.1
18,2021-04-16,ROK,Industrials,267.44,269.62,265.55,265.85
19,2021-04-15,ROK,Industrials,260.28,264.6,259.86,264.28
20,2021-04-14,ROK,Industrials,262.76,263.46,259.36,259.6
21,2021-04-13,ROK,Industrials,260.27,262.48,258.78,261.94
22,2021-04-12,ROK,Industrials,264.08,266.765,263.5,265.09
23,2021-04-09,ROK,Industrials,263.13,265.09,257.17,264.59
24,2021-04-08,ROK,Industrials,260.97,262.18,259.25,261.04
25,2021-04-07,ROK,Industrials,261.35,262.67,259.44,261.27
26,2021-04-06,ROK,Industrials,266.32,267.8999,261.85,262.92
27,2021-04-05,ROK,Industrials,265.99,268.06,264.72,267.66
28,2021-04-01,ROK,Industrials,266.64,266.98,261.555,263.44
29,2021-03-31,ROK,Industrials,268.51,270.145,264.405,265.44
30,2021-03-30,ROK,Industrials,269.74,272.2,266.44,267.64
31,2021-03-29,ROK,Industrials,273.0,275.43,270.21,270.32
