,date,symbol,sector,open,high,low,close
0,2021-05-12,ROL,Industrials,36.6,36.685,35.75,35.75
1,2021-05-11,ROL,Industrials,36.9,37.02,36.57,36.95
2,2021-05-10,ROL,Industrials,37.16,37.69,36.99,37.22
3,2021-05-07,ROL,Industrials,36.81,37.2396,36.63,37.12
4,2021-05-06,ROL,Industrials,37.04,37.16,36.525,36.97
5,2021-05-05,ROL,Industrials,37.91,37.31,37.02,37.1
6,2021-05-04,ROL,Industrials,37.65,37.88,37.25,37.61
7,2021-05-03,ROL,Industrials,37.5,38.11,37.45,37.75
8,2021-04-30,ROL,Industrials,37.26,37.335,36.86,37.28
9,2021-04-29,ROL,Industrials,36.65,37.5,36.25,37.36
10,2021-04-28,ROL,Industrials,36.63,37.4,36.14,36.41
11,2021-04-27,ROL,Industrials,36.05,36.285,35.5,35.92
12,2021-04-26,ROL,Industrials,35.87,36.22,35.73,35.91
13,2021-04-23,ROL,Industrials,35.39,35.99,35.3,35.8
14,2021-04-22,ROL,Industrials,35.3,35.69,35.25,35.29
15,2021-04-21,ROL,Industrials,35.24,35.52,35.0988,35.18
16,2021-04-20,ROL,Industrials,34.75,35.3,34.75,35.18
17,2021-04-19,ROL,Industrials,35.3,35.4,34.65,34.81
18,2021-04-16,ROL,Industrials,35.4,35.4,35.0,35.27
19,2021-04-15,ROL,Industrials,34.89,35.26,34.74,35.23
20,2021-04-14,ROL,Industrials,34.96,35.235,34.555,34.7
21,2021-04-13,ROL,Industrials,35.29,35.475,34.81,34.91
22,2021-04-12,ROL,Industrials,35.4,35.63,35.195,35.62
23,2021-04-09,ROL,Industrials,34.95,35.5,34.83,35.43
24,2021-04-08,ROL,Industrials,34.74,35.06,34.52,34.96
25,2021-04-07,ROL,Industrials,35.32,35.32,34.47,34.48
26,2021-04-06,ROL,Industrials,35.36,35.7,35.01,35.29
27,2021-04-05,ROL,Industrials,34.85,35.52,34.85,35.39
28,2021-04-01,ROL,Industrials,34.76,35.17,34.5,34.83
29,2021-03-31,ROL,Industrials,33.96,34.96,33.93,34.42
30,2021-03-30,ROL,Industrials,34.15,34.2,33.8,33.92
31,2021-03-29,ROL,Industrials,34.12,34.43,33.93,34.18
32,2021-03-26,ROL,Industrials,33.95,34.3,33.64,34.19
33,2021-03-25,ROL,Industrials,33.81,34.065,33.31,33.91
34,2021-03-24,ROL,Industrials,33.74,34.05,33.47,33.81
35,2021-03-23,ROL,Industrials,34.32,34.65,33.895,33.96
36,2021-03-22,ROL,Industrials,33.98,34.485,33.54,34.37
37,2021-03-19,ROL,Industrials,33.04,34.01,32.36,33.78
38,2021-03-18,ROL,Industrials,32.53,33.36,32.2,33.01
39,2021-03-17,ROL,Industrials,32.89,33.08,32.58,32.67
40,2021-03-16,ROL,Industrials,33.41,33.65,32.83,32.98
41,2021-03-15,ROL,Industrials,33.03,33.79,32.57,33.62
42,2021-03-12,ROL,Industrials,33.2,33.43,32.63,33.04
43,2021-03-11,ROL,Industrials,33.6,33.86,33.22,33.25
44,2021-03-10,ROL,Industrials,33.01,33.57,32.98,33.27
45,2021-03-09,ROL,Industrials,32.96,33.59,32.755,32.92
46,2021-03-08,ROL,Industrials,33.02,33.27,32.465,32.49
47,2021-03-05,ROL,Industrials,32.16,33.04,31.44,32.94
48,2021-03-04,ROL,Industrials,32.45,32.78,31.58,31.9
49,2021-03-03,ROL,Industrials,33.5,33.5,32.45,32.46
50,2021-03-02,ROL,Industrials,34.09,34.1641,33.42,33.5
51,2021-03-01,ROL,Industrials,33.26,34.43,33.26,34.07
52,2021-02-26,ROL,Industrials,34.04,34.18,33.13,33.17
53,2021-02-25,ROL,Industrials,35.3,35.75,33.86,34.0
54,2021-02-24,ROL,Industrials,35.34,35.89,34.81,35.46
55,2021-02-23,ROL,Industrials,35.0,35.54,34.6,35.39
56,2021-02-22,ROL,Industrials,35.7,35.76,35.01,35.08
57,2021-02-19,ROL,Industrials,36.68,36.68,35.76,35.81
58,2021-02-18,ROL,Industrials,36.4,36.92,36.32,36.56
59,2021-02-17,ROL,Industrials,36.66,36.7599,36.06,36.6
60,2021-02-16,ROL,Industrials,37.58,37.62,36.83,36.84
61,2021-02-12,ROL,Industrials,37.38,37.66,37.16,37.59
62,2021-02-11,ROL,Industrials,38.06,38.32,37.4511,37.65
63,2021-02-10,ROL,Industrials,38.1,38.24,37.58,37.93
64,2021-02-09,ROL,Industrials,37.34,37.98,37.13,37.92
65,2021-02-08,ROL,Industrials,37.78,37.95,36.925,37.23
66,2021-02-05,ROL,Industrials,37.46,37.6,37.18,37.55
67,2021-02-04,ROL,Industrials,36.67,37.29,36.575,37.18
68,2021-02-03,ROL,Industrials,36.99,37.47,36.18,36.61
69,2021-02-02,ROL,Industrials,36.43,37.35,36.32,37.0
70,2021-02-01,ROL,Industrials,36.59,36.75,35.89,36.22
71,2021-01-29,ROL,Industrials,35.88,36.51,35.735,36.02
72,2021-01-28,ROL,Industrials,35.3,36.4,34.65,35.98
73,2021-01-27,ROL,Industrials,36.41,36.69,34.09,34.95
74,2021-01-26,ROL,Industrials,37.24,37.36,35.69,37.04
75,2021-01-25,ROL,Industrials,36.94,37.19,36.38,37.15
76,2021-01-22,ROL,Industrials,37.21,37.285,36.26,37.02
77,2021-01-21,ROL,Industrials,37.61,37.86,37.05,37.2
78,2021-01-20,ROL,Industrials,37.0,37.96,36.62,37.76
79,2021-01-19,ROL,Industrials,37.47,37.65,36.47,36.86
80,2021-01-15,ROL,Industrials,37.47,37.9999,37.02,37.24
81,2021-01-14,ROL,Industrials,39.79,39.79,37.38,37.47
82,2021-01-13,ROL,Industrials,41.83,41.83,39.81,39.86
83,2021-01-12,ROL,Industrials,41.0,41.76,40.895,41.51
84,2021-01-11,ROL,Industrials,40.5,41.23,40.5,40.91
85,2021-01-08,ROL,Industrials,40.27,40.86,40.145,40.8
86,2021-01-07,ROL,Industrials,39.65,40.26,39.4,40.17
87,2021-01-06,ROL,Industrials,38.58,39.84,38.265,39.51
88,2021-01-05,ROL,Industrials,38.07,38.94,38.02,38.87
89,2021-01-04,ROL,Industrials,39.31,39.98,38.02,38.24
90,2020-12-31,ROL,Industrials,38.27,39.13,37.855,39.07
91,2020-12-30,ROL,Industrials,37.89,38.62,37.87,38.25
92,2020-12-29,ROL,Industrials,39.05,39.14,37.94,38.12
93,2020-12-28,ROL,Industrials,40.24,40.25,38.54,38.81
94,2020-12-24,ROL,Industrials,40.01,40.41,39.84,40.05
95,2020-12-23,ROL,Industrials,40.96,41.22,39.81,39.84
96,2020-12-22,ROL,Industrials,39.86,40.94,39.77,40.85
97,2020-12-21,ROL,Industrials,40.01,40.24,38.8075,39.77
98,2020-12-18,ROL,Industrials,40.18,40.92,39.98,40.6
99,2020-12-17,ROL,Industrials,39.29,40.26,39.13,40.21
100,2020-12-16,ROL,Industrials,39.11,39.89,39.06,39.2
101,2020-12-15,ROL,Industrials,38.74,39.39,38.2,38.93
102,2020-12-14,ROL,Industrials,36.67,38.61,36.52,38.46
103,2020-12-11,ROL,Industrials,36.26,37.15,35.99,36.67
104,2020-12-10,ROL,Industrials,36.3333,36.5667,35.88,36.0933
105,2020-12-09,ROL,Industrials,37.78,38.0133,36.3333,36.3733
106,2020-12-08,ROL,Industrials,37.2067,37.7733,36.9267,37.6667
107,2020-12-07,ROL,Industrials,37.0333,37.6067,36.8667,37.34
108,2020-12-04,ROL,Industrials,36.76,37.42,36.76,37.0333
109,2020-12-03,ROL,Industrials,36.66,37.3467,36.66,36.7667
110,2020-12-02,ROL,Industrials,38.36,38.36,36.7633,36.7733
111,2020-12-01,ROL,Industrials,37.96,38.78,37.9133,38.36
112,2020-11-30,ROL,Industrials,38.1133,38.3133,37.57,38.12
113,2020-11-27,ROL,Industrials,37.4067,38.0333,37.1,38.02
114,2020-11-25,ROL,Industrials,37.6867,38.0067,37.1533,37.2933
115,2020-11-24,ROL,Industrials,38.1267,38.1667,37.5933,37.6867
116,2020-11-23,ROL,Industrials,38.6333,38.7667,37.8133,38.0533
117,2020-11-20,ROL,Industrials,39.2667,39.28,38.3267,38.4133
118,2020-11-19,ROL,Industrials,38.6733,39.3067,38.22,39.1333
119,2020-11-18,ROL,Industrials,38.6867,39.1067,38.34,38.4267
120,2020-11-17,ROL,Industrials,39.1667,39.7,38.4567,38.6667
121,2020-11-16,ROL,Industrials,39.08,39.4407,37.9067,39.2867
122,2020-11-13,ROL,Industrials,39.1933,39.5667,38.7667,39.22
123,2020-11-12,ROL,Industrials,39.68,39.96,38.8533,39.0267
124,2020-11-11,ROL,Industrials,38.0667,39.75,37.9267,39.5933
125,2020-11-10,ROL,Industrials,37.9733,38.58,37.46,37.8733
126,2020-11-09,ROL,Industrials,42.6333,43.0,37.96,37.96
127,2020-11-06,ROL,Industrials,42.24,42.5867,41.9333,42.1067
128,2020-11-05,ROL,Industrials,41.3533,42.56,41.3333,42.1933
129,2020-11-04,ROL,Industrials,39.7867,41.2367,39.5733,40.8867
130,2020-11-03,ROL,Industrials,39.1133,39.7,39.0067,39.6133
131,2020-11-02,ROL,Industrials,38.7867,39.2933,38.5867,38.7667
132,2020-10-30,ROL,Industrials,39.26,39.4267,38.2067,38.5667
133,2020-10-29,ROL,Industrials,41.1467,41.1467,39.4667,39.4667
134,2020-10-28,ROL,Industrials,38.88,41.62,38.12,40.9067
135,2020-10-27,ROL,Industrials,39.7733,39.8933,39.2933,39.5267
136,2020-10-26,ROL,Industrials,39.94,39.94,39.3533,39.6667
137,2020-10-23,ROL,Industrials,39.66,40.3533,39.48,40.1333
138,2020-10-22,ROL,Industrials,39.58,39.8097,39.2,39.6333
139,2020-10-21,ROL,Industrials,39.9333,40.0667,39.4133,39.4733
140,2020-10-20,ROL,Industrials,39.6267,40.32,39.6,39.8333
141,2020-10-19,ROL,Industrials,39.8,40.24,39.1533,39.48
142,2020-10-16,ROL,Industrials,39.8133,40.48,39.7,39.8467
143,2020-10-15,ROL,Industrials,38.9667,39.9533,38.7171,39.6467
