,date,symbol,sector,open,high,low,close
0,2021-05-12,ROP,Industrials,439.73,439.73,427.22,429.38
1,2021-05-11,ROP,Industrials,442.46,444.6315,434.91,440.4
2,2021-05-10,ROP,Industrials,445.93,450.5,443.98,444.4
3,2021-05-07,ROP,Industrials,446.2,449.49,444.13,444.46
4,2021-05-06,ROP,Industrials,448.66,452.24,441.9,446.2
5,2021-05-05,ROP,Industrials,449.46,450.48,443.85,450.15
6,2021-05-04,ROP,Industrials,445.0,450.0,442.21,448.38
7,2021-05-03,ROP,Industrials,447.08,449.54,441.85,445.07
8,2021-04-30,ROP,Industrials,445.91,447.58,443.38,446.44
9,2021-04-29,ROP,Industrials,442.93,448.38,441.31,445.85
10,2021-04-28,ROP,Industrials,447.14,447.84,439.04,442.34
11,2021-04-27,ROP,Industrials,432.15,447.935,430.07,445.86
12,2021-04-26,ROP,Industrials,433.48,437.9,431.42,432.37
13,2021-04-23,ROP,Industrials,432.59,435.9,429.97,434.22
14,2021-04-22,ROP,Industrials,429.49,434.73,428.28,431.13
15,2021-04-21,ROP,Industrials,427.01,432.6,425.4,429.65
16,2021-04-20,ROP,Industrials,424.15,427.96,421.745,426.55
17,2021-04-19,ROP,Industrials,424.3,426.64,421.28,425.46
18,2021-04-16,ROP,Industrials,428.56,428.56,420.19,423.29
19,2021-04-15,ROP,Industrials,421.16,425.0,420.17,424.95
20,2021-04-14,ROP,Industrials,421.55,425.505,418.12,419.0
21,2021-04-13,ROP,Industrials,425.54,425.54,420.57,421.62
22,2021-04-12,ROP,Industrials,420.54,425.8,420.54,425.65
23,2021-04-09,ROP,Industrials,420.0,422.99,418.47,421.58
24,2021-04-08,ROP,Industrials,417.44,422.04,416.97,418.2
25,2021-04-07,ROP,Industrials,414.08,418.52,414.08,414.74
26,2021-04-06,ROP,Industrials,417.04,420.335,414.19,415.64
27,2021-04-05,ROP,Industrials,412.2,416.9944,412.2,414.84
28,2021-04-01,ROP,Industrials,405.33,411.5303,403.545,410.35
29,2021-03-31,ROP,Industrials,404.69,407.085,401.71,403.34
30,2021-03-30,ROP,Industrials,408.0,408.39,401.88,403.01
31,2021-03-29,ROP,Industrials,407.7,409.81,401.77,408.35
32,2021-03-26,ROP,Industrials,404.2,410.57,401.79,410.36
33,2021-03-25,ROP,Industrials,406.21,406.25,397.88,403.35
34,2021-03-24,ROP,Industrials,404.01,410.24,403.65,406.28
35,2021-03-23,ROP,Industrials,398.5,406.75,398.5,404.66
36,2021-03-22,ROP,Industrials,393.39,403.565,391.02,401.29
37,2021-03-19,ROP,Industrials,400.72,402.33,394.57,395.0
38,2021-03-18,ROP,Industrials,399.16,407.99,397.45,401.27
39,2021-03-17,ROP,Industrials,392.5,399.28,389.79,393.55
40,2021-03-16,ROP,Industrials,390.98,392.48,385.02,387.98
41,2021-03-15,ROP,Industrials,387.12,394.18,385.53,390.86
42,2021-03-12,ROP,Industrials,389.32,390.5043,384.77,386.37
43,2021-03-11,ROP,Industrials,386.36,391.24,384.0378,387.44
44,2021-03-10,ROP,Industrials,391.58,391.7,384.33,386.06
45,2021-03-09,ROP,Industrials,386.24,396.06,386.24,389.67
46,2021-03-08,ROP,Industrials,378.34,391.03,375.92,385.38
47,2021-03-05,ROP,Industrials,374.84,378.67,367.2,376.94
48,2021-03-04,ROP,Industrials,379.89,380.4558,365.23,371.89
49,2021-03-03,ROP,Industrials,379.78,386.0,378.7,380.59
50,2021-03-02,ROP,Industrials,387.02,387.38,378.04,381.09
51,2021-03-01,ROP,Industrials,379.73,388.23,379.73,384.92
52,2021-02-26,ROP,Industrials,381.8,385.52,377.62,377.62
53,2021-02-25,ROP,Industrials,377.94,381.24,373.315,379.11
54,2021-02-24,ROP,Industrials,387.07,388.35,373.25,378.82
55,2021-02-23,ROP,Industrials,386.11,391.87,377.19,387.84
56,2021-02-22,ROP,Industrials,386.93,390.15,382.56,383.92
57,2021-02-19,ROP,Industrials,395.55,396.79,386.77,388.91
58,2021-02-18,ROP,Industrials,385.85,396.35,384.56,395.55
59,2021-02-17,ROP,Industrials,383.8,388.18,376.94,387.12
60,2021-02-16,ROP,Industrials,397.98,398.15,383.61,383.8
61,2021-02-12,ROP,Industrials,397.51,402.09,395.0,396.02
62,2021-02-11,ROP,Industrials,402.77,404.65,397.76,400.01
63,2021-02-10,ROP,Industrials,407.55,407.55,400.63,401.85
64,2021-02-09,ROP,Industrials,407.34,409.38,402.23,403.73
65,2021-02-08,ROP,Industrials,405.69,409.14,403.21,407.16
66,2021-02-05,ROP,Industrials,406.6,411.69,404.25,404.95
67,2021-02-04,ROP,Industrials,403.48,406.0,400.98,403.75
