,date,symbol,sector,open,high,low,close
0,2021-05-12,ROST,Consumer Discretionary,127.73,128.43,123.51,124.09
1,2021-05-11,ROST,Consumer Discretionary,130.18,130.18,126.34,129.12
2,2021-05-10,ROST,Consumer Discretionary,133.6,134.215,130.87,130.96
3,2021-05-07,ROST,Consumer Discretionary,128.56,133.32,128.37,132.96
4,2021-05-06,ROST,Consumer Discretionary,129.25,129.8,127.71,129.06
5,2021-05-05,ROST,Consumer Discretionary,132.2,132.98,128.36,128.72
6,2021-05-04,ROST,Consumer Discretionary,131.15,132.05,129.99,131.99
7,2021-05-03,ROST,Consumer Discretionary,131.31,133.17,130.92,132.13
8,2021-04-30,ROST,Consumer Discretionary,131.41,132.8,130.13,130.94
9,2021-04-29,ROST,Consumer Discretionary,129.06,131.27,128.815,131.18
10,2021-04-28,ROST,Consumer Discretionary,128.56,129.59,128.005,128.52
11,2021-04-27,ROST,Consumer Discretionary,127.17,129.72,126.87,129.17
12,2021-04-26,ROST,Consumer Discretionary,128.6,129.03,126.45,127.19
13,2021-04-23,ROST,Consumer Discretionary,127.95,129.45,127.13,128.82
14,2021-04-22,ROST,Consumer Discretionary,127.38,129.48,127.14,127.84
15,2021-04-21,ROST,Consumer Discretionary,125.15,127.77,124.5,127.37
16,2021-04-20,ROST,Consumer Discretionary,126.73,126.73,123.64,124.96
17,2021-04-19,ROST,Consumer Discretionary,129.5,130.0,127.205,127.49
18,2021-04-16,ROST,Consumer Discretionary,129.51,130.08,129.215,129.91
19,2021-04-15,ROST,Consumer Discretionary,128.16,129.64,127.84,129.07
20,2021-04-14,ROST,Consumer Discretionary,126.7,127.63,125.87,126.87
21,2021-04-13,ROST,Consumer Discretionary,127.98,127.98,124.8,126.39
22,2021-04-12,ROST,Consumer Discretionary,128.19,128.475,126.63,128.0
23,2021-04-09,ROST,Consumer Discretionary,127.24,128.57,126.17,128.22
24,2021-04-08,ROST,Consumer Discretionary,124.14,127.64,122.58,127.45
25,2021-04-07,ROST,Consumer Discretionary,123.33,124.36,122.53,123.41
26,2021-04-06,ROST,Consumer Discretionary,122.73,124.24,122.2,123.5
27,2021-04-05,ROST,Consumer Discretionary,121.85,123.08,120.48,122.98
28,2021-04-01,ROST,Consumer Discretionary,121.35,121.65,119.5,120.51
29,2021-03-31,ROST,Consumer Discretionary,119.91,122.56,119.52,119.91
30,2021-03-30,ROST,Consumer Discretionary,118.9,121.66,118.8,120.38
31,2021-03-29,ROST,Consumer Discretionary,121.66,123.13,118.36,120.03
32,2021-03-26,ROST,Consumer Discretionary,119.52,122.49,119.16,122.36
33,2021-03-25,ROST,Consumer Discretionary,113.68,119.47,113.68,118.99
34,2021-03-24,ROST,Consumer Discretionary,116.7606,119.26,115.4,115.48
35,2021-03-23,ROST,Consumer Discretionary,122.0,122.0,115.59,116.68
36,2021-03-22,ROST,Consumer Discretionary,122.29,122.49,118.82,120.66
37,2021-03-19,ROST,Consumer Discretionary,119.89,122.68,119.32,121.31
38,2021-03-18,ROST,Consumer Discretionary,123.08,125.225,122.22,123.17
39,2021-03-17,ROST,Consumer Discretionary,122.83,124.43,122.26,123.68
40,2021-03-16,ROST,Consumer Discretionary,124.2,124.2,121.64,123.39
41,2021-03-15,ROST,Consumer Discretionary,122.62,126.12,122.28,125.27
42,2021-03-12,ROST,Consumer Discretionary,121.26,122.9,120.25,122.62
43,2021-03-11,ROST,Consumer Discretionary,121.93,123.69,120.695,120.87
44,2021-03-10,ROST,Consumer Discretionary,125.34,126.2135,121.38,121.57
45,2021-03-09,ROST,Consumer Discretionary,122.12,127.08,121.17,124.98
46,2021-03-08,ROST,Consumer Discretionary,114.66,121.01,113.42,120.37
47,2021-03-05,ROST,Consumer Discretionary,113.79,113.95,109.56,113.13
48,2021-03-04,ROST,Consumer Discretionary,110.73,112.34,108.505,112.02
49,2021-03-03,ROST,Consumer Discretionary,114.0,116.51,110.84,111.05
50,2021-03-02,ROST,Consumer Discretionary,120.6,121.0,116.37,117.64
51,2021-03-01,ROST,Consumer Discretionary,118.25,121.79,117.81,120.57
52,2021-02-26,ROST,Consumer Discretionary,119.94,119.99,115.925,116.64
53,2021-02-25,ROST,Consumer Discretionary,123.85,123.85,118.61,118.77
54,2021-02-24,ROST,Consumer Discretionary,119.15,123.9,119.05,123.61
55,2021-02-23,ROST,Consumer Discretionary,121.55,123.0,119.15,120.26
56,2021-02-22,ROST,Consumer Discretionary,118.02,121.74,118.02,121.5
57,2021-02-19,ROST,Consumer Discretionary,120.29,120.88,118.665,118.95
58,2021-02-18,ROST,Consumer Discretionary,118.31,120.9,117.68,120.21
59,2021-02-17,ROST,Consumer Discretionary,119.34,119.94,118.17,119.47
60,2021-02-16,ROST,Consumer Discretionary,119.16,120.44,118.03,119.93
61,2021-02-12,ROST,Consumer Discretionary,120.94,122.06,118.535,119.09
62,2021-02-11,ROST,Consumer Discretionary,120.96,123.415,120.51,121.88
63,2021-02-10,ROST,Consumer Discretionary,120.61,120.84,119.69,120.28
64,2021-02-09,ROST,Consumer Discretionary,120.6,120.79,119.636,120.05
65,2021-02-08,ROST,Consumer Discretionary,118.96,120.72,117.855,120.66
66,2021-02-05,ROST,Consumer Discretionary,120.2,120.64,117.82,118.72
67,2021-02-04,ROST,Consumer Discretionary,118.06,120.45,117.59,118.75
68,2021-02-03,ROST,Consumer Discretionary,116.31,118.92,116.0,117.69
69,2021-02-02,ROST,Consumer Discretionary,113.47,116.87,113.08,116.275
70,2021-02-01,ROST,Consumer Discretionary,112.64,113.135,111.28,112.41
71,2021-01-29,ROST,Consumer Discretionary,111.96,112.97,110.38,111.29
72,2021-01-28,ROST,Consumer Discretionary,110.06,116.15,109.35,113.79
73,2021-01-27,ROST,Consumer Discretionary,109.58,111.1,107.22,107.89
74,2021-01-26,ROST,Consumer Discretionary,113.48,114.47,111.22,111.66
75,2021-01-25,ROST,Consumer Discretionary,112.58,114.02,111.1,113.54
76,2021-01-22,ROST,Consumer Discretionary,114.95,115.45,112.45,113.33
77,2021-01-21,ROST,Consumer Discretionary,115.29,116.53,114.37,115.39
78,2021-01-20,ROST,Consumer Discretionary,114.18,116.91,113.85,115.06
79,2021-01-19,ROST,Consumer Discretionary,117.02,117.81,113.34,113.98
80,2021-01-15,ROST,Consumer Discretionary,115.49,117.37,114.19,116.97
81,2021-01-14,ROST,Consumer Discretionary,119.41,119.7725,116.015,117.07
82,2021-01-13,ROST,Consumer Discretionary,119.76,120.99,118.55,119.16
83,2021-01-12,ROST,Consumer Discretionary,120.06,122.425,119.8,121.16
84,2021-01-11,ROST,Consumer Discretionary,121.32,122.085,120.4,120.87
85,2021-01-08,ROST,Consumer Discretionary,121.96,123.8,121.2,122.41
86,2021-01-07,ROST,Consumer Discretionary,121.4,123.03,121.04,122.02
87,2021-01-06,ROST,Consumer Discretionary,115.9,123.14,115.9,122.29
88,2021-01-05,ROST,Consumer Discretionary,117.04,117.95,115.98,117.17
89,2021-01-04,ROST,Consumer Discretionary,122.535,123.24,116.477,117.07
90,2020-12-31,ROST,Consumer Discretionary,122.45,123.44,121.71,122.81
91,2020-12-30,ROST,Consumer Discretionary,121.47,123.315,121.36,122.49
92,2020-12-29,ROST,Consumer Discretionary,122.59,123.4,121.26,121.46
93,2020-12-28,ROST,Consumer Discretionary,119.46,123.0,118.59,122.62
94,2020-12-24,ROST,Consumer Discretionary,118.29,118.29,116.84,118.02
95,2020-12-23,ROST,Consumer Discretionary,117.22,118.92,117.22,118.14
96,2020-12-22,ROST,Consumer Discretionary,116.38,117.615,115.52,116.74
97,2020-12-21,ROST,Consumer Discretionary,114.16,117.91,113.98,116.79
98,2020-12-18,ROST,Consumer Discretionary,116.71,118.43,116.23,117.66
99,2020-12-17,ROST,Consumer Discretionary,114.27,116.87,113.38,116.69
100,2020-12-16,ROST,Consumer Discretionary,112.88,115.35,112.595,113.43
101,2020-12-15,ROST,Consumer Discretionary,111.66,113.49,110.249,113.09
102,2020-12-14,ROST,Consumer Discretionary,113.98,114.32,110.49,110.55
103,2020-12-11,ROST,Consumer Discretionary,112.06,112.95,110.46,112.82
104,2020-12-10,ROST,Consumer Discretionary,112.98,114.25,112.18,113.32
105,2020-12-09,ROST,Consumer Discretionary,113.63,114.69,112.45,113.8
106,2020-12-08,ROST,Consumer Discretionary,112.51,113.68,111.63,113.47
107,2020-12-07,ROST,Consumer Discretionary,114.44,114.95,113.06,113.6
108,2020-12-04,ROST,Consumer Discretionary,113.51,115.32,113.21,115.24
109,2020-12-03,ROST,Consumer Discretionary,111.24,113.45,110.94,113.06
110,2020-12-02,ROST,Consumer Discretionary,110.07,111.81,109.83,111.58
111,2020-12-01,ROST,Consumer Discretionary,108.63,112.0,108.0,111.54
112,2020-11-30,ROST,Consumer Discretionary,108.44,108.44,106.65,107.52
113,2020-11-27,ROST,Consumer Discretionary,111.8,111.92,108.69,109.54
114,2020-11-25,ROST,Consumer Discretionary,112.04,112.23,109.3,110.92
115,2020-11-24,ROST,Consumer Discretionary,109.95,113.54,109.39,113.41
116,2020-11-23,ROST,Consumer Discretionary,110.22,110.39,106.37,108.18
117,2020-11-20,ROST,Consumer Discretionary,114.99,115.0,108.795,108.99
118,2020-11-19,ROST,Consumer Discretionary,109.75,111.69,108.79,110.2
119,2020-11-18,ROST,Consumer Discretionary,110.47,115.64,110.45,111.3
120,2020-11-17,ROST,Consumer Discretionary,108.8,111.345,107.18,110.46
121,2020-11-16,ROST,Consumer Discretionary,109.7,110.97,106.48,110.84
122,2020-11-13,ROST,Consumer Discretionary,106.2,108.485,105.24,108.13
123,2020-11-12,ROST,Consumer Discretionary,103.76,105.46,102.55,104.61
124,2020-11-11,ROST,Consumer Discretionary,108.98,109.215,103.29,104.18
125,2020-11-10,ROST,Consumer Discretionary,107.52,109.89,106.26,109.42
126,2020-11-09,ROST,Consumer Discretionary,104.84,117.77,104.23,107.82
127,2020-11-06,ROST,Consumer Discretionary,95.16,95.16,92.58,93.3
128,2020-11-05,ROST,Consumer Discretionary,93.53,95.4,92.52,94.94
129,2020-11-04,ROST,Consumer Discretionary,92.33,94.43,91.17,92.2
130,2020-11-03,ROST,Consumer Discretionary,88.945,92.3,88.945,91.64
131,2020-11-02,ROST,Consumer Discretionary,86.9,88.79,86.43,88.59
132,2020-10-30,ROST,Consumer Discretionary,86.03,86.85,84.68,85.17
133,2020-10-29,ROST,Consumer Discretionary,85.33,87.72,84.72,86.99
134,2020-10-28,ROST,Consumer Discretionary,89.615,90.08,85.19,85.28
135,2020-10-27,ROST,Consumer Discretionary,91.74,92.48,90.88,91.45
136,2020-10-26,ROST,Consumer Discretionary,94.1,94.64,90.38,91.64
137,2020-10-23,ROST,Consumer Discretionary,94.51,95.46,92.585,95.43
138,2020-10-22,ROST,Consumer Discretionary,92.06,94.12,91.76,93.16
139,2020-10-21,ROST,Consumer Discretionary,92.04,92.86,90.8,92.17
140,2020-10-20,ROST,Consumer Discretionary,91.96,93.22,90.81,92.18
141,2020-10-19,ROST,Consumer Discretionary,95.26,95.66,90.5,90.96
142,2020-10-16,ROST,Consumer Discretionary,95.91,96.79,95.0,95.12
143,2020-10-15,ROST,Consumer Discretionary,95.37,96.94,94.88,96.19
144,2020-10-14,ROST,Consumer Discretionary,97.61,98.92,96.12,96.29
145,2020-10-13,ROST,Consumer Discretionary,99.33,99.77,97.51,97.64
146,2020-10-12,ROST,Consumer Discretionary,98.92,99.86,98.07,98.64
