,date,symbol,sector,open,high,low,close
0,2021-05-12,RSG,Industrials,109.67,110.04,107.81,107.85
1,2021-05-11,RSG,Industrials,111.78,112.22,109.2,109.9
2,2021-05-10,RSG,Industrials,111.44,113.28,111.18,112.05
3,2021-05-07,RSG,Industrials,110.62,111.2,110.21,110.88
4,2021-05-06,RSG,Industrials,110.0,112.13,109.93,110.77
5,2021-05-05,RSG,Industrials,108.72,109.57,108.7,109.36
6,2021-05-04,RSG,Industrials,107.58,108.95,107.58,108.7
7,2021-05-03,RSG,Industrials,106.82,108.5,106.57,107.99
8,2021-04-30,RSG,Industrials,106.16,106.53,105.77,106.3
9,2021-04-29,RSG,Industrials,105.2,106.11,104.78,106.08
10,2021-04-28,RSG,Industrials,105.37,105.37,104.46,104.67
11,2021-04-27,RSG,Industrials,104.65,105.25,104.0,104.9
12,2021-04-26,RSG,Industrials,106.37,106.37,104.59,104.63
13,2021-04-23,RSG,Industrials,105.69,106.65,105.05,106.39
14,2021-04-22,RSG,Industrials,105.8,106.3387,105.18,105.61
15,2021-04-21,RSG,Industrials,105.5,106.19,105.0,105.89
16,2021-04-20,RSG,Industrials,104.68,105.8,104.68,105.01
17,2021-04-19,RSG,Industrials,104.13,104.83,103.56,104.67
18,2021-04-16,RSG,Industrials,104.72,105.18,104.15,104.32
19,2021-04-15,RSG,Industrials,103.57,104.55,103.52,104.21
20,2021-04-14,RSG,Industrials,103.5,103.79,103.19,103.46
21,2021-04-13,RSG,Industrials,102.62,104.12,102.51,103.63
22,2021-04-12,RSG,Industrials,103.95,104.33,102.775,103.29
23,2021-04-09,RSG,Industrials,102.47,103.64,102.33,103.55
24,2021-04-08,RSG,Industrials,102.14,102.47,101.83,102.35
25,2021-04-07,RSG,Industrials,102.48,103.18,102.08,102.38
26,2021-04-06,RSG,Industrials,101.17,102.14,100.68,101.58
27,2021-04-05,RSG,Industrials,100.5,101.4,100.29,101.05
28,2021-04-01,RSG,Industrials,99.76,99.95,98.72,99.72
29,2021-03-31,RSG,Industrials,99.58,99.96,99.02,99.35
30,2021-03-30,RSG,Industrials,100.87,101.42,100.25,100.43
31,2021-03-29,RSG,Industrials,100.78,101.99,100.58,101.12
32,2021-03-26,RSG,Industrials,99.43,101.4,99.2008,101.29
33,2021-03-25,RSG,Industrials,98.53,99.37,97.61,99.09
34,2021-03-24,RSG,Industrials,96.75,98.61,96.75,98.22
35,2021-03-23,RSG,Industrials,95.96,97.23,95.78,96.82
36,2021-03-22,RSG,Industrials,95.99,96.705,95.09,96.66
37,2021-03-19,RSG,Industrials,96.97,97.29,95.63,96.01
38,2021-03-18,RSG,Industrials,94.49,97.1,94.18,96.72
39,2021-03-17,RSG,Industrials,96.84,96.84,94.06,94.23
40,2021-03-16,RSG,Industrials,96.58,97.16,95.79,96.6
41,2021-03-15,RSG,Industrials,96.18,96.66,95.32,96.57
42,2021-03-12,RSG,Industrials,95.63,96.62,95.28,96.18
43,2021-03-11,RSG,Industrials,95.31,95.63,94.88,95.2
44,2021-03-10,RSG,Industrials,94.72,96.32,94.34,95.85
45,2021-03-09,RSG,Industrials,95.62,96.32,94.61,94.63
46,2021-03-08,RSG,Industrials,94.99,97.235,94.57,95.64
47,2021-03-05,RSG,Industrials,91.9,94.7,91.84,94.45
48,2021-03-04,RSG,Industrials,91.35,93.35,91.03,91.39
49,2021-03-03,RSG,Industrials,91.4,91.87,90.68,91.36
50,2021-03-02,RSG,Industrials,90.62,91.93,90.35,91.61
51,2021-03-01,RSG,Industrials,89.77,91.565,89.63,90.75
52,2021-02-26,RSG,Industrials,90.55,91.5,89.08,89.09
53,2021-02-25,RSG,Industrials,89.62,91.4054,89.44,90.44
54,2021-02-24,RSG,Industrials,88.66,89.96,88.62,89.59
55,2021-02-23,RSG,Industrials,91.4,91.99,88.65,88.96
56,2021-02-22,RSG,Industrials,90.24,90.44,88.665,89.0
57,2021-02-19,RSG,Industrials,91.76,91.91,90.51,90.59
58,2021-02-18,RSG,Industrials,90.06,91.82,89.9,91.72
59,2021-02-17,RSG,Industrials,90.0,90.31,89.23,90.08
60,2021-02-16,RSG,Industrials,90.33,91.09,90.1,90.38
61,2021-02-12,RSG,Industrials,91.26,91.61,90.88,91.26
62,2021-02-11,RSG,Industrials,90.7,91.32,90.56,91.29
63,2021-02-10,RSG,Industrials,91.98,92.04,90.2,90.52
64,2021-02-09,RSG,Industrials,92.02,92.11,91.02,91.54
65,2021-02-08,RSG,Industrials,91.0,91.88,90.54,91.78
66,2021-02-05,RSG,Industrials,92.43,92.43,90.89,90.93
67,2021-02-04,RSG,Industrials,91.6,92.42,91.15,92.04
68,2021-02-03,RSG,Industrials,91.82,91.83,90.7602,91.5
