,date,symbol,sector,open,high,low,close
0,2021-05-12,RTX,Industrials,84.23,84.86,82.22,82.28
1,2021-05-11,RTX,Industrials,84.24,85.2,83.35,84.33
2,2021-05-10,RTX,Industrials,86.86,87.04,84.93,85.04
3,2021-05-07,RTX,Industrials,84.81,85.9298,84.14,85.71
4,2021-05-06,RTX,Industrials,84.81,84.9,83.5301,84.68
5,2021-05-05,RTX,Industrials,83.63,84.67,84.02,84.13
6,2021-05-04,RTX,Industrials,84.12,84.59,83.1501,83.94
7,2021-05-03,RTX,Industrials,83.8,84.445,83.28,84.14
8,2021-04-30,RTX,Industrials,82.55,83.4078,82.35,83.24
9,2021-04-29,RTX,Industrials,83.56,83.8,82.505,82.87
10,2021-04-28,RTX,Industrials,81.48,83.12,81.48,83.08
11,2021-04-27,RTX,Industrials,82.76,83.69,80.88,82.81
12,2021-04-26,RTX,Industrials,81.0,82.07,80.795,81.0
13,2021-04-23,RTX,Industrials,78.81,80.76,78.81,80.54
14,2021-04-22,RTX,Industrials,78.99,79.91,78.55,78.74
15,2021-04-21,RTX,Industrials,76.81,78.94,76.4,78.87
16,2021-04-20,RTX,Industrials,77.8,77.91,76.0705,77.09
17,2021-04-19,RTX,Industrials,78.12,78.73,77.7358,78.59
18,2021-04-16,RTX,Industrials,78.59,78.59,77.05,78.22
19,2021-04-15,RTX,Industrials,78.16,78.28,76.98,77.97
20,2021-04-14,RTX,Industrials,78.0,78.685,77.7671,77.96
21,2021-04-13,RTX,Industrials,78.0,78.08,76.7418,77.7
22,2021-04-12,RTX,Industrials,78.25,78.82,78.13,78.72
23,2021-04-09,RTX,Industrials,78.54,78.88,77.65,78.29
24,2021-04-08,RTX,Industrials,77.13,77.56,76.49,77.48
25,2021-04-07,RTX,Industrials,77.49,78.11,77.05,77.6
26,2021-04-06,RTX,Industrials,77.59,78.09,77.2,77.51
27,2021-04-05,RTX,Industrials,77.86,78.45,77.54,77.91
28,2021-04-01,RTX,Industrials,77.61,77.8,76.925,77.28
29,2021-03-31,RTX,Industrials,77.84,78.2238,77.05,77.27
30,2021-03-30,RTX,Industrials,77.62,78.45,77.26,77.82
31,2021-03-29,RTX,Industrials,78.31,78.99,77.53,77.68
32,2021-03-26,RTX,Industrials,77.41,78.26,76.57,78.17
33,2021-03-25,RTX,Industrials,75.1,77.67,74.63,77.53
34,2021-03-24,RTX,Industrials,76.23,77.83,75.55,75.55
35,2021-03-23,RTX,Industrials,76.27,77.17,75.01,75.18
36,2021-03-22,RTX,Industrials,78.36,78.54,76.59,76.92
37,2021-03-19,RTX,Industrials,78.0,78.545,76.12,78.36
38,2021-03-18,RTX,Industrials,79.22,79.92,77.88,77.94
39,2021-03-17,RTX,Industrials,78.46,79.84,78.31,79.56
40,2021-03-16,RTX,Industrials,79.44,79.665,78.005,78.24
41,2021-03-15,RTX,Industrials,78.78,80.06,78.35,79.57
42,2021-03-12,RTX,Industrials,78.0,78.87,77.68,78.52
43,2021-03-11,RTX,Industrials,76.57,78.08,76.2,77.05
44,2021-03-10,RTX,Industrials,75.4,77.15,74.99,76.56
45,2021-03-09,RTX,Industrials,76.04,76.7,74.75,74.83
46,2021-03-08,RTX,Industrials,76.11,77.34,75.54,75.61
47,2021-03-05,RTX,Industrials,75.23,75.565,73.1,75.18
48,2021-03-04,RTX,Industrials,75.02,76.46,72.74,74.42
49,2021-03-03,RTX,Industrials,74.8,76.385,74.6531,75.07
50,2021-03-02,RTX,Industrials,74.31,75.4189,74.2,74.67
51,2021-03-01,RTX,Industrials,73.51,75.34,73.1,74.36
52,2021-02-26,RTX,Industrials,73.93,73.93,71.99,71.99
53,2021-02-25,RTX,Industrials,76.66,77.12,72.95,73.32
54,2021-02-24,RTX,Industrials,74.19,78.17,73.52,77.67
55,2021-02-23,RTX,Industrials,73.41,74.01,72.53,73.99
56,2021-02-22,RTX,Industrials,72.25,74.26,72.22,73.0
57,2021-02-19,RTX,Industrials,73.38,74.31,73.1,74.26
58,2021-02-18,RTX,Industrials,72.47,73.05,72.02,72.88
59,2021-02-17,RTX,Industrials,72.29,73.21,72.08,73.06
60,2021-02-16,RTX,Industrials,72.84,73.25,72.04,72.61
61,2021-02-12,RTX,Industrials,72.09,72.82,71.815,72.61
62,2021-02-11,RTX,Industrials,72.47,73.19,71.17,72.33
63,2021-02-10,RTX,Industrials,72.76,73.14,72.14,72.47
64,2021-02-09,RTX,Industrials,72.25,73.337,71.565,73.04
65,2021-02-08,RTX,Industrials,72.28,72.68,71.81,72.49
66,2021-02-05,RTX,Industrials,73.35,73.8799,72.0,72.33
67,2021-02-04,RTX,Industrials,71.07,72.81,70.73,72.68
68,2021-02-03,RTX,Industrials,69.76,70.915,69.3704,70.58
69,2021-02-02,RTX,Industrials,67.67,70.42,67.55,70.14
70,2021-02-01,RTX,Industrials,67.6,67.6,66.13,66.96
71,2021-01-29,RTX,Industrials,67.11,67.56,66.11,66.73
72,2021-01-28,RTX,Industrials,66.44,69.29,66.21,68.17
73,2021-01-27,RTX,Industrials,66.55,67.76,65.25,65.5
74,2021-01-26,RTX,Industrials,69.2,70.93,67.19,67.2
75,2021-01-25,RTX,Industrials,66.04,66.52,65.02,66.28
76,2021-01-22,RTX,Industrials,67.72,68.11,67.12,67.58
77,2021-01-21,RTX,Industrials,68.33,68.7,67.85,68.11
78,2021-01-20,RTX,Industrials,69.47,69.53,68.615,68.84
79,2021-01-19,RTX,Industrials,69.78,70.05,69.15,69.36
80,2021-01-15,RTX,Industrials,70.31,70.33,68.95,69.2
81,2021-01-14,RTX,Industrials,71.0,72.37,70.55,70.94
82,2021-01-13,RTX,Industrials,71.3,71.45,69.785,70.5
83,2021-01-12,RTX,Industrials,69.69,71.72,69.57,71.52
84,2021-01-11,RTX,Industrials,68.79,69.849,68.52,69.8
85,2021-01-08,RTX,Industrials,69.96,70.08,68.7,69.86
