,date,symbol,sector,open,high,low,close
0,2021-05-12,SBUX,Consumer Discretionary,111.87,112.39,109.56,109.79
1,2021-05-11,SBUX,Consumer Discretionary,113.32,113.69,112.17,113.55
2,2021-05-10,SBUX,Consumer Discretionary,114.57,116.085,114.21,114.3
3,2021-05-07,SBUX,Consumer Discretionary,115.11,115.84,114.24,114.34
4,2021-05-06,SBUX,Consumer Discretionary,113.65,114.81,113.1,114.74
5,2021-05-05,SBUX,Consumer Discretionary,114.21,114.88,113.16,113.48
6,2021-05-04,SBUX,Consumer Discretionary,115.15,115.4,113.535,114.11
7,2021-05-03,SBUX,Consumer Discretionary,115.18,116.74,115.13,115.72
8,2021-04-30,SBUX,Consumer Discretionary,114.0,114.95,113.49,114.49
9,2021-04-29,SBUX,Consumer Discretionary,113.21,115.1499,112.76,114.63
10,2021-04-28,SBUX,Consumer Discretionary,113.44,114.1499,111.61,112.4
11,2021-04-27,SBUX,Consumer Discretionary,115.67,116.3899,115.27,116.15
12,2021-04-26,SBUX,Consumer Discretionary,116.95,117.25,115.06,115.92
13,2021-04-23,SBUX,Consumer Discretionary,116.02,117.98,115.84,117.56
14,2021-04-22,SBUX,Consumer Discretionary,116.8684,116.88,115.225,115.92
15,2021-04-21,SBUX,Consumer Discretionary,116.09,117.26,115.86,116.74
16,2021-04-20,SBUX,Consumer Discretionary,116.96,117.2594,115.35,116.27
17,2021-04-19,SBUX,Consumer Discretionary,118.17,118.98,117.04,117.6
18,2021-04-16,SBUX,Consumer Discretionary,117.82,118.5,116.94,118.34
19,2021-04-15,SBUX,Consumer Discretionary,115.1,116.89,114.78,116.66
20,2021-04-14,SBUX,Consumer Discretionary,115.22,116.235,114.72,115.16
21,2021-04-13,SBUX,Consumer Discretionary,113.78,115.6,113.682,115.36
22,2021-04-12,SBUX,Consumer Discretionary,113.02,113.89,112.77,113.81
23,2021-04-09,SBUX,Consumer Discretionary,112.91,113.27,111.97,113.18
24,2021-04-08,SBUX,Consumer Discretionary,113.65,113.96,112.6799,113.04
25,2021-04-07,SBUX,Consumer Discretionary,112.91,113.76,112.65,113.19
26,2021-04-06,SBUX,Consumer Discretionary,111.38,113.82,111.095,113.15
27,2021-04-05,SBUX,Consumer Discretionary,109.91,111.35,109.87,111.02
28,2021-04-01,SBUX,Consumer Discretionary,110.06,110.06,108.2,109.38
29,2021-03-31,SBUX,Consumer Discretionary,110.33,111.6199,109.19,109.27
30,2021-03-30,SBUX,Consumer Discretionary,108.42,110.45,108.28,110.27
31,2021-03-29,SBUX,Consumer Discretionary,109.01,110.25,106.59,109.13
32,2021-03-26,SBUX,Consumer Discretionary,107.25,110.0,107.175,109.9
33,2021-03-25,SBUX,Consumer Discretionary,105.007,107.7,104.06,107.35
34,2021-03-24,SBUX,Consumer Discretionary,106.63,107.28,104.94,104.97
35,2021-03-23,SBUX,Consumer Discretionary,107.74,107.9477,105.6738,106.25
36,2021-03-22,SBUX,Consumer Discretionary,106.4,108.42,106.0,107.57
37,2021-03-19,SBUX,Consumer Discretionary,108.35,108.85,105.825,106.34
38,2021-03-18,SBUX,Consumer Discretionary,109.28,110.27,107.5,107.62
39,2021-03-17,SBUX,Consumer Discretionary,111.31,111.46,108.9327,110.46
40,2021-03-16,SBUX,Consumer Discretionary,110.568,112.34,109.89,111.34
41,2021-03-15,SBUX,Consumer Discretionary,107.89,108.95,107.06,108.9
42,2021-03-12,SBUX,Consumer Discretionary,107.42,107.99,106.58,107.81
43,2021-03-11,SBUX,Consumer Discretionary,108.41,108.57,107.26,107.32
44,2021-03-10,SBUX,Consumer Discretionary,107.22,109.07,106.96,107.78
45,2021-03-09,SBUX,Consumer Discretionary,106.28,107.97,105.83,106.55
46,2021-03-08,SBUX,Consumer Discretionary,104.8,106.89,104.23,105.03
47,2021-03-05,SBUX,Consumer Discretionary,106.06,106.06,102.75,105.2
48,2021-03-04,SBUX,Consumer Discretionary,106.26,107.17,103.85,104.89
49,2021-03-03,SBUX,Consumer Discretionary,106.94,107.96,106.12,106.22
50,2021-03-02,SBUX,Consumer Discretionary,107.31,108.2499,105.82,107.2
51,2021-03-01,SBUX,Consumer Discretionary,108.6,110.47,106.54,106.87
52,2021-02-26,SBUX,Consumer Discretionary,104.15,109.48,103.68,108.03
53,2021-02-25,SBUX,Consumer Discretionary,104.0,105.77,103.11,103.47
54,2021-02-24,SBUX,Consumer Discretionary,101.16,104.51,100.6,104.38
55,2021-02-23,SBUX,Consumer Discretionary,103.34,103.34,99.93,101.37
56,2021-02-22,SBUX,Consumer Discretionary,102.99,102.99,101.75,101.81
57,2021-02-19,SBUX,Consumer Discretionary,104.75,105.28,103.22,103.37
58,2021-02-18,SBUX,Consumer Discretionary,103.775,105.34,103.41,104.97
59,2021-02-17,SBUX,Consumer Discretionary,105.105,105.46,104.15,104.44
60,2021-02-16,SBUX,Consumer Discretionary,104.88,106.59,104.7,106.15
61,2021-02-12,SBUX,Consumer Discretionary,105.74,105.94,104.72,105.3
62,2021-02-11,SBUX,Consumer Discretionary,106.115,106.23,105.03,105.86
63,2021-02-10,SBUX,Consumer Discretionary,106.78,106.9,104.93,105.87
64,2021-02-09,SBUX,Consumer Discretionary,106.0,106.83,105.22,106.22
65,2021-02-08,SBUX,Consumer Discretionary,106.42,106.53,105.34,106.26
66,2021-02-05,SBUX,Consumer Discretionary,105.0871,107.5399,104.7823,106.48
67,2021-02-04,SBUX,Consumer Discretionary,101.36,104.24,101.11,103.64
68,2021-02-03,SBUX,Consumer Discretionary,101.25,102.65,100.81,101.02
69,2021-02-02,SBUX,Consumer Discretionary,99.05,102.48,98.783,101.65
70,2021-02-01,SBUX,Consumer Discretionary,96.99,99.62,96.92,98.58
71,2021-01-29,SBUX,Consumer Discretionary,97.385,97.79,95.92,96.81
72,2021-01-28,SBUX,Consumer Discretionary,98.935,100.53,98.1,98.15
73,2021-01-27,SBUX,Consumer Discretionary,101.48,101.78,96.73,97.87
74,2021-01-26,SBUX,Consumer Discretionary,103.4,105.21,103.24,104.69
75,2021-01-25,SBUX,Consumer Discretionary,103.745,103.95,102.1694,103.45
76,2021-01-22,SBUX,Consumer Discretionary,104.1587,104.47,103.062,103.91
77,2021-01-21,SBUX,Consumer Discretionary,105.46,105.49,104.45,104.58
78,2021-01-20,SBUX,Consumer Discretionary,102.41,105.85,102.2,105.46
79,2021-01-19,SBUX,Consumer Discretionary,102.7969,103.6,101.34,102.54
80,2021-01-15,SBUX,Consumer Discretionary,101.38,102.69,101.21,102.33
81,2021-01-14,SBUX,Consumer Discretionary,103.8,104.19,101.7127,101.82
82,2021-01-13,SBUX,Consumer Discretionary,102.32,103.38,101.49,102.89
83,2021-01-12,SBUX,Consumer Discretionary,104.01,104.32,102.306,102.82
84,2021-01-11,SBUX,Consumer Discretionary,105.1,105.64,104.27,104.6
85,2021-01-08,SBUX,Consumer Discretionary,103.86,105.76,103.42,105.67
86,2021-01-07,SBUX,Consumer Discretionary,104.49,104.64,102.95,103.35
87,2021-01-06,SBUX,Consumer Discretionary,102.99,105.21,102.905,104.19
88,2021-01-05,SBUX,Consumer Discretionary,102.92,104.26,102.8,103.44
89,2021-01-04,SBUX,Consumer Discretionary,107.66,107.75,102.1401,103.1
90,2020-12-31,SBUX,Consumer Discretionary,106.0,107.14,105.615,106.98
91,2020-12-30,SBUX,Consumer Discretionary,105.99,106.62,105.7801,105.97
92,2020-12-29,SBUX,Consumer Discretionary,104.8873,105.78,104.47,105.63
93,2020-12-28,SBUX,Consumer Discretionary,102.92,104.38,102.31,104.34
94,2020-12-24,SBUX,Consumer Discretionary,102.3,102.36,101.68,102.01
95,2020-12-23,SBUX,Consumer Discretionary,102.29,102.685,101.965,102.06
96,2020-12-22,SBUX,Consumer Discretionary,102.12,103.17,101.892,102.41
97,2020-12-21,SBUX,Consumer Discretionary,101.22,103.15,100.02,102.94
