,date,symbol,sector,open,high,low,close
0,2021-05-12,SNA,Industrials,251.44,251.85,245.21,245.48
1,2021-05-11,SNA,Industrials,253.33,254.94,248.63,251.02
2,2021-05-10,SNA,Industrials,253.15,259.99,252.35,255.37
3,2021-05-07,SNA,Industrials,249.11,252.68,246.18,251.56
4,2021-05-06,SNA,Industrials,247.0,250.13,245.9,250.12
5,2021-05-05,SNA,Industrials,242.86,246.38,244.26,245.49
6,2021-05-04,SNA,Industrials,238.96,243.895,238.0728,243.02
7,2021-05-03,SNA,Industrials,239.48,239.78,236.2167,238.37
8,2021-04-30,SNA,Industrials,238.16,238.9,236.81,237.6
9,2021-04-29,SNA,Industrials,237.84,240.58,236.72,240.03
10,2021-04-28,SNA,Industrials,240.0,240.0,236.036,237.26
11,2021-04-27,SNA,Industrials,235.73,239.97,234.06,239.7
12,2021-04-26,SNA,Industrials,239.02,241.5,235.705,235.99
13,2021-04-23,SNA,Industrials,242.18,242.18,238.475,238.69
14,2021-04-22,SNA,Industrials,237.85,242.125,235.01,240.23
15,2021-04-21,SNA,Industrials,234.06,237.82,233.93,236.99
16,2021-04-20,SNA,Industrials,236.55,238.098,231.82,234.57
17,2021-04-19,SNA,Industrials,236.64,237.54,233.35,236.01
18,2021-04-16,SNA,Industrials,233.88,236.265,232.96,235.52
19,2021-04-15,SNA,Industrials,233.2,233.6,230.91,232.14
20,2021-04-14,SNA,Industrials,233.71,234.99,232.93,233.25
21,2021-04-13,SNA,Industrials,235.61,235.85,231.86,232.91
22,2021-04-12,SNA,Industrials,235.18,237.24,234.39,236.32
23,2021-04-09,SNA,Industrials,236.12,236.52,233.18,235.59
24,2021-04-08,SNA,Industrials,234.47,234.53,232.29,234.36
25,2021-04-07,SNA,Industrials,233.84,235.26,232.46,235.2
26,2021-04-06,SNA,Industrials,234.99,236.08,233.1124,233.73
27,2021-04-05,SNA,Industrials,234.85,235.38,232.415,234.28
28,2021-04-01,SNA,Industrials,230.02,232.12,226.85,231.74
29,2021-03-31,SNA,Industrials,231.24,233.19,229.0011,230.74
30,2021-03-30,SNA,Industrials,227.96,232.38,227.96,232.04
31,2021-03-29,SNA,Industrials,230.01,233.88,227.03,227.9
32,2021-03-26,SNA,Industrials,226.25,229.75,225.35,229.63
33,2021-03-25,SNA,Industrials,215.62,225.2,214.245,224.26
34,2021-03-24,SNA,Industrials,217.3,219.43,215.35,215.49
35,2021-03-23,SNA,Industrials,218.67,222.0947,213.99,215.32
36,2021-03-22,SNA,Industrials,225.04,225.04,218.89,220.05
37,2021-03-19,SNA,Industrials,224.45,227.39,220.93,225.4
38,2021-03-18,SNA,Industrials,224.54,229.14,223.64,225.52
39,2021-03-17,SNA,Industrials,221.59,223.01,218.93,222.8
40,2021-03-16,SNA,Industrials,221.97,222.07,218.05,220.6
41,2021-03-15,SNA,Industrials,216.94,223.1,216.37,223.09
42,2021-03-12,SNA,Industrials,216.37,217.7,214.81,217.35
