,date,symbol,sector,open,high,low,close
0,2021-05-12,STE,Health Care,203.34,203.37,197.51,197.74
1,2021-05-11,STE,Health Care,206.76,206.9,203.23,204.65
2,2021-05-10,STE,Health Care,211.94,211.94,207.59,207.64
3,2021-05-07,STE,Health Care,210.48,213.94,210.48,211.5
4,2021-05-06,STE,Health Care,209.06,210.31,208.08,210.31
5,2021-05-05,STE,Health Care,212.61,210.915,209.26,209.43
6,2021-05-04,STE,Health Care,212.8,213.62,211.17,211.98
7,2021-05-03,STE,Health Care,212.84,214.835,211.265,213.47
8,2021-04-30,STE,Health Care,212.95,213.14,209.04,211.02
9,2021-04-29,STE,Health Care,211.58,213.24,210.28,212.99
10,2021-04-28,STE,Health Care,212.08,212.385,210.63,210.88
11,2021-04-27,STE,Health Care,213.0,214.38,212.13,212.43
12,2021-04-26,STE,Health Care,214.96,216.74,214.0,216.47
13,2021-04-23,STE,Health Care,212.94,215.47,210.75,214.82
14,2021-04-22,STE,Health Care,212.21,213.5,210.17,212.38
15,2021-04-21,STE,Health Care,210.48,212.65,208.98,212.52
16,2021-04-20,STE,Health Care,208.92,211.26,207.94,209.39
17,2021-04-19,STE,Health Care,207.94,209.2,206.67,208.63
18,2021-04-16,STE,Health Care,207.94,208.65,205.69,208.14
19,2021-04-15,STE,Health Care,205.21,208.17,205.18,206.71
20,2021-04-14,STE,Health Care,202.88,205.75,202.345,204.84
21,2021-04-13,STE,Health Care,200.09,203.3,199.7785,202.91
22,2021-04-12,STE,Health Care,198.62,201.1138,198.62,200.62
23,2021-04-09,STE,Health Care,199.06,200.69,196.93,199.15
24,2021-04-08,STE,Health Care,195.11,198.4,193.98,198.16
25,2021-04-07,STE,Health Care,194.63,195.43,192.44,193.79
26,2021-04-06,STE,Health Care,195.89,197.07,194.46,194.5
27,2021-04-05,STE,Health Care,194.59,198.47,194.59,195.88
28,2021-04-01,STE,Health Care,190.72,193.79,187.49,193.5
29,2021-03-31,STE,Health Care,190.33,191.98,189.11,190.48
