,date,symbol,sector,open,high,low,close
0,2021-05-12,SWK,Industrials,216.72,217.53,209.72,209.89
1,2021-05-11,SWK,Industrials,219.0,220.0,214.25,217.69
2,2021-05-10,SWK,Industrials,221.0,225.0,220.24,220.69
3,2021-05-07,SWK,Industrials,217.4,220.355,215.91,219.69
4,2021-05-06,SWK,Industrials,214.0,217.7,214.0,217.4
5,2021-05-05,SWK,Industrials,210.65,217.77,212.62,213.11
6,2021-05-04,SWK,Industrials,210.45,213.52,209.42,210.72
7,2021-05-03,SWK,Industrials,208.72,211.91,207.485,210.57
8,2021-04-30,SWK,Industrials,207.0,207.93,205.645,206.77
9,2021-04-29,SWK,Industrials,208.92,210.7,207.7,209.49
10,2021-04-28,SWK,Industrials,207.86,211.43,205.47,206.55
11,2021-04-27,SWK,Industrials,206.62,208.14,205.085,207.93
12,2021-04-26,SWK,Industrials,211.06,211.42,206.11,206.48
13,2021-04-23,SWK,Industrials,208.28,210.155,207.54,209.09
14,2021-04-22,SWK,Industrials,207.91,209.49,206.05,207.12
15,2021-04-21,SWK,Industrials,203.01,207.45,202.31,206.34
16,2021-04-20,SWK,Industrials,205.33,206.55,201.8,202.94
17,2021-04-19,SWK,Industrials,205.23,207.45,204.49,205.89
18,2021-04-16,SWK,Industrials,204.33,206.66,203.76,205.38
19,2021-04-15,SWK,Industrials,202.62,203.74,201.28,202.7
20,2021-04-14,SWK,Industrials,201.99,203.45,200.9,201.43
21,2021-04-13,SWK,Industrials,203.0,203.0,200.91,202.44
22,2021-04-12,SWK,Industrials,202.23,204.54,201.92,204.14
23,2021-04-09,SWK,Industrials,200.72,202.0702,199.41,201.91
24,2021-04-08,SWK,Industrials,199.88,199.93,197.33,199.48
25,2021-04-07,SWK,Industrials,203.98,204.7,199.57,200.24
26,2021-04-06,SWK,Industrials,202.81,204.6,201.97,203.97
27,2021-04-05,SWK,Industrials,202.43,203.83,201.37,202.42
28,2021-04-01,SWK,Industrials,201.15,201.4799,197.71,200.66
29,2021-03-31,SWK,Industrials,199.97,201.91,198.46,199.67
30,2021-03-30,SWK,Industrials,199.58,201.56,199.37,200.41
31,2021-03-29,SWK,Industrials,202.08,203.31,199.32,199.47
32,2021-03-26,SWK,Industrials,195.79,202.31,195.315,202.07
33,2021-03-25,SWK,Industrials,194.0,196.9,190.81,195.79
34,2021-03-24,SWK,Industrials,193.62,197.6838,193.62,194.38
35,2021-03-23,SWK,Industrials,193.82,197.08,191.27,192.77
36,2021-03-22,SWK,Industrials,196.95,197.12,192.76,195.79
37,2021-03-19,SWK,Industrials,198.49,199.4,195.475,196.67
38,2021-03-18,SWK,Industrials,195.05,199.0,194.775,197.23
39,2021-03-17,SWK,Industrials,190.53,195.05,190.04,194.93
40,2021-03-16,SWK,Industrials,192.67,193.29,189.18,190.13
41,2021-03-15,SWK,Industrials,190.62,193.96,189.5,193.14
42,2021-03-12,SWK,Industrials,193.575,194.94,189.445,190.46
43,2021-03-11,SWK,Industrials,191.48,194.46,190.365,191.98
44,2021-03-10,SWK,Industrials,189.22,192.94,187.93,191.15
45,2021-03-09,SWK,Industrials,187.7,190.01,187.18,187.95
46,2021-03-08,SWK,Industrials,185.43,189.0,183.81,186.6
47,2021-03-05,SWK,Industrials,182.92,186.79,179.595,185.31
48,2021-03-04,SWK,Industrials,184.34,184.95,178.11,181.33
49,2021-03-03,SWK,Industrials,185.15,187.0,183.92,184.76
50,2021-03-02,SWK,Industrials,180.7,186.32,180.28,185.47
51,2021-03-01,SWK,Industrials,176.72,181.89,176.47,180.73
52,2021-02-26,SWK,Industrials,174.77,176.65,173.445,174.84
53,2021-02-25,SWK,Industrials,175.5,176.54,173.58,174.62
54,2021-02-24,SWK,Industrials,172.35,177.47,171.56,174.98
55,2021-02-23,SWK,Industrials,173.65,173.92,169.7,172.92
56,2021-02-22,SWK,Industrials,173.72,174.88,172.3,173.51
57,2021-02-19,SWK,Industrials,173.56,176.13,173.15,175.07
58,2021-02-18,SWK,Industrials,169.64,173.27,169.63,171.98
59,2021-02-17,SWK,Industrials,170.79,171.83,169.425,170.47
60,2021-02-16,SWK,Industrials,177.22,177.22,171.26,171.66
61,2021-02-12,SWK,Industrials,174.45,176.185,174.135,175.57
62,2021-02-11,SWK,Industrials,178.3,178.78,172.84,174.75
63,2021-02-10,SWK,Industrials,176.3,178.205,174.685,177.3
64,2021-02-09,SWK,Industrials,175.69,176.4,173.08,175.58
65,2021-02-08,SWK,Industrials,177.6,178.28,174.62,175.68
66,2021-02-05,SWK,Industrials,178.0,179.2275,175.95,176.64
67,2021-02-04,SWK,Industrials,175.66,177.5,174.62,175.64
68,2021-02-03,SWK,Industrials,176.48,177.18,173.49,174.35
69,2021-02-02,SWK,Industrials,175.48,178.135,175.27,177.12
70,2021-02-01,SWK,Industrials,176.56,176.965,170.4,174.28
71,2021-01-29,SWK,Industrials,178.62,179.03,173.17,173.49
72,2021-01-28,SWK,Industrials,179.9,183.11,175.88,180.02
73,2021-01-27,SWK,Industrials,173.66,175.31,169.5,173.35
74,2021-01-26,SWK,Industrials,176.49,178.2,174.365,176.62
75,2021-01-25,SWK,Industrials,174.74,177.36,173.5,174.99
76,2021-01-22,SWK,Industrials,176.53,177.33,174.3033,175.21
77,2021-01-21,SWK,Industrials,175.71,178.33,175.1,177.01
78,2021-01-20,SWK,Industrials,177.26,177.87,174.41,176.06
79,2021-01-19,SWK,Industrials,174.03,177.79,173.15,176.56
80,2021-01-15,SWK,Industrials,172.83,173.87,168.77,172.63
81,2021-01-14,SWK,Industrials,174.79,175.89,171.36,173.17
82,2021-01-13,SWK,Industrials,175.91,177.37,172.525,173.43
83,2021-01-12,SWK,Industrials,176.12,179.515,175.57,176.47
84,2021-01-11,SWK,Industrials,174.09,177.0,174.09,176.35
85,2021-01-08,SWK,Industrials,177.91,178.76,173.89,176.73
86,2021-01-07,SWK,Industrials,177.27,178.26,174.485,177.42
87,2021-01-06,SWK,Industrials,171.15,178.435,171.15,176.24
88,2021-01-05,SWK,Industrials,169.86,171.84,168.73,170.13
89,2021-01-04,SWK,Industrials,169.84,175.415,167.655,169.35
90,2020-12-31,SWK,Industrials,178.04,179.18,177.0,178.56
91,2020-12-30,SWK,Industrials,176.25,178.89,176.25,178.3
92,2020-12-29,SWK,Industrials,178.15,178.15,174.35,176.27
93,2020-12-28,SWK,Industrials,181.07,181.4,176.69,177.29
94,2020-12-24,SWK,Industrials,178.64,180.17,177.53,179.92
95,2020-12-23,SWK,Industrials,179.03,180.3,177.21,177.9
96,2020-12-22,SWK,Industrials,180.7,180.97,178.47,179.02
97,2020-12-21,SWK,Industrials,178.46,181.88,177.26,181.27
98,2020-12-18,SWK,Industrials,182.5,183.6637,179.11,181.52
99,2020-12-17,SWK,Industrials,182.0,183.9406,180.08,182.09
100,2020-12-16,SWK,Industrials,181.05,185.31,179.03,179.44
101,2020-12-15,SWK,Industrials,172.14,176.555,171.71,176.33
102,2020-12-14,SWK,Industrials,176.88,177.04,170.3,170.4
103,2020-12-11,SWK,Industrials,175.7,177.33,173.61,175.2
104,2020-12-10,SWK,Industrials,176.83,178.75,174.41,177.64
105,2020-12-09,SWK,Industrials,178.62,179.3,176.99,178.29
106,2020-12-08,SWK,Industrials,177.07,177.93,175.2895,177.22
107,2020-12-07,SWK,Industrials,179.7,180.0,176.51,178.45
108,2020-12-04,SWK,Industrials,180.43,181.845,178.38,180.85
109,2020-12-03,SWK,Industrials,178.14,182.23,177.46,179.02
110,2020-12-02,SWK,Industrials,179.8,180.65,177.94,178.62
111,2020-12-01,SWK,Industrials,187.64,188.63,181.9,181.92
112,2020-11-30,SWK,Industrials,186.63,187.53,182.82,184.31
113,2020-11-27,SWK,Industrials,187.1,188.93,186.775,187.71
114,2020-11-25,SWK,Industrials,189.62,190.06,186.07,186.4
115,2020-11-24,SWK,Industrials,192.5,195.0,190.09,190.74
116,2020-11-23,SWK,Industrials,187.11,191.5,187.0,190.94
117,2020-11-20,SWK,Industrials,186.37,187.27,185.0,185.96
118,2020-11-19,SWK,Industrials,183.74,186.68,182.815,186.51
119,2020-11-18,SWK,Industrials,185.58,186.795,184.2,184.27
120,2020-11-17,SWK,Industrials,184.84,185.6,180.81,184.53
121,2020-11-16,SWK,Industrials,184.44,186.1,182.655,186.04
122,2020-11-13,SWK,Industrials,178.82,182.17,178.82,181.4
123,2020-11-12,SWK,Industrials,180.21,181.47,175.95,177.72
124,2020-11-11,SWK,Industrials,179.59,181.33,175.855,180.89
125,2020-11-10,SWK,Industrials,177.27,180.61,175.98,178.79
126,2020-11-09,SWK,Industrials,189.29,190.62,176.97,177.41
127,2020-11-06,SWK,Industrials,177.76,179.9,175.804,178.85
128,2020-11-05,SWK,Industrials,178.0,180.8,177.51,177.83
129,2020-11-04,SWK,Industrials,172.86,177.585,169.0,175.6
130,2020-11-03,SWK,Industrials,171.75,174.81,171.37,173.63
131,2020-11-02,SWK,Industrials,169.67,171.67,166.72,168.71
132,2020-10-30,SWK,Industrials,164.68,166.84,162.3,166.2
133,2020-10-29,SWK,Industrials,162.5,166.49,161.8,165.34
134,2020-10-28,SWK,Industrials,163.26,166.99,162.46,162.55
135,2020-10-27,SWK,Industrials,166.5,171.56,164.01,166.31
136,2020-10-26,SWK,Industrials,175.39,175.39,171.47,172.86
137,2020-10-23,SWK,Industrials,179.8,180.94,176.19,178.01
138,2020-10-22,SWK,Industrials,176.31,178.29,175.54,178.01
139,2020-10-21,SWK,Industrials,175.21,177.66,174.34,174.39
140,2020-10-20,SWK,Industrials,175.58,178.02,174.01,175.7
141,2020-10-19,SWK,Industrials,176.72,176.72,172.64,173.59
142,2020-10-16,SWK,Industrials,177.55,178.85,176.27,176.38
143,2020-10-15,SWK,Industrials,175.31,177.05,173.84,176.65
144,2020-10-14,SWK,Industrials,178.19,180.26,177.0,177.52
145,2020-10-13,SWK,Industrials,176.64,179.12,174.715,177.94
146,2020-10-12,SWK,Industrials,176.56,179.5,176.56,177.97
147,2020-10-09,SWK,Industrials,175.0,179.43,174.45,176.66
148,2020-10-08,SWK,Industrials,173.0,174.52,171.93,173.59
149,2020-10-07,SWK,Industrials,169.68,172.325,169.215,172.0
150,2020-10-06,SWK,Industrials,169.8,170.74,166.74,166.86
151,2020-10-05,SWK,Industrials,166.99,169.77,164.67,169.31
152,2020-10-02,SWK,Industrials,160.03,167.46,158.92,164.81
153,2020-10-01,SWK,Industrials,163.58,165.42,161.2,162.63
154,2020-09-30,SWK,Industrials,162.23,165.08,161.02,162.2
155,2020-09-29,SWK,Industrials,164.2,164.525,160.94,161.48
156,2020-09-28,SWK,Industrials,162.53,165.4181,161.79,164.07
157,2020-09-25,SWK,Industrials,156.12,161.2574,155.95,159.93
158,2020-09-24,SWK,Industrials,156.37,159.77,155.0,157.22
159,2020-09-23,SWK,Industrials,157.94,160.12,156.4,156.72
160,2020-09-22,SWK,Industrials,154.84,157.55,153.91,157.46
161,2020-09-21,SWK,Industrials,156.08,156.86,152.19,154.43
162,2020-09-18,SWK,Industrials,163.7,164.86,159.81,160.33
163,2020-09-17,SWK,Industrials,162.73,167.08,160.89,164.25
164,2020-09-16,SWK,Industrials,163.67,167.35,162.72,165.36
165,2020-09-15,SWK,Industrials,163.13,164.75,162.08,162.84
166,2020-09-14,SWK,Industrials,161.61,163.71,161.11,162.35
167,2020-09-11,SWK,Industrials,157.37,160.43,156.81,159.01
168,2020-09-10,SWK,Industrials,158.19,161.01,156.65,157.24
169,2020-09-09,SWK,Industrials,156.6,159.66,156.6,157.6
170,2020-09-08,SWK,Industrials,158.36,159.14,154.98,155.6
171,2020-09-04,SWK,Industrials,162.93,163.64,157.915,160.13
172,2020-09-03,SWK,Industrials,166.57,166.74,159.0,160.53
173,2020-09-02,SWK,Industrials,165.59,168.25,165.02,166.25
174,2020-09-01,SWK,Industrials,160.39,165.86,160.31,165.34
175,2020-08-31,SWK,Industrials,164.85,164.85,161.13,161.3
176,2020-08-28,SWK,Industrials,161.73,165.58,161.17,165.52
177,2020-08-27,SWK,Industrials,161.12,161.72,159.38,159.48
178,2020-08-26,SWK,Industrials,159.39,160.43,158.545,159.7
179,2020-08-25,SWK,Industrials,161.34,161.66,158.57,159.71
180,2020-08-24,SWK,Industrials,160.15,161.04,159.41,160.37
181,2020-08-21,SWK,Industrials,158.15,159.79,157.6962,159.18
182,2020-08-20,SWK,Industrials,157.23,158.55,156.27,158.15
183,2020-08-19,SWK,Industrials,160.11,160.785,158.54,158.97
184,2020-08-18,SWK,Industrials,159.81,161.95,159.56,159.92
185,2020-08-17,SWK,Industrials,159.0,160.18,158.42,159.77
186,2020-08-14,SWK,Industrials,157.94,159.985,157.025,158.78
187,2020-08-13,SWK,Industrials,159.05,160.22,158.32,158.4
188,2020-08-12,SWK,Industrials,162.69,162.98,159.28,160.34
189,2020-08-11,SWK,Industrials,161.58,164.24,160.64,161.41
190,2020-08-10,SWK,Industrials,157.5,160.74,157.02,159.97
191,2020-08-07,SWK,Industrials,155.18,157.35,154.33,157.26
192,2020-08-06,SWK,Industrials,156.58,157.46,154.75,155.04
193,2020-08-05,SWK,Industrials,155.65,157.9,155.41,157.3
194,2020-08-04,SWK,Industrials,153.84,155.96,153.58,154.65
195,2020-08-03,SWK,Industrials,154.27,155.83,153.0,154.4
196,2020-07-31,SWK,Industrials,154.0,154.45,148.88,153.32
197,2020-07-30,SWK,Industrials,154.09,157.14,150.51,154.46
198,2020-07-29,SWK,Industrials,153.27,156.24,153.27,156.08
199,2020-07-28,SWK,Industrials,156.37,156.655,152.31,152.71
200,2020-07-27,SWK,Industrials,152.77,158.34,151.58,157.61
201,2020-07-24,SWK,Industrials,152.7,153.42,150.59,152.91
202,2020-07-23,SWK,Industrials,152.93,154.25,151.24,152.36
203,2020-07-22,SWK,Industrials,153.7,155.18,151.85,152.31
204,2020-07-21,SWK,Industrials,153.73,154.77,152.12,153.79
205,2020-07-20,SWK,Industrials,152.29,153.0,150.5,152.21
206,2020-07-17,SWK,Industrials,153.96,154.33,152.54,153.36
207,2020-07-16,SWK,Industrials,151.07,153.48,149.13,152.82
208,2020-07-15,SWK,Industrials,150.11,152.915,148.67,151.51
209,2020-07-14,SWK,Industrials,141.3,146.96,139.8929,146.43
210,2020-07-13,SWK,Industrials,141.41,145.74,140.47,142.04
211,2020-07-10,SWK,Industrials,137.68,140.08,137.11,139.92
212,2020-07-09,SWK,Industrials,138.97,139.69,135.16,137.04
213,2020-07-08,SWK,Industrials,139.43,139.81,137.11,139.28
214,2020-07-07,SWK,Industrials,139.31,140.01,137.97,138.89
215,2020-07-06,SWK,Industrials,141.45,142.19,139.47,141.09
216,2020-07-02,SWK,Industrials,138.0,141.95,136.82,138.14
217,2020-07-01,SWK,Industrials,139.42,140.695,134.94,135.61
218,2020-06-30,SWK,Industrials,135.44,140.24,135.26,139.38
219,2020-06-29,SWK,Industrials,137.93,138.4,135.12,136.12
220,2020-06-26,SWK,Industrials,134.85,136.71,133.26,136.27
221,2020-06-25,SWK,Industrials,129.99,136.01,129.56,135.59
222,2020-06-24,SWK,Industrials,133.81,134.36,129.88,131.09
223,2020-06-23,SWK,Industrials,137.22,137.75,135.55,135.68
224,2020-06-22,SWK,Industrials,133.02,135.805,131.83,135.41
225,2020-06-19,SWK,Industrials,140.0,140.365,133.92,133.92
226,2020-06-18,SWK,Industrials,134.09,138.31,133.01,136.76
227,2020-06-17,SWK,Industrials,138.72,139.29,134.765,135.31
228,2020-06-16,SWK,Industrials,142.38,143.97,135.43,138.32
229,2020-06-15,SWK,Industrials,125.33,135.855,124.74,135.38
230,2020-06-12,SWK,Industrials,134.73,136.135,126.16,131.09
231,2020-06-11,SWK,Industrials,129.54,133.86,127.55,128.45
232,2020-06-10,SWK,Industrials,140.87,140.91,136.43,136.48
233,2020-06-09,SWK,Industrials,144.71,145.985,141.02,141.23
234,2020-06-08,SWK,Industrials,147.54,151.8,147.1,148.23
235,2020-06-05,SWK,Industrials,150.64,154.42,145.77,146.64
236,2020-06-04,SWK,Industrials,136.91,142.64,136.22,142.5
237,2020-06-03,SWK,Industrials,133.83,141.75,133.83,137.95
238,2020-06-02,SWK,Industrials,126.95,131.12,126.06,131.12
239,2020-06-01,SWK,Industrials,125.03,126.775,123.57,125.09
240,2020-05-29,SWK,Industrials,125.24,127.385,121.8,125.45
241,2020-05-28,SWK,Industrials,133.78,134.02,126.2,126.49
242,2020-05-27,SWK,Industrials,133.68,136.81,131.36,132.84
243,2020-05-26,SWK,Industrials,127.89,129.45,125.97,128.1
244,2020-05-22,SWK,Industrials,123.99,124.36,120.87,121.49
245,2020-05-21,SWK,Industrials,126.62,128.035,122.99,123.52
246,2020-05-20,SWK,Industrials,123.68,127.99,123.68,127.13
247,2020-05-19,SWK,Industrials,125.0,125.08,119.545,121.89
248,2020-05-18,SWK,Industrials,113.18,121.3599,112.94,120.66
249,2020-05-15,SWK,Industrials,103.22,109.77,102.8,107.84
250,2020-05-14,SWK,Industrials,100.06,104.75,97.6375,104.45
251,2020-05-13,SWK,Industrials,107.97,108.0,101.175,102.39
252,2020-05-12,SWK,Industrials,111.41,113.24,108.72,108.72
253,2020-05-11,SWK,Industrials,115.66,116.5,112.03,113.58
254,2020-05-08,SWK,Industrials,112.0,117.5,111.83,117.33
255,2020-05-07,SWK,Industrials,107.33,110.48,107.33,109.98
256,2020-05-06,SWK,Industrials,107.23,107.95,104.86,106.11
257,2020-05-05,SWK,Industrials,105.53,108.64,104.8272,107.12
258,2020-05-04,SWK,Industrials,104.85,106.49,101.5,103.93
259,2020-05-01,SWK,Industrials,107.77,110.73,106.15,106.5
260,2020-04-30,SWK,Industrials,112.31,116.13,108.005,110.2
261,2020-04-29,SWK,Industrials,121.26,124.01,120.67,122.09
262,2020-04-28,SWK,Industrials,114.4,119.82,114.4,117.82
263,2020-04-27,SWK,Industrials,108.62,113.75,108.175,112.74
264,2020-04-24,SWK,Industrials,106.75,109.0,104.26,107.74
265,2020-04-23,SWK,Industrials,107.59,109.65,105.4,105.83
266,2020-04-22,SWK,Industrials,109.01,109.545,105.06,107.37
267,2020-04-21,SWK,Industrials,105.34,107.31,104.58,106.34
268,2020-04-20,SWK,Industrials,108.89,112.46,106.62,110.48
269,2020-04-17,SWK,Industrials,111.31,113.8,110.75,112.54
270,2020-04-16,SWK,Industrials,107.28,107.28,104.23,106.71
271,2020-04-15,SWK,Industrials,110.4,111.77,105.91,107.19
272,2020-04-14,SWK,Industrials,116.7,118.175,114.71,115.53
273,2020-04-13,SWK,Industrials,119.99,120.4,110.6463,114.05
274,2020-04-09,SWK,Industrials,116.76,120.52,115.54,119.37
275,2020-04-08,SWK,Industrials,109.13,115.74,107.62,114.38
276,2020-04-07,SWK,Industrials,112.53,114.67,107.22,107.4
277,2020-04-06,SWK,Industrials,102.24,107.8,99.63,106.69
278,2020-04-03,SWK,Industrials,94.69,96.88,93.46,95.27
279,2020-04-02,SWK,Industrials,92.59,95.85,92.59,95.69
280,2020-04-01,SWK,Industrials,94.16,95.34,88.54,92.13
281,2020-03-31,SWK,Industrials,99.12,102.57,98.19,100.0
282,2020-03-30,SWK,Industrials,95.11,101.32,94.05,100.38
283,2020-03-27,SWK,Industrials,101.83,103.15,95.03,96.66
284,2020-03-26,SWK,Industrials,100.32,108.22,98.55,107.24
285,2020-03-25,SWK,Industrials,90.91,105.43,90.705,98.26
286,2020-03-24,SWK,Industrials,76.77,92.15,76.07,90.27
287,2020-03-23,SWK,Industrials,78.56,79.46,70.0,72.03
288,2020-03-20,SWK,Industrials,85.12,89.57,78.84,79.45
289,2020-03-19,SWK,Industrials,76.96,85.72,70.0,83.77
290,2020-03-18,SWK,Industrials,84.09,87.74,72.39,78.33
291,2020-03-17,SWK,Industrials,88.02,91.22,78.61,90.91
292,2020-03-16,SWK,Industrials,99.53,99.716,82.9,86.64
293,2020-03-13,SWK,Industrials,110.67,111.51,99.62,109.09
294,2020-03-12,SWK,Industrials,109.45,116.0833,104.66,104.74
295,2020-03-11,SWK,Industrials,126.11,127.12,121.395,122.18
296,2020-03-10,SWK,Industrials,124.21,131.02,123.275,130.59
297,2020-03-09,SWK,Industrials,119.67,122.83,118.07,120.02
298,2020-03-06,SWK,Industrials,124.21,129.88,122.82,128.21
299,2020-03-05,SWK,Industrials,134.64,135.78,126.63,127.63
300,2020-03-04,SWK,Industrials,136.49,138.03,133.7,137.71
301,2020-03-03,SWK,Industrials,141.45,144.59,132.63,134.35
302,2020-03-02,SWK,Industrials,143.87,143.925,137.09,142.42
303,2020-02-28,SWK,Industrials,131.34,147.09,131.05,143.7
304,2020-02-27,SWK,Industrials,138.74,142.59,136.13,136.13
305,2020-02-26,SWK,Industrials,145.23,148.14,141.93,142.21
306,2020-02-25,SWK,Industrials,151.84,152.2099,142.26,143.69
307,2020-02-24,SWK,Industrials,153.11,153.485,150.02,151.08
308,2020-02-21,SWK,Industrials,160.73,161.44,157.91,158.1
309,2020-02-20,SWK,Industrials,161.92,163.825,160.76,162.05
310,2020-02-19,SWK,Industrials,165.5,166.46,160.41,161.79
311,2020-02-18,SWK,Industrials,166.31,166.35,163.53,164.93
312,2020-02-14,SWK,Industrials,167.89,168.64,165.99,166.97
313,2020-02-13,SWK,Industrials,167.13,168.42,167.1145,167.88
314,2020-02-12,SWK,Industrials,166.95,169.04,166.95,168.37
315,2020-02-11,SWK,Industrials,165.11,166.3,164.12,165.53
316,2020-02-10,SWK,Industrials,162.53,165.16,162.16,164.49
317,2020-02-07,SWK,Industrials,164.66,165.11,162.64,163.05
318,2020-02-06,SWK,Industrials,169.05,169.14,165.61,166.12
319,2020-02-05,SWK,Industrials,168.22,168.93,166.86,167.87
320,2020-02-04,SWK,Industrials,163.24,167.1,163.23,165.8
321,2020-02-03,SWK,Industrials,160.6,163.645,159.715,160.87
322,2020-01-31,SWK,Industrials,163.95,165.04,158.84,159.33
323,2020-01-30,SWK,Industrials,161.99,165.25,160.22,165.16
324,2020-01-29,SWK,Industrials,159.19,164.39,158.34,162.75
325,2020-01-28,SWK,Industrials,163.67,166.73,162.58,166.35
326,2020-01-27,SWK,Industrials,162.42,164.03,160.66,162.34
327,2020-01-24,SWK,Industrials,168.71,169.3074,165.175,166.48
328,2020-01-23,SWK,Industrials,166.68,168.85,165.15,168.48
329,2020-01-22,SWK,Industrials,170.05,170.65,167.66,167.88
330,2020-01-21,SWK,Industrials,171.55,171.85,169.6753,169.79
331,2020-01-17,SWK,Industrials,170.7,173.67,170.07,172.53
332,2020-01-16,SWK,Industrials,167.76,170.84,167.11,170.5
333,2020-01-15,SWK,Industrials,166.1,167.43,165.11,167.08
334,2020-01-14,SWK,Industrials,165.21,167.69,164.99,166.66
335,2020-01-13,SWK,Industrials,166.57,167.04,165.2,165.3
336,2020-01-10,SWK,Industrials,165.77,167.25,165.12,166.0
337,2020-01-09,SWK,Industrials,166.58,166.79,164.72,165.26
338,2020-01-08,SWK,Industrials,165.55,167.05,164.98,165.98
339,2020-01-07,SWK,Industrials,166.61,167.0,165.09,165.19
340,2020-01-06,SWK,Industrials,165.34,166.53,164.7,166.52
341,2020-01-03,SWK,Industrials,164.83,167.54,164.83,167.12
342,2020-01-02,SWK,Industrials,167.16,168.02,165.82,168.02
343,2019-12-31,SWK,Industrials,165.34,166.54,164.79,165.74
344,2019-12-30,SWK,Industrials,166.4,166.4,165.03,165.67
345,2019-12-27,SWK,Industrials,166.31,166.3999,164.87,165.9
346,2019-12-26,SWK,Industrials,165.53,165.88,164.38,165.66
347,2019-12-24,SWK,Industrials,166.72,166.86,164.98,165.09
348,2019-12-23,SWK,Industrials,166.16,167.13,165.85,166.68
349,2019-12-20,SWK,Industrials,165.44,167.4095,164.655,165.64
350,2019-12-19,SWK,Industrials,165.35,166.21,163.71,165.87
351,2019-12-18,SWK,Industrials,165.42,165.87,162.58,165.11
352,2019-12-17,SWK,Industrials,164.48,165.67,163.9,165.01
353,2019-12-16,SWK,Industrials,166.09,166.37,163.88,164.05
354,2019-12-13,SWK,Industrials,166.5,169.54,163.75,164.54
355,2019-12-12,SWK,Industrials,160.0,168.41,158.28,167.76
356,2019-12-11,SWK,Industrials,158.14,159.99,157.61,159.59
357,2019-12-10,SWK,Industrials,158.57,158.58,156.14,157.26
358,2019-12-09,SWK,Industrials,156.63,159.16,156.63,158.59
359,2019-12-06,SWK,Industrials,158.23,159.5,158.21,158.87
360,2019-12-05,SWK,Industrials,154.08,157.5,153.49,157.39
361,2019-12-04,SWK,Industrials,153.56,155.46,153.2196,153.28
362,2019-12-03,SWK,Industrials,150.93,152.17,149.22,151.8
363,2019-12-02,SWK,Industrials,157.75,157.776,153.15,153.28
364,2019-11-29,SWK,Industrials,158.21,158.225,157.17,157.74
365,2019-11-27,SWK,Industrials,158.46,159.16,157.26,158.8
366,2019-11-26,SWK,Industrials,159.98,159.98,158.05,158.84
367,2019-11-25,SWK,Industrials,158.04,159.64,157.64,159.29
368,2019-11-22,SWK,Industrials,155.67,157.34,154.64,157.28
369,2019-11-21,SWK,Industrials,153.82,155.51,153.65,155.09
370,2019-11-20,SWK,Industrials,155.63,156.07,152.49,153.67
371,2019-11-19,SWK,Industrials,156.86,156.97,154.845,156.43
372,2019-11-18,SWK,Industrials,156.68,157.2,155.58,156.11
373,2019-11-15,SWK,Industrials,157.62,157.83,156.5,157.63
374,2019-11-14,SWK,Industrials,157.66,157.755,155.255,156.11
375,2019-11-13,SWK,Industrials,155.93,157.29,154.61,155.38
376,2019-11-12,SWK,Industrials,157.75,159.14,157.21,157.62
377,2019-11-11,SWK,Industrials,156.0,158.01,155.97,157.94
378,2019-11-08,SWK,Industrials,159.42,159.45,157.37,157.84
379,2019-11-07,SWK,Industrials,159.65,162.15,157.6601,159.45
380,2019-11-06,SWK,Industrials,160.0,160.0,157.23,159.24
