,date,symbol,sector,open,high,low,close
0,2021-05-12,SYK,Health Care,249.1,251.49,244.13,244.76
1,2021-05-11,SYK,Health Care,254.44,255.46,250.425,251.5
2,2021-05-10,SYK,Health Care,255.69,258.83,255.69,255.98
3,2021-05-07,SYK,Health Care,254.58,257.32,253.48,254.78
4,2021-05-06,SYK,Health Care,253.06,254.3,250.19,254.13
5,2021-05-05,SYK,Health Care,256.7,254.04,251.7,253.07
6,2021-05-04,SYK,Health Care,261.42,261.42,253.24,255.59
7,2021-05-03,SYK,Health Care,263.53,264.355,262.29,263.1
8,2021-04-30,SYK,Health Care,263.0,263.715,259.98,262.63
9,2021-04-29,SYK,Health Care,260.25,263.96,259.81,263.43
10,2021-04-28,SYK,Health Care,261.0,262.39,257.87,259.58
11,2021-04-27,SYK,Health Care,264.72,266.38,262.54,265.03
12,2021-04-26,SYK,Health Care,267.78,267.98,265.08,265.28
13,2021-04-23,SYK,Health Care,263.98,268.04,263.46,267.0
14,2021-04-22,SYK,Health Care,264.11,265.95,262.26,264.17
15,2021-04-21,SYK,Health Care,259.73,264.57,259.0155,263.89
16,2021-04-20,SYK,Health Care,255.97,259.5,255.25,258.43
17,2021-04-19,SYK,Health Care,256.68,257.54,254.51,256.75
18,2021-04-16,SYK,Health Care,258.15,260.0,255.14,257.13
19,2021-04-15,SYK,Health Care,252.78,257.13,252.63,256.85
20,2021-04-14,SYK,Health Care,254.13,255.52,251.8,252.29
21,2021-04-13,SYK,Health Care,251.0,253.78,250.6801,253.57
22,2021-04-12,SYK,Health Care,252.0,254.0101,251.48,251.83
23,2021-04-09,SYK,Health Care,250.89,253.46,250.46,253.32
24,2021-04-08,SYK,Health Care,248.69,250.175,248.07,249.87
25,2021-04-07,SYK,Health Care,248.18,249.9,246.33,247.44
26,2021-04-06,SYK,Health Care,248.07,249.89,247.48,248.39
27,2021-04-05,SYK,Health Care,244.93,248.96,244.6245,248.48
28,2021-04-01,SYK,Health Care,244.29,244.29,241.13,242.95
29,2021-03-31,SYK,Health Care,243.49,245.23,243.04,243.58
30,2021-03-30,SYK,Health Care,239.73,244.595,239.73,243.1
31,2021-03-29,SYK,Health Care,239.42,242.84,238.44,242.03
32,2021-03-26,SYK,Health Care,235.59,241.29,234.2592,240.98
33,2021-03-25,SYK,Health Care,234.3,236.07,231.35,235.34
34,2021-03-24,SYK,Health Care,229.97,236.505,229.096,233.81
35,2021-03-23,SYK,Health Care,232.03,233.185,228.79,229.43
36,2021-03-22,SYK,Health Care,229.79,233.2038,228.45,232.08
37,2021-03-19,SYK,Health Care,230.1,233.45,227.84,230.0
38,2021-03-18,SYK,Health Care,235.73,236.4,230.3,230.86
39,2021-03-17,SYK,Health Care,239.31,239.31,235.52,236.18
40,2021-03-16,SYK,Health Care,241.4,242.09,236.375,238.03
41,2021-03-15,SYK,Health Care,241.4,241.76,239.26,241.25
42,2021-03-12,SYK,Health Care,238.71,241.21,238.71,240.76
43,2021-03-11,SYK,Health Care,240.83,240.99,238.07,239.26
44,2021-03-10,SYK,Health Care,238.93,240.99,237.18,240.08
45,2021-03-09,SYK,Health Care,238.2,242.51,237.13,237.17
46,2021-03-08,SYK,Health Care,239.7,240.5,235.82,236.0
47,2021-03-05,SYK,Health Care,237.58,241.235,232.58,240.03
48,2021-03-04,SYK,Health Care,242.79,243.21,233.06,235.8
49,2021-03-03,SYK,Health Care,244.1,245.05,242.345,242.88
50,2021-03-02,SYK,Health Care,247.06,247.165,243.51,245.39
51,2021-03-01,SYK,Health Care,245.3,247.8278,244.95,245.81
52,2021-02-26,SYK,Health Care,247.34,247.34,242.105,242.69
53,2021-02-25,SYK,Health Care,248.85,250.02,244.19,245.78
54,2021-02-24,SYK,Health Care,246.0,249.92,245.34,248.82
55,2021-02-23,SYK,Health Care,244.42,248.15,241.96,246.56
56,2021-02-22,SYK,Health Care,240.42,244.6,238.74,243.15
57,2021-02-19,SYK,Health Care,245.48,246.38,241.085,242.09
58,2021-02-18,SYK,Health Care,245.16,247.31,243.425,245.16
59,2021-02-17,SYK,Health Care,247.11,247.61,243.64,246.57
60,2021-02-16,SYK,Health Care,247.43,248.3,243.75,247.86
61,2021-02-12,SYK,Health Care,243.75,248.69,243.16,248.15
62,2021-02-11,SYK,Health Care,244.18,245.99,242.55,245.34
63,2021-02-10,SYK,Health Care,243.81,244.6,241.3833,243.03
64,2021-02-09,SYK,Health Care,242.67,244.28,240.57,242.15
65,2021-02-08,SYK,Health Care,238.42,242.55,238.06,242.45
66,2021-02-05,SYK,Health Care,240.05,241.97,237.97,238.78
67,2021-02-04,SYK,Health Care,233.95,241.1494,232.54,237.08
68,2021-02-03,SYK,Health Care,233.68,235.4029,230.32,233.95
69,2021-02-02,SYK,Health Care,229.52,238.74,229.37,235.13
70,2021-02-01,SYK,Health Care,223.52,227.42,222.69,226.54
71,2021-01-29,SYK,Health Care,229.0,229.76,220.9,221.01
72,2021-01-28,SYK,Health Care,232.49,234.59,226.88,230.0
73,2021-01-27,SYK,Health Care,235.0,235.46,229.58,230.75
74,2021-01-26,SYK,Health Care,240.03,242.15,237.73,238.0
75,2021-01-25,SYK,Health Care,239.21,239.97,236.87,239.55
76,2021-01-22,SYK,Health Care,242.6,243.013,239.92,239.93
77,2021-01-21,SYK,Health Care,244.38,245.34,240.48,243.6
78,2021-01-20,SYK,Health Care,242.4,246.69,240.68,245.21
79,2021-01-19,SYK,Health Care,243.0,244.25,240.56,242.07
80,2021-01-15,SYK,Health Care,241.84,243.655,238.75,241.99
81,2021-01-14,SYK,Health Care,242.9,244.11,240.81,242.13
82,2021-01-13,SYK,Health Care,239.2,244.25,238.59,243.2
83,2021-01-12,SYK,Health Care,240.35,241.82,237.2858,239.21
84,2021-01-11,SYK,Health Care,242.62,243.33,240.79,241.85
85,2021-01-08,SYK,Health Care,244.59,247.44,241.64,243.66
86,2021-01-07,SYK,Health Care,242.79,244.23,239.65,243.72
87,2021-01-06,SYK,Health Care,238.88,242.72,236.7692,242.45
88,2021-01-05,SYK,Health Care,239.36,241.54,238.25,239.66
89,2021-01-04,SYK,Health Care,245.34,245.53,236.23,239.02
90,2020-12-31,SYK,Health Care,242.1,245.34,240.53,245.04
91,2020-12-30,SYK,Health Care,240.32,242.82,240.32,242.06
92,2020-12-29,SYK,Health Care,240.89,242.45,239.86,240.85
93,2020-12-28,SYK,Health Care,239.0,240.45,237.92,238.54
94,2020-12-24,SYK,Health Care,237.18,238.25,236.33,237.06
95,2020-12-23,SYK,Health Care,236.78,239.0,236.31,236.33
96,2020-12-22,SYK,Health Care,234.79,236.58,231.43,235.29
97,2020-12-21,SYK,Health Care,235.43,236.57,230.6,234.86
98,2020-12-18,SYK,Health Care,238.15,240.49,236.14,240.0
99,2020-12-17,SYK,Health Care,236.0,238.23,235.18,238.1
100,2020-12-16,SYK,Health Care,233.51,236.12,231.79,235.13
101,2020-12-15,SYK,Health Care,233.82,235.7958,230.56,234.06
102,2020-12-14,SYK,Health Care,233.86,236.45,230.8,230.95
103,2020-12-11,SYK,Health Care,234.0,234.77,230.26,232.2
104,2020-12-10,SYK,Health Care,235.0,237.26,233.435,235.13
105,2020-12-09,SYK,Health Care,236.22,237.8,235.05,235.93
106,2020-12-08,SYK,Health Care,234.76,236.68,234.1,235.45
107,2020-12-07,SYK,Health Care,237.5,239.33,235.62,236.8
108,2020-12-04,SYK,Health Care,234.71,239.59,234.19,239.59
109,2020-12-03,SYK,Health Care,234.27,236.37,232.9,234.78
110,2020-12-02,SYK,Health Care,230.93,234.31,229.55,234.26
111,2020-12-01,SYK,Health Care,235.63,236.11,230.19,231.0
112,2020-11-30,SYK,Health Care,233.57,234.74,230.76,233.4
113,2020-11-27,SYK,Health Care,235.68,236.5999,231.81,232.81
114,2020-11-25,SYK,Health Care,240.29,240.51,233.06,233.72
115,2020-11-24,SYK,Health Care,235.39,242.51,235.08,240.31
116,2020-11-23,SYK,Health Care,233.45,235.41,232.19,233.01
117,2020-11-20,SYK,Health Care,232.74,234.27,231.02,232.86
118,2020-11-19,SYK,Health Care,231.0,234.01,229.44,233.57
119,2020-11-18,SYK,Health Care,231.37,234.95,230.995,231.76
120,2020-11-17,SYK,Health Care,232.35,233.58,227.5,231.44
121,2020-11-16,SYK,Health Care,235.15,236.03,231.755,235.78
122,2020-11-13,SYK,Health Care,226.33,232.39,226.0,231.94
123,2020-11-12,SYK,Health Care,224.28,227.445,222.605,225.22
124,2020-11-11,SYK,Health Care,232.46,232.46,223.83,225.24
125,2020-11-10,SYK,Health Care,232.66,233.0,227.25,230.57
126,2020-11-09,SYK,Health Care,231.35,241.53,230.64,234.35
127,2020-11-06,SYK,Health Care,210.88,215.0,208.92,213.44
128,2020-11-05,SYK,Health Care,211.12,212.2787,208.85,210.6
129,2020-11-04,SYK,Health Care,209.82,215.0,207.05,207.73
130,2020-11-03,SYK,Health Care,206.0,209.66,205.11,208.26
131,2020-11-02,SYK,Health Care,204.0,206.075,200.2475,202.78
132,2020-10-30,SYK,Health Care,209.28,212.485,196.0928,202.01
133,2020-10-29,SYK,Health Care,204.96,208.52,202.27,205.39
134,2020-10-28,SYK,Health Care,208.83,209.1,203.66,204.95
135,2020-10-27,SYK,Health Care,214.69,216.77,213.02,213.46
136,2020-10-26,SYK,Health Care,218.79,218.92,212.69,214.74
137,2020-10-23,SYK,Health Care,226.0,226.41,221.065,221.9
138,2020-10-22,SYK,Health Care,221.46,225.03,219.66,224.64
139,2020-10-21,SYK,Health Care,221.59,222.76,219.725,220.9
140,2020-10-20,SYK,Health Care,222.13,224.6,220.48,220.8
141,2020-10-19,SYK,Health Care,224.2,226.0,219.73,220.89
142,2020-10-16,SYK,Health Care,223.8,227.06,223.32,224.05
143,2020-10-15,SYK,Health Care,217.36,223.35,216.96,222.33
144,2020-10-14,SYK,Health Care,220.49,224.655,220.0776,221.22
145,2020-10-13,SYK,Health Care,224.09,224.895,219.29,220.0
146,2020-10-12,SYK,Health Care,225.0,227.39,223.6,225.63
147,2020-10-09,SYK,Health Care,220.0,224.73,219.62,222.93
148,2020-10-08,SYK,Health Care,218.0,220.1,216.81,219.09
149,2020-10-07,SYK,Health Care,213.43,218.12,213.18,217.4
150,2020-10-06,SYK,Health Care,213.8,214.81,210.02,210.59
151,2020-10-05,SYK,Health Care,210.54,214.1,210.37,214.06
152,2020-10-02,SYK,Health Care,205.85,210.93,204.45,208.3
153,2020-10-01,SYK,Health Care,209.84,210.24,206.33,208.67
154,2020-09-30,SYK,Health Care,205.22,210.67,204.78,208.37
155,2020-09-29,SYK,Health Care,207.99,208.86,203.45,204.74
156,2020-09-28,SYK,Health Care,209.02,210.15,207.01,207.25
157,2020-09-25,SYK,Health Care,196.75,205.15,196.75,205.01
158,2020-09-24,SYK,Health Care,201.63,201.785,197.58,198.96
159,2020-09-23,SYK,Health Care,203.85,205.52,201.85,202.4
160,2020-09-22,SYK,Health Care,202.3,203.65,199.04,203.37
161,2020-09-21,SYK,Health Care,202.05,203.47,199.075,202.91
162,2020-09-18,SYK,Health Care,211.69,213.09,205.69,206.38
163,2020-09-17,SYK,Health Care,213.17,215.3266,210.675,211.57
164,2020-09-16,SYK,Health Care,211.78,216.85,211.461,215.81
165,2020-09-15,SYK,Health Care,206.2,211.9599,206.06,210.5
