,date,symbol,sector,open,high,low,close
0,2021-05-12,TDG,Industrials,600.02,601.51,576.98,578.24
1,2021-05-11,TDG,Industrials,599.72,607.6,582.14,600.06
2,2021-05-10,TDG,Industrials,610.0,614.565,600.72,601.37
3,2021-05-07,TDG,Industrials,597.0,609.97,597.0,607.99
4,2021-05-06,TDG,Industrials,599.03,599.7,585.0,599.04
5,2021-05-05,TDG,Industrials,598.69,597.87,591.28,595.5
6,2021-05-04,TDG,Industrials,607.21,608.485,593.0,596.66
7,2021-05-03,TDG,Industrials,617.22,622.565,607.12,607.85
8,2021-04-30,TDG,Industrials,606.1,614.55,604.28,613.74
9,2021-04-29,TDG,Industrials,611.38,614.67,604.2,610.0
10,2021-04-28,TDG,Industrials,601.68,607.83,600.36,605.26
11,2021-04-27,TDG,Industrials,604.92,612.04,601.81,602.46
12,2021-04-26,TDG,Industrials,596.7,605.14,596.23,603.95
13,2021-04-23,TDG,Industrials,593.52,598.0,585.48,595.33
14,2021-04-22,TDG,Industrials,598.0,605.17,593.69,593.79
15,2021-04-21,TDG,Industrials,595.0,598.58,591.79,596.19
16,2021-04-20,TDG,Industrials,601.42,601.42,583.73,595.75
17,2021-04-19,TDG,Industrials,612.65,615.31,601.74,606.0
18,2021-04-16,TDG,Industrials,626.64,629.4,613.06,617.49
19,2021-04-15,TDG,Industrials,629.85,629.85,619.11,623.79
20,2021-04-14,TDG,Industrials,621.27,633.04,615.7615,628.92
21,2021-04-13,TDG,Industrials,618.99,625.57,613.34,618.33
22,2021-04-12,TDG,Industrials,613.45,623.65,611.0,623.64
23,2021-04-09,TDG,Industrials,614.43,615.56,607.6,615.24
24,2021-04-08,TDG,Industrials,603.44,616.89,600.69,616.1
25,2021-04-07,TDG,Industrials,613.07,613.07,601.18,606.45
26,2021-04-06,TDG,Industrials,597.89,619.05,597.89,614.38
27,2021-04-05,TDG,Industrials,609.16,615.75,600.06,603.77
28,2021-04-01,TDG,Industrials,590.36,605.3,588.375,603.71
29,2021-03-31,TDG,Industrials,590.75,594.78,583.01,587.92
30,2021-03-30,TDG,Industrials,580.51,587.05,576.67,584.63
31,2021-03-29,TDG,Industrials,586.47,592.7,575.36,579.18
32,2021-03-26,TDG,Industrials,590.63,590.63,575.475,586.44
33,2021-03-25,TDG,Industrials,590.31,590.35,575.78,586.22
34,2021-03-24,TDG,Industrials,585.95,602.595,585.95,592.82
35,2021-03-23,TDG,Industrials,591.02,594.86,580.01,582.95
36,2021-03-22,TDG,Industrials,601.53,602.1,590.755,597.36
37,2021-03-19,TDG,Industrials,594.02,608.77,587.86,601.52
38,2021-03-18,TDG,Industrials,608.13,613.66,595.81,597.61
39,2021-03-17,TDG,Industrials,609.16,615.59,604.35,610.45
40,2021-03-16,TDG,Industrials,616.63,616.63,602.47,606.78
41,2021-03-15,TDG,Industrials,621.05,626.0,612.38,617.46
42,2021-03-12,TDG,Industrials,600.01,620.02,600.01,619.89
43,2021-03-11,TDG,Industrials,597.68,606.28,594.95,597.29
44,2021-03-10,TDG,Industrials,591.44,603.9,585.2,599.37
45,2021-03-09,TDG,Industrials,610.19,610.2,589.47,589.48
46,2021-03-08,TDG,Industrials,602.29,611.83,596.58,606.3
47,2021-03-05,TDG,Industrials,578.61,598.17,562.75,596.93
48,2021-03-04,TDG,Industrials,587.23,592.7,564.46,572.27
49,2021-03-03,TDG,Industrials,594.91,604.15,589.49,590.11
50,2021-03-02,TDG,Industrials,596.39,600.9785,591.83,596.75
51,2021-03-01,TDG,Industrials,588.06,604.45,588.06,596.87
52,2021-02-26,TDG,Industrials,582.37,583.305,571.7,576.67
53,2021-02-25,TDG,Industrials,605.86,605.86,573.96,576.65
54,2021-02-24,TDG,Industrials,606.23,625.05,605.05,609.15
55,2021-02-23,TDG,Industrials,592.46,606.67,581.97,604.3
56,2021-02-22,TDG,Industrials,595.39,599.78,589.02,590.13
57,2021-02-19,TDG,Industrials,579.36,600.71,578.765,600.5
58,2021-02-18,TDG,Industrials,564.0,578.81,561.63,576.54
59,2021-02-17,TDG,Industrials,569.38,574.56,563.83,570.37
60,2021-02-16,TDG,Industrials,578.91,581.305,570.61,572.55
61,2021-02-12,TDG,Industrials,571.43,585.27,568.88,576.49
62,2021-02-11,TDG,Industrials,578.06,586.32,572.91,575.02
63,2021-02-10,TDG,Industrials,593.74,597.64,572.76,579.72
64,2021-02-09,TDG,Industrials,597.9,611.555,586.48,596.64
65,2021-02-08,TDG,Industrials,606.87,610.0,597.06,600.17
66,2021-02-05,TDG,Industrials,616.82,617.4499,601.74,605.0
67,2021-02-04,TDG,Industrials,603.54,610.6,600.06,610.0
68,2021-02-03,TDG,Industrials,585.75,601.06,585.75,599.31
69,2021-02-02,TDG,Industrials,579.45,595.765,577.13,589.4
70,2021-02-01,TDG,Industrials,559.46,573.09,555.5,570.31
71,2021-01-29,TDG,Industrials,555.14,560.8,537.84,553.28
72,2021-01-28,TDG,Industrials,527.44,560.22,525.39,555.73
73,2021-01-27,TDG,Industrials,532.9,546.66,517.37,518.59
74,2021-01-26,TDG,Industrials,563.63,568.89,543.49,544.22
75,2021-01-25,TDG,Industrials,573.64,573.64,555.91,560.11
76,2021-01-22,TDG,Industrials,571.89,578.775,569.79,576.4
77,2021-01-21,TDG,Industrials,574.28,577.41,566.73,573.98
78,2021-01-20,TDG,Industrials,573.41,585.15,571.774,577.49
79,2021-01-19,TDG,Industrials,594.27,594.51,572.365,573.41
80,2021-01-15,TDG,Industrials,605.56,605.56,584.5,584.99
81,2021-01-14,TDG,Industrials,610.21,616.815,604.03,606.07
82,2021-01-13,TDG,Industrials,616.15,617.1,604.37,611.01
83,2021-01-12,TDG,Industrials,612.0,619.76,612.0,617.91
84,2021-01-11,TDG,Industrials,607.18,614.71,607.18,612.92
85,2021-01-08,TDG,Industrials,604.13,614.73,604.13,613.26
86,2021-01-07,TDG,Industrials,604.72,618.74,599.9,605.18
87,2021-01-06,TDG,Industrials,600.9,613.45,595.66,598.9
88,2021-01-05,TDG,Industrials,592.87,609.46,590.17,599.22
89,2021-01-04,TDG,Industrials,611.94,616.34,580.2156,587.67
90,2020-12-31,TDG,Industrials,615.0,622.57,613.01,618.85
91,2020-12-30,TDG,Industrials,607.3,618.91,607.3,616.14
92,2020-12-29,TDG,Industrials,614.0,614.0,601.58,607.83
93,2020-12-28,TDG,Industrials,608.86,612.53,606.06,609.86
94,2020-12-24,TDG,Industrials,609.07,610.7469,602.4,606.71
95,2020-12-23,TDG,Industrials,598.8,616.49,598.8,611.9
96,2020-12-22,TDG,Industrials,599.18,603.545,595.74,596.23
97,2020-12-21,TDG,Industrials,591.52,602.485,586.67,600.71
98,2020-12-18,TDG,Industrials,598.33,611.01,594.79,608.33
99,2020-12-17,TDG,Industrials,604.75,606.59,594.99,598.35
100,2020-12-16,TDG,Industrials,613.74,615.8325,601.2,603.53
101,2020-12-15,TDG,Industrials,599.49,618.64,595.86,613.74
102,2020-12-14,TDG,Industrials,607.3,607.3,595.43,595.82
103,2020-12-11,TDG,Industrials,593.83,609.17,593.83,601.79
104,2020-12-10,TDG,Industrials,589.16,605.97,589.16,601.01
105,2020-12-09,TDG,Industrials,603.37,603.86,587.01,595.5
106,2020-12-08,TDG,Industrials,596.11,609.98,595.31,602.1
107,2020-12-07,TDG,Industrials,603.55,605.45,594.36,601.01
108,2020-12-04,TDG,Industrials,601.0,613.26,601.0,605.67
109,2020-12-03,TDG,Industrials,597.94,613.745,595.49,598.64
110,2020-12-02,TDG,Industrials,590.19,599.95,585.801,594.84
111,2020-12-01,TDG,Industrials,587.84,599.19,583.49,593.6
112,2020-11-30,TDG,Industrials,591.0,595.36,575.465,579.19
113,2020-11-27,TDG,Industrials,608.86,608.86,590.0825,591.54
114,2020-11-25,TDG,Industrials,610.86,610.86,600.0,603.85
115,2020-11-24,TDG,Industrials,605.26,619.32,600.26,615.41
116,2020-11-23,TDG,Industrials,581.57,599.5,579.995,594.94
117,2020-11-20,TDG,Industrials,590.51,596.13,571.4074,574.13
118,2020-11-19,TDG,Industrials,584.03,592.37,576.6,590.65
119,2020-11-18,TDG,Industrials,589.9,600.05,582.1,587.87
120,2020-11-17,TDG,Industrials,567.87,584.55,565.1,577.97
121,2020-11-16,TDG,Industrials,588.34,589.57,572.11,573.96
122,2020-11-13,TDG,Industrials,558.74,568.69,555.51,566.78
123,2020-11-12,TDG,Industrials,545.0,569.3457,533.75,556.53
124,2020-11-11,TDG,Industrials,577.35,577.61,553.485,560.81
125,2020-11-10,TDG,Industrials,574.61,579.79,564.51,574.38
126,2020-11-09,TDG,Industrials,574.46,611.66,568.1596,568.32
127,2020-11-06,TDG,Industrials,519.29,523.85,515.355,520.46
128,2020-11-05,TDG,Industrials,512.72,521.6531,512.72,519.29
129,2020-11-04,TDG,Industrials,510.37,519.3,503.34,512.05
130,2020-11-03,TDG,Industrials,504.64,512.45,502.8,508.56
131,2020-11-02,TDG,Industrials,482.36,495.56,479.105,494.43
132,2020-10-30,TDG,Industrials,473.96,482.28,467.66,477.41
133,2020-10-29,TDG,Industrials,456.29,478.0,456.25,476.54
134,2020-10-28,TDG,Industrials,456.81,465.84,453.76,458.14
135,2020-10-27,TDG,Industrials,482.81,484.81,463.62,464.02
136,2020-10-26,TDG,Industrials,496.25,497.1916,481.0,483.2
137,2020-10-23,TDG,Industrials,497.84,503.89,492.66,501.97
138,2020-10-22,TDG,Industrials,484.49,495.93,484.49,493.07
139,2020-10-21,TDG,Industrials,491.8,493.71,480.59,482.91
140,2020-10-20,TDG,Industrials,490.0,498.96,488.99,493.39
141,2020-10-19,TDG,Industrials,492.33,501.71,482.8701,484.16
142,2020-10-16,TDG,Industrials,495.95,497.94,487.98,491.99
143,2020-10-15,TDG,Industrials,479.88,494.75,477.02,491.32
144,2020-10-14,TDG,Industrials,474.53,489.55,474.53,483.73
145,2020-10-13,TDG,Industrials,480.03,482.87,469.34,473.39
146,2020-10-12,TDG,Industrials,486.78,488.7,482.45,486.0
147,2020-10-09,TDG,Industrials,493.91,494.33,484.21,485.0
148,2020-10-08,TDG,Industrials,492.09,494.01,483.195,490.97
149,2020-10-07,TDG,Industrials,488.81,496.61,487.5,488.5
150,2020-10-06,TDG,Industrials,493.06,503.005,480.41,480.54
151,2020-10-05,TDG,Industrials,490.0,494.65,486.49,487.0
152,2020-10-02,TDG,Industrials,468.56,489.06,468.56,485.58
153,2020-10-01,TDG,Industrials,481.53,492.47,475.165,481.34
154,2020-09-30,TDG,Industrials,489.0,494.8,471.22,475.12
155,2020-09-29,TDG,Industrials,501.28,501.28,488.5,489.08
156,2020-09-28,TDG,Industrials,502.34,511.44,498.36,498.6
157,2020-09-25,TDG,Industrials,475.07,497.091,475.07,494.78
158,2020-09-24,TDG,Industrials,476.98,487.55,467.91,479.6
159,2020-09-23,TDG,Industrials,500.85,505.74,479.08,479.28
160,2020-09-22,TDG,Industrials,490.58,502.64,490.58,502.03
161,2020-09-21,TDG,Industrials,493.9,494.99,474.835,487.81
162,2020-09-18,TDG,Industrials,514.22,521.66,505.28,505.5
163,2020-09-17,TDG,Industrials,525.13,529.2,514.41,519.01
164,2020-09-16,TDG,Industrials,508.11,526.23,504.46,518.89
165,2020-09-15,TDG,Industrials,507.0,511.93,504.34,507.3
166,2020-09-14,TDG,Industrials,511.61,513.05,502.0,507.3
167,2020-09-11,TDG,Industrials,499.61,508.49,493.03,505.75
168,2020-09-10,TDG,Industrials,500.21,510.26,497.44,499.47
169,2020-09-09,TDG,Industrials,502.95,505.22,489.73,500.93
170,2020-09-08,TDG,Industrials,504.39,513.225,493.24,501.93
171,2020-09-04,TDG,Industrials,499.41,506.99,487.8,503.32
172,2020-09-03,TDG,Industrials,507.19,508.94,489.37,493.82
173,2020-09-02,TDG,Industrials,503.06,507.15,496.17,505.15
174,2020-09-01,TDG,Industrials,496.17,505.22,495.54,503.78
175,2020-08-31,TDG,Industrials,506.0,507.5799,494.45,499.67
176,2020-08-28,TDG,Industrials,500.59,507.89,498.65,506.77
177,2020-08-27,TDG,Industrials,488.56,502.46,488.0371,498.32
178,2020-08-26,TDG,Industrials,483.9,489.46,481.48,484.89
179,2020-08-25,TDG,Industrials,490.91,493.64,483.46,486.05
180,2020-08-24,TDG,Industrials,481.16,490.99,481.16,488.5
181,2020-08-21,TDG,Industrials,481.69,485.17,477.86,479.28
