,date,symbol,sector,open,high,low,close
0,2021-05-12,TDY,Industrials,422.12,424.11,412.42,412.42
1,2021-05-11,TDY,Industrials,428.25,428.25,418.25,423.61
2,2021-05-10,TDY,Industrials,434.62,438.745,431.51,431.98
3,2021-05-07,TDY,Industrials,432.32,439.9775,430.01,435.99
4,2021-05-06,TDY,Industrials,429.74,434.97,427.22,433.87
5,2021-05-05,TDY,Industrials,434.02,430.3499,424.945,429.28
6,2021-05-04,TDY,Industrials,440.28,440.6,428.4,432.31
7,2021-05-03,TDY,Industrials,448.49,449.765,440.39,442.16
8,2021-04-30,TDY,Industrials,450.59,452.75,446.72,447.75
9,2021-04-29,TDY,Industrials,453.87,457.79,449.215,452.22
10,2021-04-28,TDY,Industrials,452.36,453.76,441.36,450.27
11,2021-04-27,TDY,Industrials,441.44,445.08,437.14,442.91
12,2021-04-26,TDY,Industrials,445.96,446.12,438.59,440.42
13,2021-04-23,TDY,Industrials,439.54,444.13,436.01,443.46
14,2021-04-22,TDY,Industrials,434.76,442.29,433.68,437.65
15,2021-04-21,TDY,Industrials,426.03,437.62,423.35,436.01
16,2021-04-20,TDY,Industrials,429.43,431.92,420.11,425.64
17,2021-04-19,TDY,Industrials,430.01,430.45,426.63,429.2
18,2021-04-16,TDY,Industrials,430.12,430.89,425.75,429.25
19,2021-04-15,TDY,Industrials,423.54,428.165,421.81,426.81
20,2021-04-14,TDY,Industrials,425.73,428.08,422.7,423.51
21,2021-04-13,TDY,Industrials,426.66,427.035,423.1201,423.91
22,2021-04-12,TDY,Industrials,420.55,428.63,419.07,427.46
23,2021-04-09,TDY,Industrials,420.59,420.59,416.23,419.72
24,2021-04-08,TDY,Industrials,414.29,420.17,411.475,419.1
25,2021-04-07,TDY,Industrials,419.3,419.3,412.25,415.06
26,2021-04-06,TDY,Industrials,419.98,422.58,417.21,419.5
27,2021-04-05,TDY,Industrials,421.72,423.1,417.15,420.94
28,2021-04-01,TDY,Industrials,416.12,424.05,414.34,417.43
29,2021-03-31,TDY,Industrials,405.25,418.67,405.25,413.65
30,2021-03-30,TDY,Industrials,406.89,407.76,400.4199,404.41
31,2021-03-29,TDY,Industrials,400.19,409.7,397.76,406.12
32,2021-03-26,TDY,Industrials,399.46,402.655,393.91,400.78
33,2021-03-25,TDY,Industrials,384.49,400.45,383.89,398.72
34,2021-03-24,TDY,Industrials,389.26,395.86,387.98,388.1
35,2021-03-23,TDY,Industrials,391.31,396.98,387.51,389.7
