,date,symbol,sector,open,high,low,close
0,2021-05-12,TFX,Health Care,397.3,399.695,384.78,385.96
1,2021-05-11,TFX,Health Care,403.91,407.4133,399.31,400.72
2,2021-05-10,TFX,Health Care,412.96,413.535,407.26,407.64
3,2021-05-07,TFX,Health Care,408.93,418.08,408.93,412.55
4,2021-05-06,TFX,Health Care,411.25,411.25,399.44,407.54
5,2021-05-05,TFX,Health Care,416.53,412.52,409.01,410.34
6,2021-05-04,TFX,Health Care,416.7,418.2,409.32,412.68
7,2021-05-03,TFX,Health Care,425.01,425.01,414.94,417.18
8,2021-04-30,TFX,Health Care,420.36,423.82,412.415,422.48
9,2021-04-29,TFX,Health Care,435.23,437.05,414.77,417.2
10,2021-04-28,TFX,Health Care,438.7,449.375,437.25,443.85
11,2021-04-27,TFX,Health Care,438.6,441.53,434.59,438.81
12,2021-04-26,TFX,Health Care,444.59,447.79,439.85,440.01
13,2021-04-23,TFX,Health Care,439.59,445.16,437.05,443.71
14,2021-04-22,TFX,Health Care,437.4,442.89,437.4,439.35
15,2021-04-21,TFX,Health Care,433.26,440.09,433.26,438.28
16,2021-04-20,TFX,Health Care,431.64,433.96,428.14,431.86
17,2021-04-19,TFX,Health Care,430.23,432.39,427.49,431.79
18,2021-04-16,TFX,Health Care,433.49,433.895,427.4,432.56
19,2021-04-15,TFX,Health Care,428.16,435.185,428.16,431.24
20,2021-04-14,TFX,Health Care,429.88,432.0,426.125,426.91
21,2021-04-13,TFX,Health Care,424.78,430.64,424.6,429.29
22,2021-04-12,TFX,Health Care,425.52,428.48,423.9,426.29
23,2021-04-09,TFX,Health Care,421.24,427.63,418.15,427.09
24,2021-04-08,TFX,Health Care,420.95,425.19,419.82,420.15
25,2021-04-07,TFX,Health Care,423.06,424.255,417.38,419.61
26,2021-04-06,TFX,Health Care,422.49,426.55,418.71,423.37
27,2021-04-05,TFX,Health Care,415.54,424.695,415.54,422.49
28,2021-04-01,TFX,Health Care,415.6,417.32,411.22,414.15
29,2021-03-31,TFX,Health Care,415.51,420.32,415.23,415.46
30,2021-03-30,TFX,Health Care,412.33,416.875,411.35,414.79
31,2021-03-29,TFX,Health Care,413.37,417.52,408.08,415.72
32,2021-03-26,TFX,Health Care,410.0,413.12,400.26,413.02
33,2021-03-25,TFX,Health Care,401.97,411.52,397.54,410.28
34,2021-03-24,TFX,Health Care,398.95,408.78,398.95,403.66
35,2021-03-23,TFX,Health Care,402.22,404.89,396.95,399.28
36,2021-03-22,TFX,Health Care,399.52,407.18,397.87,402.66
37,2021-03-19,TFX,Health Care,405.2,408.81,400.46,401.08
38,2021-03-18,TFX,Health Care,414.0,414.0,404.385,406.92
39,2021-03-17,TFX,Health Care,419.81,420.55,414.12,416.46
40,2021-03-16,TFX,Health Care,426.72,429.03,416.41,419.81
41,2021-03-15,TFX,Health Care,422.47,434.975,419.81,429.44
42,2021-03-12,TFX,Health Care,415.97,425.3,411.31,423.5
43,2021-03-11,TFX,Health Care,418.59,419.63,414.58,414.71
44,2021-03-10,TFX,Health Care,409.97,420.0,409.25,418.62
45,2021-03-09,TFX,Health Care,403.33,410.55,403.33,406.75
46,2021-03-08,TFX,Health Care,402.37,406.51,397.19,400.35
47,2021-03-05,TFX,Health Care,392.86,404.59,387.72,401.7
48,2021-03-04,TFX,Health Care,403.77,406.84,389.71,390.97
49,2021-03-03,TFX,Health Care,402.28,404.41,398.92,402.42
50,2021-03-02,TFX,Health Care,403.31,406.685,397.25,403.78
51,2021-03-01,TFX,Health Care,400.82,408.12,400.82,403.68
52,2021-02-26,TFX,Health Care,403.15,406.92,394.97,398.12
53,2021-02-25,TFX,Health Care,400.83,410.6,397.91,402.48
54,2021-02-24,TFX,Health Care,392.87,403.76,392.87,400.39
55,2021-02-23,TFX,Health Care,388.88,397.0099,386.37,395.15
56,2021-02-22,TFX,Health Care,388.77,388.93,379.91,386.54
57,2021-02-19,TFX,Health Care,405.01,405.74,390.35,390.43
58,2021-02-18,TFX,Health Care,400.51,407.21,400.33,403.82
59,2021-02-17,TFX,Health Care,402.48,407.56,400.57,403.3
60,2021-02-16,TFX,Health Care,405.79,407.06,400.315,404.5
61,2021-02-12,TFX,Health Care,405.21,410.35,403.73,406.19
62,2021-02-11,TFX,Health Care,403.7,407.34,401.05,406.55
63,2021-02-10,TFX,Health Care,402.23,404.98,397.745,403.21
64,2021-02-09,TFX,Health Care,397.29,402.55,396.74,400.28
65,2021-02-08,TFX,Health Care,398.94,402.45,396.42,398.63
66,2021-02-05,TFX,Health Care,400.62,403.86,398.54,398.77
67,2021-02-04,TFX,Health Care,389.84,403.99,389.84,398.66
68,2021-02-03,TFX,Health Care,390.99,393.09,382.03,389.27
69,2021-02-02,TFX,Health Care,384.14,398.57,383.76,391.4
70,2021-02-01,TFX,Health Care,380.29,384.36,374.12,379.33
71,2021-01-29,TFX,Health Care,379.57,381.83,373.9,377.63
72,2021-01-28,TFX,Health Care,375.21,386.815,372.77,381.5
73,2021-01-27,TFX,Health Care,377.36,379.41,370.79,372.25
