,date,symbol,sector,open,high,low,close
0,2021-05-12,TGT,Consumer Discretionary,207.96,208.68,202.76,202.96
1,2021-05-11,TGT,Consumer Discretionary,212.52,212.76,206.95,209.24
2,2021-05-10,TGT,Consumer Discretionary,215.51,217.39,213.72,214.03
3,2021-05-07,TGT,Consumer Discretionary,213.29,215.39,212.81,214.71
4,2021-05-06,TGT,Consumer Discretionary,213.66,213.915,211.94,213.0
5,2021-05-05,TGT,Consumer Discretionary,212.65,213.66,211.75,212.41
6,2021-05-04,TGT,Consumer Discretionary,209.61,211.84,209.1,211.61
7,2021-05-03,TGT,Consumer Discretionary,209.18,212.82,208.82,211.28
8,2021-04-30,TGT,Consumer Discretionary,206.21,208.15,205.98,207.26
9,2021-04-29,TGT,Consumer Discretionary,206.12,208.41,205.77,207.38
10,2021-04-28,TGT,Consumer Discretionary,203.93,205.25,203.44,204.46
11,2021-04-27,TGT,Consumer Discretionary,204.22,205.33,203.31,204.36
12,2021-04-26,TGT,Consumer Discretionary,205.86,206.02,202.85,203.63
13,2021-04-23,TGT,Consumer Discretionary,205.94,206.8,203.9231,206.01
14,2021-04-22,TGT,Consumer Discretionary,207.28,207.645,203.64,205.57
15,2021-04-21,TGT,Consumer Discretionary,207.24,208.41,206.3,206.77
16,2021-04-20,TGT,Consumer Discretionary,208.91,209.49,206.43,207.27
17,2021-04-19,TGT,Consumer Discretionary,209.49,210.86,208.25,208.65
18,2021-04-16,TGT,Consumer Discretionary,206.0,209.49,205.83,208.55
19,2021-04-15,TGT,Consumer Discretionary,206.02,206.21,203.53,205.76
20,2021-04-14,TGT,Consumer Discretionary,204.28,206.0,203.03,205.71
21,2021-04-13,TGT,Consumer Discretionary,205.56,206.0,203.51,204.94
22,2021-04-12,TGT,Consumer Discretionary,205.28,206.35,203.48,205.1
23,2021-04-09,TGT,Consumer Discretionary,204.0,205.67,203.5401,205.36
24,2021-04-08,TGT,Consumer Discretionary,204.35,204.81,202.42,203.46
25,2021-04-07,TGT,Consumer Discretionary,205.75,206.0,204.08,204.45
26,2021-04-06,TGT,Consumer Discretionary,204.4,207.3837,202.95,205.43
27,2021-04-05,TGT,Consumer Discretionary,202.0,205.8,202.0,205.35
28,2021-04-01,TGT,Consumer Discretionary,198.14,201.47,196.36,200.72
29,2021-03-31,TGT,Consumer Discretionary,200.04,201.33,198.03,198.07
30,2021-03-30,TGT,Consumer Discretionary,198.08,201.36,197.61,199.65
31,2021-03-29,TGT,Consumer Discretionary,200.09,201.96,197.51,198.21
32,2021-03-26,TGT,Consumer Discretionary,194.3,201.23,194.03,200.95
33,2021-03-25,TGT,Consumer Discretionary,188.09,193.37,187.67,192.7
34,2021-03-24,TGT,Consumer Discretionary,188.91,189.46,187.38,188.28
35,2021-03-23,TGT,Consumer Discretionary,187.77,190.79,187.43,188.92
36,2021-03-22,TGT,Consumer Discretionary,187.1,190.38,186.7444,188.04
37,2021-03-19,TGT,Consumer Discretionary,179.89,188.3,179.63,187.55
38,2021-03-18,TGT,Consumer Discretionary,177.24,181.15,176.68,179.61
39,2021-03-17,TGT,Consumer Discretionary,179.505,179.66,177.87,178.4
40,2021-03-16,TGT,Consumer Discretionary,179.96,180.69,178.12,180.21
41,2021-03-15,TGT,Consumer Discretionary,180.44,181.79,178.57,181.1
42,2021-03-12,TGT,Consumer Discretionary,179.9,180.35,178.56,180.01
43,2021-03-11,TGT,Consumer Discretionary,179.15,180.09,177.4,179.32
44,2021-03-10,TGT,Consumer Discretionary,179.97,181.63,178.09,178.58
45,2021-03-09,TGT,Consumer Discretionary,178.32,180.74,177.195,179.18
46,2021-03-08,TGT,Consumer Discretionary,175.27,178.47,173.6,176.87
47,2021-03-05,TGT,Consumer Discretionary,170.28,174.98,167.05,172.61
48,2021-03-04,TGT,Consumer Discretionary,172.37,174.61,166.825,169.82
49,2021-03-03,TGT,Consumer Discretionary,175.0,176.87,172.59,173.61
50,2021-03-02,TGT,Consumer Discretionary,188.01,193.58,172.17,173.49
51,2021-03-01,TGT,Consumer Discretionary,185.95,187.5799,184.85,186.09
52,2021-02-26,TGT,Consumer Discretionary,186.15,186.83,182.1808,183.44
53,2021-02-25,TGT,Consumer Discretionary,188.52,190.3,184.58,185.08
54,2021-02-24,TGT,Consumer Discretionary,186.02,187.73,184.3,187.08
55,2021-02-23,TGT,Consumer Discretionary,188.09,188.73,184.11,186.36
56,2021-02-22,TGT,Consumer Discretionary,188.12,190.4064,187.62,188.99
57,2021-02-19,TGT,Consumer Discretionary,191.95,192.45,188.36,188.82
58,2021-02-18,TGT,Consumer Discretionary,188.27,191.56,188.0,191.41
59,2021-02-17,TGT,Consumer Discretionary,189.2,194.215,189.1,193.6
60,2021-02-16,TGT,Consumer Discretionary,191.14,192.575,190.15,190.59
61,2021-02-12,TGT,Consumer Discretionary,191.05,191.87,190.2,191.43
62,2021-02-11,TGT,Consumer Discretionary,192.04,193.17,190.34,190.41
63,2021-02-10,TGT,Consumer Discretionary,193.89,194.45,190.12,192.44
64,2021-02-09,TGT,Consumer Discretionary,194.13,196.25,193.89,194.29
65,2021-02-08,TGT,Consumer Discretionary,192.34,194.48,190.49,193.95
66,2021-02-05,TGT,Consumer Discretionary,189.49,190.33,187.89,188.86
67,2021-02-04,TGT,Consumer Discretionary,185.87,188.74,184.5539,188.59
68,2021-02-03,TGT,Consumer Discretionary,185.19,186.93,183.695,185.11
69,2021-02-02,TGT,Consumer Discretionary,185.5,189.04,185.18,185.59
70,2021-02-01,TGT,Consumer Discretionary,182.18,185.0,179.6801,183.57
71,2021-01-29,TGT,Consumer Discretionary,182.12,183.5,180.26,181.17
72,2021-01-28,TGT,Consumer Discretionary,177.93,185.42,177.76,183.58
73,2021-01-27,TGT,Consumer Discretionary,187.61,187.7,176.82,178.28
74,2021-01-26,TGT,Consumer Discretionary,190.11,190.56,186.67,187.7
75,2021-01-25,TGT,Consumer Discretionary,191.56,193.11,189.23,190.15
76,2021-01-22,TGT,Consumer Discretionary,190.9,192.38,189.4757,191.91
77,2021-01-21,TGT,Consumer Discretionary,190.1,194.09,189.0,191.27
78,2021-01-20,TGT,Consumer Discretionary,188.5,188.7,184.54,188.3
79,2021-01-19,TGT,Consumer Discretionary,194.42,194.75,187.1977,188.16
80,2021-01-15,TGT,Consumer Discretionary,197.65,198.85,194.01,194.8
81,2021-01-14,TGT,Consumer Discretionary,196.99,199.4,196.9,198.01
82,2021-01-13,TGT,Consumer Discretionary,198.52,199.96,195.28,196.82
83,2021-01-12,TGT,Consumer Discretionary,196.17,199.285,195.65,199.1
84,2021-01-11,TGT,Consumer Discretionary,193.04,199.5,192.1896,195.28
85,2021-01-08,TGT,Consumer Discretionary,191.58,193.88,190.8104,193.6
86,2021-01-07,TGT,Consumer Discretionary,189.21,192.346,189.17,191.1
87,2021-01-06,TGT,Consumer Discretionary,180.33,189.47,180.11,188.92
88,2021-01-05,TGT,Consumer Discretionary,176.8,181.97,176.425,180.37
89,2021-01-04,TGT,Consumer Discretionary,176.51,178.09,174.12,177.63
90,2020-12-31,TGT,Consumer Discretionary,174.41,176.6663,174.1,176.53
91,2020-12-30,TGT,Consumer Discretionary,175.7,176.06,172.8201,173.88
92,2020-12-29,TGT,Consumer Discretionary,177.11,177.7699,174.46,175.04
93,2020-12-28,TGT,Consumer Discretionary,177.11,177.46,174.89,176.39
94,2020-12-24,TGT,Consumer Discretionary,175.98,176.51,174.67,175.19
95,2020-12-23,TGT,Consumer Discretionary,172.01,176.33,171.885,174.91
96,2020-12-22,TGT,Consumer Discretionary,172.4,173.11,171.455,172.35
97,2020-12-21,TGT,Consumer Discretionary,169.63,173.06,168.94,171.76
98,2020-12-18,TGT,Consumer Discretionary,171.18,172.18,168.97,170.42
99,2020-12-17,TGT,Consumer Discretionary,172.0,172.28,170.29,171.24
100,2020-12-16,TGT,Consumer Discretionary,172.01,172.9867,170.71,171.69
101,2020-12-15,TGT,Consumer Discretionary,170.65,172.78,170.65,171.41
102,2020-12-14,TGT,Consumer Discretionary,172.96,172.96,170.17,170.99
103,2020-12-11,TGT,Consumer Discretionary,171.5,172.75,171.07,171.71
104,2020-12-10,TGT,Consumer Discretionary,173.59,174.24,172.07,172.4
105,2020-12-09,TGT,Consumer Discretionary,173.35,174.92,172.41,174.07
106,2020-12-08,TGT,Consumer Discretionary,172.5,173.78,171.74,172.72
107,2020-12-07,TGT,Consumer Discretionary,174.27,174.95,171.41,172.91
108,2020-12-04,TGT,Consumer Discretionary,174.38,175.16,173.23,175.03
109,2020-12-03,TGT,Consumer Discretionary,176.47,176.47,173.78,174.92
110,2020-12-02,TGT,Consumer Discretionary,178.02,178.21,175.47,176.41
111,2020-12-01,TGT,Consumer Discretionary,179.81,181.17,177.1,179.05
112,2020-11-30,TGT,Consumer Discretionary,178.25,180.07,176.24,179.53
113,2020-11-27,TGT,Consumer Discretionary,180.81,181.11,178.95,179.77
114,2020-11-25,TGT,Consumer Discretionary,177.73,180.48,177.35,179.82
115,2020-11-24,TGT,Consumer Discretionary,179.76,179.8399,177.1,177.86
116,2020-11-23,TGT,Consumer Discretionary,174.25,179.0156,173.59,177.56
117,2020-11-20,TGT,Consumer Discretionary,172.22,174.41,171.45,172.31
118,2020-11-19,TGT,Consumer Discretionary,168.71,173.44,167.9,171.37
119,2020-11-18,TGT,Consumer Discretionary,165.94,172.1217,164.55,166.85
120,2020-11-17,TGT,Consumer Discretionary,164.0,164.71,160.51,163.04
121,2020-11-16,TGT,Consumer Discretionary,165.0,165.99,163.35,165.18
122,2020-11-13,TGT,Consumer Discretionary,160.99,163.4499,160.6,162.88
123,2020-11-12,TGT,Consumer Discretionary,159.67,160.99,158.64,159.53
124,2020-11-11,TGT,Consumer Discretionary,159.45,162.5692,158.75,159.69
125,2020-11-10,TGT,Consumer Discretionary,157.04,159.06,156.56,158.07
126,2020-11-09,TGT,Consumer Discretionary,163.15,163.16,154.75,154.91
127,2020-11-06,TGT,Consumer Discretionary,158.65,161.9,158.5265,161.5
128,2020-11-05,TGT,Consumer Discretionary,159.74,159.87,156.54,158.63
129,2020-11-04,TGT,Consumer Discretionary,157.22,159.49,155.25,156.62
130,2020-11-03,TGT,Consumer Discretionary,156.32,158.71,155.433,156.73
131,2020-11-02,TGT,Consumer Discretionary,154.0,155.12,152.8001,154.39
132,2020-10-30,TGT,Consumer Discretionary,153.32,154.14,150.8,152.22
133,2020-10-29,TGT,Consumer Discretionary,155.24,156.0899,153.373,154.25
134,2020-10-28,TGT,Consumer Discretionary,154.91,157.27,154.11,155.21
135,2020-10-27,TGT,Consumer Discretionary,158.07,158.88,156.68,157.03
136,2020-10-26,TGT,Consumer Discretionary,158.84,159.39,156.3035,157.97
137,2020-10-23,TGT,Consumer Discretionary,160.39,160.39,158.81,160.23
138,2020-10-22,TGT,Consumer Discretionary,163.07,163.38,159.34,159.6
139,2020-10-21,TGT,Consumer Discretionary,165.75,166.1957,162.95,163.29
140,2020-10-20,TGT,Consumer Discretionary,164.95,167.42,163.816,164.87
141,2020-10-19,TGT,Consumer Discretionary,166.21,166.96,163.82,164.05
