,date,symbol,sector,open,high,low,close
0,2021-05-12,TJX,Consumer Discretionary,71.3,71.59,69.51,69.53
1,2021-05-11,TJX,Consumer Discretionary,72.21,72.36,70.74,72.01
2,2021-05-10,TJX,Consumer Discretionary,74.18,74.65,72.965,72.99
3,2021-05-07,TJX,Consumer Discretionary,71.63,74.02,71.385,73.78
4,2021-05-06,TJX,Consumer Discretionary,71.48,72.11,71.25,71.76
5,2021-05-05,TJX,Consumer Discretionary,71.33,71.31,70.74,71.03
6,2021-05-04,TJX,Consumer Discretionary,71.63,71.63,70.34,70.82
7,2021-05-03,TJX,Consumer Discretionary,71.49,72.48,71.16,72.08
8,2021-04-30,TJX,Consumer Discretionary,71.19,71.87,70.55,71.0
9,2021-04-29,TJX,Consumer Discretionary,70.5,71.49,70.15,71.42
10,2021-04-28,TJX,Consumer Discretionary,69.73,70.34,69.42,69.95
11,2021-04-27,TJX,Consumer Discretionary,69.48,70.2,69.13,69.8
12,2021-04-26,TJX,Consumer Discretionary,70.53,70.95,69.06,69.28
13,2021-04-23,TJX,Consumer Discretionary,69.31,70.685,68.93,70.39
14,2021-04-22,TJX,Consumer Discretionary,68.74,69.815,68.43,69.17
15,2021-04-21,TJX,Consumer Discretionary,67.83,68.9071,67.56,68.48
16,2021-04-20,TJX,Consumer Discretionary,68.52,68.7,67.04,67.75
17,2021-04-19,TJX,Consumer Discretionary,69.94,69.94,68.96,69.0
18,2021-04-16,TJX,Consumer Discretionary,69.74,70.0799,69.31,69.99
19,2021-04-15,TJX,Consumer Discretionary,69.23,69.93,69.11,69.24
20,2021-04-14,TJX,Consumer Discretionary,68.62,69.27,68.44,68.61
21,2021-04-13,TJX,Consumer Discretionary,68.84,69.28,67.91,68.46
22,2021-04-12,TJX,Consumer Discretionary,69.35,69.68,68.53,69.52
23,2021-04-09,TJX,Consumer Discretionary,69.14,69.5,68.29,69.45
24,2021-04-08,TJX,Consumer Discretionary,68.02,69.13,67.71,69.03
25,2021-04-07,TJX,Consumer Discretionary,67.58,68.32,67.55,67.78
26,2021-04-06,TJX,Consumer Discretionary,67.73,68.33,67.46,67.64
27,2021-04-05,TJX,Consumer Discretionary,66.27,67.93,66.27,67.76
28,2021-04-01,TJX,Consumer Discretionary,66.94,67.16,65.57,65.98
29,2021-03-31,TJX,Consumer Discretionary,66.73,67.51,66.1,66.15
30,2021-03-30,TJX,Consumer Discretionary,65.27,66.73,65.04,66.52
31,2021-03-29,TJX,Consumer Discretionary,65.98,66.69,65.06,65.53
32,2021-03-26,TJX,Consumer Discretionary,65.72,66.34,65.125,66.04
33,2021-03-25,TJX,Consumer Discretionary,64.0,65.285,63.41,65.08
34,2021-03-24,TJX,Consumer Discretionary,64.5,65.48,64.33,64.33
35,2021-03-23,TJX,Consumer Discretionary,66.29,66.37,64.24,64.53
36,2021-03-22,TJX,Consumer Discretionary,66.94,67.29,65.88,66.5
37,2021-03-19,TJX,Consumer Discretionary,65.76,67.14,65.16,66.61
38,2021-03-18,TJX,Consumer Discretionary,67.14,67.83,66.3,66.52
39,2021-03-17,TJX,Consumer Discretionary,66.82,67.84,66.68,67.34
40,2021-03-16,TJX,Consumer Discretionary,67.81,67.81,66.42,66.72
41,2021-03-15,TJX,Consumer Discretionary,67.0,68.05,66.39,68.02
42,2021-03-12,TJX,Consumer Discretionary,66.27,67.295,66.16,66.84
43,2021-03-11,TJX,Consumer Discretionary,65.785,66.705,65.73,66.08
44,2021-03-10,TJX,Consumer Discretionary,66.24,66.36,64.48,65.6
45,2021-03-09,TJX,Consumer Discretionary,65.99,67.04,64.93,66.08
46,2021-03-08,TJX,Consumer Discretionary,63.68,65.85,63.27,65.18
47,2021-03-05,TJX,Consumer Discretionary,63.03,63.21,61.355,62.72
48,2021-03-04,TJX,Consumer Discretionary,63.93,64.45,61.15,62.55
49,2021-03-03,TJX,Consumer Discretionary,65.7,66.02,63.55,63.66
50,2021-03-02,TJX,Consumer Discretionary,67.37,67.67,65.76,66.21
51,2021-03-01,TJX,Consumer Discretionary,66.66,67.85,66.66,67.25
52,2021-02-26,TJX,Consumer Discretionary,68.31,68.31,65.4,65.99
53,2021-02-25,TJX,Consumer Discretionary,68.08,69.15,66.18,67.68
54,2021-02-24,TJX,Consumer Discretionary,69.49,70.8599,68.8802,69.86
55,2021-02-23,TJX,Consumer Discretionary,70.35,71.0565,69.18,70.23
56,2021-02-22,TJX,Consumer Discretionary,67.29,70.06,67.29,69.55
57,2021-02-19,TJX,Consumer Discretionary,68.4,68.72,67.39,67.69
58,2021-02-18,TJX,Consumer Discretionary,66.99,68.76,66.517,68.3
59,2021-02-17,TJX,Consumer Discretionary,67.11,67.16,66.1,66.83
60,2021-02-16,TJX,Consumer Discretionary,67.86,68.09,67.26,67.5
61,2021-02-12,TJX,Consumer Discretionary,68.32,68.83,67.71,68.0
