,date,symbol,sector,open,high,low,close
0,2021-05-12,TMO,Health Care,457.7,464.0,454.06,454.78
1,2021-05-11,TMO,Health Care,457.74,464.14,455.5,464.0
2,2021-05-10,TMO,Health Care,468.02,469.95,462.4,463.47
3,2021-05-07,TMO,Health Care,473.44,478.99,467.9,468.45
4,2021-05-06,TMO,Health Care,469.04,470.58,462.3077,470.14
5,2021-05-05,TMO,Health Care,468.6,473.5,467.03,467.77
6,2021-05-04,TMO,Health Care,463.93,465.77,459.626,465.28
7,2021-05-03,TMO,Health Care,471.78,473.13,465.14,467.38
8,2021-04-30,TMO,Health Care,465.47,475.17,465.0,470.23
9,2021-04-29,TMO,Health Care,477.63,479.78,461.6,464.39
10,2021-04-28,TMO,Health Care,489.56,491.59,485.05,485.8
11,2021-04-27,TMO,Health Care,495.6,496.52,490.11,490.22
12,2021-04-26,TMO,Health Care,489.06,496.25,486.59,494.04
13,2021-04-23,TMO,Health Care,485.41,490.365,484.17,488.09
14,2021-04-22,TMO,Health Care,479.52,488.825,478.89,484.21
15,2021-04-21,TMO,Health Care,484.25,485.9057,476.475,480.41
16,2021-04-20,TMO,Health Care,487.7,490.0,481.87,482.36
17,2021-04-19,TMO,Health Care,490.0,494.75,486.08,487.64
18,2021-04-16,TMO,Health Care,498.08,499.0,490.91,492.92
19,2021-04-15,TMO,Health Care,485.0,498.055,484.0,494.38
20,2021-04-14,TMO,Health Care,484.0,493.2,473.45,478.04
21,2021-04-13,TMO,Health Care,478.59,487.7,478.05,484.85
22,2021-04-12,TMO,Health Care,478.13,481.21,474.56,475.98
23,2021-04-09,TMO,Health Care,472.47,479.14,471.05,478.88
24,2021-04-08,TMO,Health Care,471.85,475.79,469.79,471.51
25,2021-04-07,TMO,Health Care,467.0,470.82,462.45,466.38
26,2021-04-06,TMO,Health Care,467.95,473.0,463.59,468.74
27,2021-04-05,TMO,Health Care,460.23,467.45,460.23,465.39
28,2021-04-01,TMO,Health Care,461.25,462.12,456.09,456.3
29,2021-03-31,TMO,Health Care,456.08,460.84,453.0,456.38
30,2021-03-30,TMO,Health Care,455.03,458.35,450.73,451.47
31,2021-03-29,TMO,Health Care,456.49,460.95,450.23,458.57
32,2021-03-26,TMO,Health Care,444.6,460.63,442.26,460.06
33,2021-03-25,TMO,Health Care,444.79,444.79,434.63,442.29
34,2021-03-24,TMO,Health Care,450.48,454.73,444.99,445.37
35,2021-03-23,TMO,Health Care,454.11,458.13,450.5,452.01
36,2021-03-22,TMO,Health Care,445.01,456.39,443.1,454.66
37,2021-03-19,TMO,Health Care,447.16,450.385,444.77,445.01
38,2021-03-18,TMO,Health Care,440.97,453.52,438.33,445.75
39,2021-03-17,TMO,Health Care,442.81,445.9,440.21,442.61
40,2021-03-16,TMO,Health Care,455.29,455.72,442.0,446.43
41,2021-03-15,TMO,Health Care,447.42,455.185,445.75,452.82
42,2021-03-12,TMO,Health Care,454.98,457.12,447.5,450.49
43,2021-03-11,TMO,Health Care,450.0,463.23,448.01,460.52
44,2021-03-10,TMO,Health Care,456.7,459.78,440.73,441.09
45,2021-03-09,TMO,Health Care,450.0,461.06,447.72,448.11
46,2021-03-08,TMO,Health Care,445.61,454.09,439.45,439.85
47,2021-03-05,TMO,Health Care,445.0,448.85,433.52,446.87
48,2021-03-04,TMO,Health Care,446.08,451.93,439.0,441.46
49,2021-03-03,TMO,Health Care,462.22,465.0,450.7,450.96
50,2021-03-02,TMO,Health Care,460.0,467.31,458.075,462.11
51,2021-03-01,TMO,Health Care,454.19,460.6,453.94,459.56
52,2021-02-26,TMO,Health Care,454.72,455.91,448.83,450.08
53,2021-02-25,TMO,Health Care,457.75,458.0,448.54,451.47
54,2021-02-24,TMO,Health Care,470.83,473.36,454.595,456.66
55,2021-02-23,TMO,Health Care,460.88,461.39,453.05,458.81
56,2021-02-22,TMO,Health Care,474.77,476.25,461.76,463.28
57,2021-02-19,TMO,Health Care,489.14,489.9,478.06,478.86
58,2021-02-18,TMO,Health Care,497.85,499.55,488.33,488.8
59,2021-02-17,TMO,Health Care,497.58,505.56,494.09,498.46
60,2021-02-16,TMO,Health Care,510.0,513.61,498.32,500.08
61,2021-02-12,TMO,Health Care,494.16,511.28,493.74,507.83
62,2021-02-11,TMO,Health Care,488.17,494.52,484.1,494.05
63,2021-02-10,TMO,Health Care,494.24,494.24,483.81,484.88
64,2021-02-09,TMO,Health Care,495.29,499.99,488.3016,489.3
65,2021-02-08,TMO,Health Care,497.0,502.15,493.24,495.76
66,2021-02-05,TMO,Health Care,491.53,494.37,487.06,492.56
67,2021-02-04,TMO,Health Care,500.22,503.05,487.66,488.96
68,2021-02-03,TMO,Health Care,518.8,519.5734,499.3,500.22
69,2021-02-02,TMO,Health Care,519.99,525.73,518.01,518.53
70,2021-02-01,TMO,Health Care,516.84,526.5948,512.0,515.47
71,2021-01-29,TMO,Health Care,494.04,513.68,490.63,509.7
72,2021-01-28,TMO,Health Care,491.33,503.34,489.66,496.48
73,2021-01-27,TMO,Health Care,500.22,501.0,479.18,482.48
