,date,symbol,sector,open,high,low,close
0,2021-05-12,TPR,Consumer Discretionary,45.96,46.8,44.49,44.74
1,2021-05-11,TPR,Consumer Discretionary,46.05,46.76,45.11,46.51
2,2021-05-10,TPR,Consumer Discretionary,49.11,49.41,46.91,47.02
3,2021-05-07,TPR,Consumer Discretionary,46.82,49.665,46.65,49.12
4,2021-05-06,TPR,Consumer Discretionary,48.0,48.0,45.51,46.8
5,2021-05-05,TPR,Consumer Discretionary,48.43,48.86,48.16,48.41
6,2021-05-04,TPR,Consumer Discretionary,48.3,48.52,47.37,48.0
7,2021-05-03,TPR,Consumer Discretionary,48.49,49.42,48.14,48.54
8,2021-04-30,TPR,Consumer Discretionary,47.52,48.24,47.34,47.85
9,2021-04-29,TPR,Consumer Discretionary,47.75,48.6,47.42,47.91
10,2021-04-28,TPR,Consumer Discretionary,47.05,48.14,46.76,47.5
11,2021-04-27,TPR,Consumer Discretionary,46.24,47.67,46.23,47.37
12,2021-04-26,TPR,Consumer Discretionary,46.41,47.12,45.6521,45.98
13,2021-04-23,TPR,Consumer Discretionary,45.62,46.5375,45.24,46.36
14,2021-04-22,TPR,Consumer Discretionary,45.19,45.99,44.67,45.16
15,2021-04-21,TPR,Consumer Discretionary,43.27,44.98,43.03,44.93
16,2021-04-20,TPR,Consumer Discretionary,44.83,45.02,42.99,43.52
17,2021-04-19,TPR,Consumer Discretionary,46.16,46.16,44.98,45.23
18,2021-04-16,TPR,Consumer Discretionary,46.58,46.89,46.04,46.56
19,2021-04-15,TPR,Consumer Discretionary,46.16,47.07,45.38,46.25
20,2021-04-14,TPR,Consumer Discretionary,45.3,46.1393,45.25,45.42
21,2021-04-13,TPR,Consumer Discretionary,45.37,45.45,43.709,45.06
22,2021-04-12,TPR,Consumer Discretionary,44.67,45.725,44.58,45.52
23,2021-04-09,TPR,Consumer Discretionary,43.8,45.11,43.56,44.93
24,2021-04-08,TPR,Consumer Discretionary,43.09,43.61,42.26,43.37
25,2021-04-07,TPR,Consumer Discretionary,43.25,43.93,42.73,43.09
26,2021-04-06,TPR,Consumer Discretionary,42.72,43.75,42.48,42.86
27,2021-04-05,TPR,Consumer Discretionary,41.63,42.815,40.91,42.69
28,2021-04-01,TPR,Consumer Discretionary,41.63,41.89,40.46,41.03
29,2021-03-31,TPR,Consumer Discretionary,40.86,41.48,40.4172,41.21
30,2021-03-30,TPR,Consumer Discretionary,39.5,41.09,39.14,40.95
