,date,symbol,sector,open,high,low,close
0,2021-05-12,TSCO,Consumer Discretionary,189.16,190.48,181.73,182.41
1,2021-05-11,TSCO,Consumer Discretionary,194.63,195.08,188.51,191.26
2,2021-05-10,TSCO,Consumer Discretionary,196.96,200.75,195.45,195.7
3,2021-05-07,TSCO,Consumer Discretionary,195.6,196.12,193.85,195.46
4,2021-05-06,TSCO,Consumer Discretionary,195.0,196.1,193.41,194.89
5,2021-05-05,TSCO,Consumer Discretionary,194.23,195.56,192.02,194.61
6,2021-05-04,TSCO,Consumer Discretionary,190.57,194.6,188.94,194.38
7,2021-05-03,TSCO,Consumer Discretionary,190.9695,193.5,189.1,192.84
8,2021-04-30,TSCO,Consumer Discretionary,188.89,191.0,186.5,188.6
9,2021-04-29,TSCO,Consumer Discretionary,189.8122,190.91,187.41,190.5
10,2021-04-28,TSCO,Consumer Discretionary,190.63,192.2399,188.12,188.6
11,2021-04-27,TSCO,Consumer Discretionary,191.68,192.84,188.82,190.5
12,2021-04-26,TSCO,Consumer Discretionary,189.35,191.52,187.02,190.95
13,2021-04-23,TSCO,Consumer Discretionary,187.02,190.29,185.4,189.38
14,2021-04-22,TSCO,Consumer Discretionary,185.92,191.54,184.47,188.11
15,2021-04-21,TSCO,Consumer Discretionary,181.15,182.77,179.31,180.16
16,2021-04-20,TSCO,Consumer Discretionary,183.57,185.89,179.0366,181.05
17,2021-04-19,TSCO,Consumer Discretionary,184.37,184.49,180.12,183.08
18,2021-04-16,TSCO,Consumer Discretionary,177.96,182.8,177.3,181.08
19,2021-04-15,TSCO,Consumer Discretionary,178.21,178.86,176.61,176.94
20,2021-04-14,TSCO,Consumer Discretionary,178.14,180.49,177.52,177.86
21,2021-04-13,TSCO,Consumer Discretionary,178.73,179.63,176.98,178.94
22,2021-04-12,TSCO,Consumer Discretionary,175.65,178.51,174.28,178.14
23,2021-04-09,TSCO,Consumer Discretionary,176.75,177.8999,175.46,177.69
24,2021-04-08,TSCO,Consumer Discretionary,177.57,177.975,175.37,176.65
25,2021-04-07,TSCO,Consumer Discretionary,179.74,180.2199,175.95,177.06
26,2021-04-06,TSCO,Consumer Discretionary,179.83,180.74,177.345,179.51
27,2021-04-05,TSCO,Consumer Discretionary,177.91,180.845,176.73,180.35
28,2021-04-01,TSCO,Consumer Discretionary,177.45,178.04,175.05,176.5
29,2021-03-31,TSCO,Consumer Discretionary,178.14,178.965,175.38,177.08
30,2021-03-30,TSCO,Consumer Discretionary,175.98,179.25,175.98,177.05
31,2021-03-29,TSCO,Consumer Discretionary,177.91,178.56,175.02,175.69
32,2021-03-26,TSCO,Consumer Discretionary,172.775,178.58,171.81,178.48
33,2021-03-25,TSCO,Consumer Discretionary,169.45,173.36,167.65,172.44
34,2021-03-24,TSCO,Consumer Discretionary,174.5346,174.5346,169.06,169.06
35,2021-03-23,TSCO,Consumer Discretionary,173.56,176.82,171.58,172.64
36,2021-03-22,TSCO,Consumer Discretionary,173.79,174.5594,169.63,173.54
37,2021-03-19,TSCO,Consumer Discretionary,169.8,174.08,168.62,172.98
38,2021-03-18,TSCO,Consumer Discretionary,166.6,171.195,166.6,169.29
39,2021-03-17,TSCO,Consumer Discretionary,169.75,169.75,165.1,168.39
40,2021-03-16,TSCO,Consumer Discretionary,170.43,170.99,168.83,170.22
41,2021-03-15,TSCO,Consumer Discretionary,171.14,171.77,169.7624,171.0
42,2021-03-12,TSCO,Consumer Discretionary,171.79,174.18,169.25,171.0
43,2021-03-11,TSCO,Consumer Discretionary,168.63,173.65,168.31,170.23
44,2021-03-10,TSCO,Consumer Discretionary,162.635,168.81,162.038,167.49
45,2021-03-09,TSCO,Consumer Discretionary,164.44,164.98,160.455,160.6
46,2021-03-08,TSCO,Consumer Discretionary,156.92,162.73,156.035,161.0
47,2021-03-05,TSCO,Consumer Discretionary,152.93,155.96,148.785,155.82
48,2021-03-04,TSCO,Consumer Discretionary,154.71,155.14,148.43,151.71
49,2021-03-03,TSCO,Consumer Discretionary,159.44,161.58,155.0,155.08
50,2021-03-02,TSCO,Consumer Discretionary,163.16,163.66,158.29,158.91
51,2021-03-01,TSCO,Consumer Discretionary,160.31,163.87,159.94,162.54
52,2021-02-26,TSCO,Consumer Discretionary,161.84,162.37,158.125,158.96
53,2021-02-25,TSCO,Consumer Discretionary,162.15,164.34,160.255,161.18
54,2021-02-24,TSCO,Consumer Discretionary,165.78,166.9303,160.75,161.08
55,2021-02-23,TSCO,Consumer Discretionary,163.42,166.085,158.16,165.2
56,2021-02-22,TSCO,Consumer Discretionary,168.96,170.0,164.64,164.94
57,2021-02-19,TSCO,Consumer Discretionary,172.38,173.76,169.68,171.34
58,2021-02-18,TSCO,Consumer Discretionary,169.0,173.365,167.79,171.89
59,2021-02-17,TSCO,Consumer Discretionary,162.89,172.14,162.89,170.25
60,2021-02-16,TSCO,Consumer Discretionary,160.35,163.4,159.61,161.94
61,2021-02-12,TSCO,Consumer Discretionary,157.61,160.31,157.61,159.93
