,date,symbol,sector,open,high,low,close
0,2021-05-12,TSLA,Consumer Discretionary,602.49,620.41,586.765,589.89
1,2021-05-11,TSLA,Consumer Discretionary,599.24,627.0999,595.6,617.2
2,2021-05-10,TSLA,Consumer Discretionary,664.9,665.05,627.6101,629.04
3,2021-05-07,TSLA,Consumer Discretionary,665.8,690.0,660.22,672.37
4,2021-05-06,TSLA,Consumer Discretionary,680.76,681.02,650.0,663.54
5,2021-05-05,TSLA,Consumer Discretionary,681.06,685.2955,667.34,670.94
6,2021-05-04,TSLA,Consumer Discretionary,678.94,683.4464,657.701,673.6
7,2021-05-03,TSLA,Consumer Discretionary,703.8,706.0,680.5,684.9
8,2021-04-30,TSLA,Consumer Discretionary,667.59,715.47,666.14,709.44
9,2021-04-29,TSLA,Consumer Discretionary,699.51,702.25,668.5002,677.0
10,2021-04-28,TSLA,Consumer Discretionary,696.41,708.5,693.6,694.4
11,2021-04-27,TSLA,Consumer Discretionary,717.96,724.0,703.3501,704.74
12,2021-04-26,TSLA,Consumer Discretionary,741.0,749.3,732.6053,738.2
13,2021-04-23,TSLA,Consumer Discretionary,719.8,737.36,715.46,729.4
14,2021-04-22,TSLA,Consumer Discretionary,741.5,753.77,718.04,719.69
15,2021-04-21,TSLA,Consumer Discretionary,704.77,744.84,698.0,744.12
16,2021-04-20,TSLA,Consumer Discretionary,717.42,737.25,710.685,718.99
17,2021-04-19,TSLA,Consumer Discretionary,719.6,725.4,691.8001,714.63
18,2021-04-16,TSLA,Consumer Discretionary,728.65,749.41,724.6,739.78
19,2021-04-15,TSLA,Consumer Discretionary,743.1,743.69,721.31,738.85
20,2021-04-14,TSLA,Consumer Discretionary,770.7,780.79,728.03,732.23
21,2021-04-13,TSLA,Consumer Discretionary,712.7,763.0,710.66,762.32
22,2021-04-12,TSLA,Consumer Discretionary,685.7,704.8,682.09,701.98
23,2021-04-09,TSLA,Consumer Discretionary,677.77,680.97,669.43,677.02
24,2021-04-08,TSLA,Consumer Discretionary,677.38,689.5499,671.645,683.8
25,2021-04-07,TSLA,Consumer Discretionary,687.0,691.38,667.84,670.97
26,2021-04-06,TSLA,Consumer Discretionary,690.3,696.55,681.37,691.62
27,2021-04-05,TSLA,Consumer Discretionary,707.71,708.16,684.7,691.05
28,2021-04-01,TSLA,Consumer Discretionary,688.37,692.4203,659.42,661.75
29,2021-03-31,TSLA,Consumer Discretionary,646.62,672.0,641.11,667.93
30,2021-03-30,TSLA,Consumer Discretionary,601.75,637.66,591.01,635.62
31,2021-03-29,TSLA,Consumer Discretionary,615.64,616.48,596.02,611.29
32,2021-03-26,TSLA,Consumer Discretionary,641.87,643.82,599.89,618.71
33,2021-03-25,TSLA,Consumer Discretionary,613.0,645.5,609.5,640.39
34,2021-03-24,TSLA,Consumer Discretionary,667.91,668.02,630.11,630.27
35,2021-03-23,TSLA,Consumer Discretionary,675.77,677.8,657.51,662.16
36,2021-03-22,TSLA,Consumer Discretionary,684.59,699.62,668.75,670.0
37,2021-03-19,TSLA,Consumer Discretionary,646.6,657.23,624.6201,654.87
38,2021-03-18,TSLA,Consumer Discretionary,684.29,689.23,652.0,653.16
