,date,symbol,sector,open,high,low,close
0,2021-05-12,TT,Industrials,182.43,182.71,178.07,178.62
1,2021-05-11,TT,Industrials,183.51,184.67,181.03,182.75
2,2021-05-10,TT,Industrials,184.53,187.98,184.01,186.66
3,2021-05-07,TT,Industrials,181.17,183.9193,180.005,183.68
4,2021-05-06,TT,Industrials,180.16,181.93,178.81,181.92
5,2021-05-05,TT,Industrials,175.19,180.1,178.05,178.72
6,2021-05-04,TT,Industrials,174.14,175.22,172.81,174.72
7,2021-05-03,TT,Industrials,175.32,175.74,173.48,174.75
8,2021-04-30,TT,Industrials,174.76,175.49,173.03,173.83
9,2021-04-29,TT,Industrials,174.79,176.0,173.98,175.59
10,2021-04-28,TT,Industrials,174.48,175.275,173.14,174.36
11,2021-04-27,TT,Industrials,173.09,174.535,171.54,173.8
12,2021-04-26,TT,Industrials,176.1,177.2,172.48,172.83
13,2021-04-23,TT,Industrials,171.84,175.45,171.76,175.33
14,2021-04-22,TT,Industrials,171.99,174.35,171.53,171.95
15,2021-04-21,TT,Industrials,169.01,170.87,168.04,170.5
16,2021-04-20,TT,Industrials,170.44,171.68,166.46,168.2
17,2021-04-19,TT,Industrials,172.72,172.8,170.82,172.28
18,2021-04-16,TT,Industrials,171.83,172.46,170.71,171.96
19,2021-04-15,TT,Industrials,170.17,170.75,168.6722,170.51
20,2021-04-14,TT,Industrials,169.87,172.0591,169.18,169.36
21,2021-04-13,TT,Industrials,170.65,171.26,168.6,170.79
22,2021-04-12,TT,Industrials,168.6,170.96,168.43,170.61
23,2021-04-09,TT,Industrials,168.04,169.62,166.52,169.55
24,2021-04-08,TT,Industrials,165.43,167.2,164.72,166.58
25,2021-04-07,TT,Industrials,167.21,168.49,165.91,166.5
26,2021-04-06,TT,Industrials,168.77,169.33,167.46,167.64
27,2021-04-05,TT,Industrials,166.8,168.16,166.03,167.45
28,2021-04-01,TT,Industrials,166.83,166.83,164.08,165.44
29,2021-03-31,TT,Industrials,167.64,168.65,165.01,165.56
30,2021-03-30,TT,Industrials,165.25,167.77,165.25,166.95
31,2021-03-29,TT,Industrials,169.0,169.47,166.11,166.58
32,2021-03-26,TT,Industrials,165.42,168.17,164.54,168.09
33,2021-03-25,TT,Industrials,160.38,164.66,159.73,163.93
34,2021-03-24,TT,Industrials,161.38,163.12,160.67,161.21
35,2021-03-23,TT,Industrials,162.49,163.61,159.565,160.33
36,2021-03-22,TT,Industrials,162.44,164.76,161.57,164.3
37,2021-03-19,TT,Industrials,167.07,167.36,164.06,164.1
38,2021-03-18,TT,Industrials,165.97,168.83,165.06,167.54
39,2021-03-17,TT,Industrials,167.75,168.2,164.3144,165.96
40,2021-03-16,TT,Industrials,167.35,169.13,166.245,167.17
41,2021-03-15,TT,Industrials,163.82,168.12,163.485,167.99
42,2021-03-12,TT,Industrials,163.45,164.07,162.14,163.68
43,2021-03-11,TT,Industrials,164.19,164.9,162.34,162.94
44,2021-03-10,TT,Industrials,160.2,165.46,159.8443,163.43
45,2021-03-09,TT,Industrials,164.64,165.27,160.44,160.48
46,2021-03-08,TT,Industrials,160.94,165.86,159.42,163.73
47,2021-03-05,TT,Industrials,155.15,161.08,154.16,160.42
48,2021-03-04,TT,Industrials,156.66,157.93,151.3,153.4
49,2021-03-03,TT,Industrials,158.42,159.48,157.01,157.5
50,2021-03-02,TT,Industrials,158.91,158.91,155.84,158.16
51,2021-03-01,TT,Industrials,155.41,161.0,155.41,158.47
52,2021-02-26,TT,Industrials,153.52,155.3599,152.39,153.24
53,2021-02-25,TT,Industrials,154.0,155.91,151.85,152.48
54,2021-02-24,TT,Industrials,152.45,156.51,151.96,155.35
55,2021-02-23,TT,Industrials,153.36,153.52,149.73,153.2
56,2021-02-22,TT,Industrials,153.55,155.63,152.46,152.89
57,2021-02-19,TT,Industrials,150.49,154.17,150.095,153.96
58,2021-02-18,TT,Industrials,150.94,151.345,147.555,149.5
59,2021-02-17,TT,Industrials,150.53,151.91,149.67,151.3
60,2021-02-16,TT,Industrials,150.9,152.39,149.17,151.28
61,2021-02-12,TT,Industrials,150.04,151.44,148.84,150.93
62,2021-02-11,TT,Industrials,148.53,150.97,148.53,150.87
63,2021-02-10,TT,Industrials,146.98,149.22,144.78,148.33
64,2021-02-09,TT,Industrials,147.7,148.562,145.2471,145.71
65,2021-02-08,TT,Industrials,151.23,151.23,145.87,148.98
66,2021-02-05,TT,Industrials,147.7,152.3,147.08,149.35
67,2021-02-04,TT,Industrials,147.31,149.59,146.52,148.84
68,2021-02-03,TT,Industrials,144.5,146.87,144.09,146.38
69,2021-02-02,TT,Industrials,144.55,146.66,143.97,144.99
70,2021-02-01,TT,Industrials,144.86,145.42,142.42,142.75
71,2021-01-29,TT,Industrials,141.77,145.29,141.04,143.35
72,2021-01-28,TT,Industrials,141.53,144.18,139.56,142.8
73,2021-01-27,TT,Industrials,144.95,145.577,137.98,138.83
74,2021-01-26,TT,Industrials,151.65,151.65,147.51,147.89
75,2021-01-25,TT,Industrials,152.51,153.01,147.36,150.92
76,2021-01-22,TT,Industrials,153.5,154.43,151.0,152.67
77,2021-01-21,TT,Industrials,155.69,156.27,153.73,154.44
78,2021-01-20,TT,Industrials,153.52,155.79,152.67,155.24
79,2021-01-19,TT,Industrials,150.16,155.306,150.16,153.49
80,2021-01-15,TT,Industrials,150.75,150.75,147.05,149.51
81,2021-01-14,TT,Industrials,150.99,152.56,150.26,150.75
82,2021-01-13,TT,Industrials,151.29,151.82,149.57,150.95
83,2021-01-12,TT,Industrials,152.26,152.79,150.145,151.94
84,2021-01-11,TT,Industrials,150.16,153.5,150.0851,152.25
85,2021-01-08,TT,Industrials,153.72,154.3,149.94,152.58
86,2021-01-07,TT,Industrials,153.71,154.43,150.41,153.72
