,date,symbol,sector,open,high,low,close
0,2021-05-12,TXT,Industrials,66.93,67.32,64.15,64.31
1,2021-05-11,TXT,Industrials,67.19,67.78,66.03,67.13
2,2021-05-10,TXT,Industrials,68.39,69.16,67.94,68.05
3,2021-05-07,TXT,Industrials,66.65,68.18,66.01,68.08
4,2021-05-06,TXT,Industrials,66.1,67.35,65.8535,67.31
5,2021-05-05,TXT,Industrials,65.29,66.025,65.45,65.7
6,2021-05-04,TXT,Industrials,65.36,65.78,64.34,65.5
7,2021-05-03,TXT,Industrials,64.84,65.86,64.15,65.56
8,2021-04-30,TXT,Industrials,63.1,64.49,62.91,64.24
9,2021-04-29,TXT,Industrials,62.76,63.56,61.86,63.14
10,2021-04-28,TXT,Industrials,61.0,61.9,60.75,61.75
11,2021-04-27,TXT,Industrials,60.96,61.72,60.79,61.18
12,2021-04-26,TXT,Industrials,60.79,61.35,60.79,60.9
13,2021-04-23,TXT,Industrials,59.09,60.63,58.83,60.43
14,2021-04-22,TXT,Industrials,59.37,59.93,58.62,59.09
15,2021-04-21,TXT,Industrials,57.74,59.355,57.52,59.2
16,2021-04-20,TXT,Industrials,58.56,58.855,57.32,58.22
17,2021-04-19,TXT,Industrials,60.0,60.0,58.45,59.06
18,2021-04-16,TXT,Industrials,58.49,58.78,57.78,58.54
19,2021-04-15,TXT,Industrials,58.6,58.99,57.71,57.93
20,2021-04-14,TXT,Industrials,58.1,59.31,58.1,58.57
21,2021-04-13,TXT,Industrials,58.04,58.235,56.9,57.91
22,2021-04-12,TXT,Industrials,58.12,58.47,57.41,58.43
23,2021-04-09,TXT,Industrials,58.0,58.45,57.29,58.38
24,2021-04-08,TXT,Industrials,58.74,58.75,57.261,57.89
25,2021-04-07,TXT,Industrials,57.06,57.12,56.52,57.07
26,2021-04-06,TXT,Industrials,57.12,57.92,56.8,56.88
27,2021-04-05,TXT,Industrials,57.48,58.02,57.255,57.56
28,2021-04-01,TXT,Industrials,55.99,57.06,55.79,57.03
29,2021-03-31,TXT,Industrials,56.5,57.23,55.84,56.08
30,2021-03-30,TXT,Industrials,54.22,55.54,53.78,55.29
31,2021-03-29,TXT,Industrials,54.61,55.43,53.82,53.96
32,2021-03-26,TXT,Industrials,54.5,54.74,53.65,54.7
33,2021-03-25,TXT,Industrials,52.18,54.29,51.72,54.17
34,2021-03-24,TXT,Industrials,52.98,54.19,52.56,52.57
35,2021-03-23,TXT,Industrials,53.88,54.29,51.92,52.18
36,2021-03-22,TXT,Industrials,54.95,55.22,53.64,54.42
37,2021-03-19,TXT,Industrials,55.08,55.8,53.48,55.31
38,2021-03-18,TXT,Industrials,55.4,57.04,55.15,55.35
39,2021-03-17,TXT,Industrials,54.14,55.6342,53.9,55.43
40,2021-03-16,TXT,Industrials,55.14,55.14,53.48,53.91
41,2021-03-15,TXT,Industrials,55.43,55.5,54.25,55.3
