,date,symbol,sector,open,high,low,close
0,2021-05-12,UA,Consumer Discretionary,19.03,19.3,18.3,18.35
1,2021-05-11,UA,Consumer Discretionary,19.17,19.32,18.81,19.19
2,2021-05-10,UA,Consumer Discretionary,20.3,20.3399,19.22,19.27
3,2021-05-07,UA,Consumer Discretionary,20.22,20.97,20.04,20.24
4,2021-05-06,UA,Consumer Discretionary,21.19,21.2,20.22,20.44
5,2021-05-05,UA,Consumer Discretionary,20.87,21.825,21.0,21.13
6,2021-05-04,UA,Consumer Discretionary,19.4,20.04,19.12,19.72
7,2021-05-03,UA,Consumer Discretionary,20.0,20.16,19.725,19.88
8,2021-04-30,UA,Consumer Discretionary,20.0,20.315,19.83,19.91
9,2021-04-29,UA,Consumer Discretionary,19.98,20.22,19.865,20.09
10,2021-04-28,UA,Consumer Discretionary,19.8,20.04,19.72,19.77
11,2021-04-27,UA,Consumer Discretionary,19.58,20.015,19.58,19.91
12,2021-04-26,UA,Consumer Discretionary,19.39,19.89,19.27,19.52
13,2021-04-23,UA,Consumer Discretionary,19.17,19.47,19.17,19.26
14,2021-04-22,UA,Consumer Discretionary,18.75,19.39,18.69,19.02
15,2021-04-21,UA,Consumer Discretionary,17.68,18.74,17.68,18.73
16,2021-04-20,UA,Consumer Discretionary,18.03,18.03,17.39,17.79
17,2021-04-19,UA,Consumer Discretionary,18.29,18.3,17.91,18.07
18,2021-04-16,UA,Consumer Discretionary,18.46,18.52,18.25,18.42
19,2021-04-15,UA,Consumer Discretionary,18.57,18.57,18.21,18.31
20,2021-04-14,UA,Consumer Discretionary,18.55,18.8,18.371,18.43
21,2021-04-13,UA,Consumer Discretionary,19.08,19.08,18.3196,18.56
22,2021-04-12,UA,Consumer Discretionary,19.1,19.36,19.0,19.19
23,2021-04-09,UA,Consumer Discretionary,19.08,19.24,18.815,19.18
24,2021-04-08,UA,Consumer Discretionary,18.74,19.14,18.46,18.98
25,2021-04-07,UA,Consumer Discretionary,19.11,19.21,18.7,18.82
26,2021-04-06,UA,Consumer Discretionary,18.88,19.26,18.88,19.1
27,2021-04-05,UA,Consumer Discretionary,18.44,19.0,18.2001,18.88
28,2021-04-01,UA,Consumer Discretionary,18.48,18.53,18.13,18.27
29,2021-03-31,UA,Consumer Discretionary,17.92,18.62,17.79,18.46
30,2021-03-30,UA,Consumer Discretionary,17.67,18.0,17.48,17.9
31,2021-03-29,UA,Consumer Discretionary,18.17,18.31,17.47,17.65
