,date,symbol,sector,open,high,low,close
0,2021-05-12,UAA,Consumer Discretionary,22.89,23.31,21.97,22.03
1,2021-05-11,UAA,Consumer Discretionary,23.03,23.15,22.5,23.04
2,2021-05-10,UAA,Consumer Discretionary,24.57,24.57,23.15,23.19
3,2021-05-07,UAA,Consumer Discretionary,24.08,25.22,24.05,24.47
4,2021-05-06,UAA,Consumer Discretionary,25.64,25.64,24.35,24.7
5,2021-05-05,UAA,Consumer Discretionary,25.23,26.45,25.48,25.53
6,2021-05-04,UAA,Consumer Discretionary,23.47,24.355,23.13,23.88
7,2021-05-03,UAA,Consumer Discretionary,24.54,24.62,23.98,24.17
8,2021-04-30,UAA,Consumer Discretionary,24.21,24.749,24.2,24.31
9,2021-04-29,UAA,Consumer Discretionary,24.36,24.635,24.144,24.41
10,2021-04-28,UAA,Consumer Discretionary,24.11,24.38,24.0,24.03
11,2021-04-27,UAA,Consumer Discretionary,23.6,24.26,23.57,24.19
12,2021-04-26,UAA,Consumer Discretionary,23.45,23.825,23.25,23.52
13,2021-04-23,UAA,Consumer Discretionary,22.92,23.28,22.865,23.03
14,2021-04-22,UAA,Consumer Discretionary,22.4,23.107,22.31,22.68
15,2021-04-21,UAA,Consumer Discretionary,21.19,22.385,21.16,22.37
16,2021-04-20,UAA,Consumer Discretionary,21.53,21.54,20.73,21.23
17,2021-04-19,UAA,Consumer Discretionary,21.84,21.86,21.475,21.69
18,2021-04-16,UAA,Consumer Discretionary,22.12,22.23,21.87,22.05
19,2021-04-15,UAA,Consumer Discretionary,22.34,22.34,21.85,22.01
20,2021-04-14,UAA,Consumer Discretionary,22.27,22.565,22.06,22.16
21,2021-04-13,UAA,Consumer Discretionary,22.86,22.86,21.83,22.29
22,2021-04-12,UAA,Consumer Discretionary,22.85,23.2,22.79,22.98
23,2021-04-09,UAA,Consumer Discretionary,22.92,23.18,22.57,23.0
24,2021-04-08,UAA,Consumer Discretionary,22.7,23.03,22.42,22.75
25,2021-04-07,UAA,Consumer Discretionary,23.21,23.38,22.715,22.83
