,date,symbol,sector,open,high,low,close
0,2021-05-12,UAL,Industrials,52.12,53.081,50.9,51.01
1,2021-05-11,UAL,Industrials,52.04,53.17,51.2,52.7
2,2021-05-10,UAL,Industrials,54.948,55.61,54.0,54.03
3,2021-05-07,UAL,Industrials,52.93,54.9601,52.69,54.73
4,2021-05-06,UAL,Industrials,53.43,53.7701,52.1,53.05
5,2021-05-05,UAL,Industrials,52.75,53.96,52.44,53.27
6,2021-05-04,UAL,Industrials,54.088,54.47,51.73,52.8
7,2021-05-03,UAL,Industrials,54.668,54.87,53.61,54.46
8,2021-04-30,UAL,Industrials,53.22,54.91,53.13,54.4
9,2021-04-29,UAL,Industrials,54.1,54.3228,53.1198,53.69
10,2021-04-28,UAL,Industrials,53.25,54.04,52.97,53.55
11,2021-04-27,UAL,Industrials,53.7833,54.12,53.19,53.48
12,2021-04-26,UAL,Industrials,54.05,54.47,53.22,53.78
13,2021-04-23,UAL,Industrials,51.21,53.35,50.64,53.11
14,2021-04-22,UAL,Industrials,52.34,53.09,50.875,51.03
15,2021-04-21,UAL,Industrials,49.88,51.89,48.9,51.86
16,2021-04-20,UAL,Industrials,53.47,53.7899,49.47,50.3
17,2021-04-19,UAL,Industrials,55.79,55.965,54.7376,54.99
18,2021-04-16,UAL,Industrials,56.47,57.15,55.71,55.87
19,2021-04-15,UAL,Industrials,57.79,57.8514,55.57,56.12
20,2021-04-14,UAL,Industrials,57.46,58.52,56.54,56.92
21,2021-04-13,UAL,Industrials,54.406,56.86,53.9,56.66
22,2021-04-12,UAL,Industrials,57.57,57.71,55.29,56.16
23,2021-04-09,UAL,Industrials,59.02,59.3601,57.785,58.43
24,2021-04-08,UAL,Industrials,59.14,59.47,57.75,59.43
25,2021-04-07,UAL,Industrials,59.79,61.3399,59.19,59.57
26,2021-04-06,UAL,Industrials,59.878,60.42,58.87,59.48
27,2021-04-05,UAL,Industrials,59.34,60.89,58.94,59.29
28,2021-04-01,UAL,Industrials,57.6619,58.545,57.28,57.82
29,2021-03-31,UAL,Industrials,58.0,58.0115,57.06,57.54
30,2021-03-30,UAL,Industrials,56.78,58.5,56.48,58.21
31,2021-03-29,UAL,Industrials,56.8,57.31,55.41,56.2
32,2021-03-26,UAL,Industrials,57.09,57.37,55.22,56.83
33,2021-03-25,UAL,Industrials,52.905,56.29,52.0301,56.05
34,2021-03-24,UAL,Industrials,55.66,56.96,53.78,53.83
35,2021-03-23,UAL,Industrials,57.11,58.08,53.85,54.36
36,2021-03-22,UAL,Industrials,59.75,60.2,58.21,58.33
37,2021-03-19,UAL,Industrials,60.9,60.95,58.64,60.77
38,2021-03-18,UAL,Industrials,62.17,63.6999,60.58,60.82
39,2021-03-17,UAL,Industrials,59.11,62.56,58.86,62.45
40,2021-03-16,UAL,Industrials,61.11,61.2,59.21,59.81
41,2021-03-15,UAL,Industrials,58.25,61.69,57.9185,60.94
42,2021-03-12,UAL,Industrials,54.0,56.44,53.61,56.29
43,2021-03-11,UAL,Industrials,54.3,55.87,53.37,54.06
44,2021-03-10,UAL,Industrials,53.4,54.37,52.85,53.92
45,2021-03-09,UAL,Industrials,53.81,54.155,51.8,53.43
46,2021-03-08,UAL,Industrials,51.35,54.3325,51.34,54.06
47,2021-03-05,UAL,Industrials,52.6453,52.73,46.56,50.52
48,2021-03-04,UAL,Industrials,54.64,54.85,49.95,52.05
49,2021-03-03,UAL,Industrials,53.61,55.2,53.28,54.57
50,2021-03-02,UAL,Industrials,53.66,54.05,52.75,53.21
51,2021-03-01,UAL,Industrials,55.44,55.93,52.78,53.31
52,2021-02-26,UAL,Industrials,51.51,53.41,51.2,52.68
53,2021-02-25,UAL,Industrials,54.85,55.0,50.42,51.78
54,2021-02-24,UAL,Industrials,51.11,55.87,50.87,54.96
55,2021-02-23,UAL,Industrials,50.2,51.1823,46.96,50.61
56,2021-02-22,UAL,Industrials,49.26,51.82,48.35,49.7
57,2021-02-19,UAL,Industrials,45.5228,48.36,45.44,48.03
58,2021-02-18,UAL,Industrials,45.1969,45.44,44.3,44.96
59,2021-02-17,UAL,Industrials,45.41,46.48,44.72,46.08
60,2021-02-16,UAL,Industrials,45.0665,45.81,44.56,45.71
