,date,symbol,sector,open,high,low,close
0,2021-05-12,UHS,Health Care,155.56,156.37,153.7664,154.09
1,2021-05-11,UHS,Health Care,155.89,157.205,154.65,155.35
2,2021-05-10,UHS,Health Care,156.22,159.19,155.31,157.05
3,2021-05-07,UHS,Health Care,153.43,156.23,152.61,155.19
4,2021-05-06,UHS,Health Care,153.55,154.7,152.35,154.49
5,2021-05-05,UHS,Health Care,153.65,154.15,152.08,153.53
6,2021-05-04,UHS,Health Care,150.17,153.23,150.17,152.96
7,2021-05-03,UHS,Health Care,150.0,151.65,148.58,150.58
8,2021-04-30,UHS,Health Care,147.47,149.69,147.47,148.41
9,2021-04-29,UHS,Health Care,148.07,150.87,147.85,148.59
10,2021-04-28,UHS,Health Care,146.86,150.07,145.02,147.81
11,2021-04-27,UHS,Health Care,143.39,147.75,143.11,145.91
12,2021-04-26,UHS,Health Care,145.8,146.65,144.69,145.78
13,2021-04-23,UHS,Health Care,146.11,146.7,144.1,145.51
14,2021-04-22,UHS,Health Care,149.07,150.59,145.995,146.52
15,2021-04-21,UHS,Health Care,145.0,148.81,144.75,147.88
16,2021-04-20,UHS,Health Care,146.44,147.21,144.0,144.88
17,2021-04-19,UHS,Health Care,146.62,147.28,144.0,146.04
18,2021-04-16,UHS,Health Care,142.0,147.02,142.0,146.14
19,2021-04-15,UHS,Health Care,138.03,141.61,137.32,141.12
20,2021-04-14,UHS,Health Care,137.53,139.1,136.85,137.52
21,2021-04-13,UHS,Health Care,137.63,138.46,135.51,137.41
22,2021-04-12,UHS,Health Care,138.62,139.94,138.62,139.26
23,2021-04-09,UHS,Health Care,137.62,138.25,135.75,138.18
24,2021-04-08,UHS,Health Care,135.48,137.825,133.94,136.87
25,2021-04-07,UHS,Health Care,138.0,138.06,135.94,136.61
26,2021-04-06,UHS,Health Care,135.93,137.74,134.62,137.02
27,2021-04-05,UHS,Health Care,135.5,136.705,134.2,136.37
28,2021-04-01,UHS,Health Care,133.19,134.88,132.0,134.4
29,2021-03-31,UHS,Health Care,136.5,137.43,133.29,133.39
30,2021-03-30,UHS,Health Care,135.01,136.19,133.82,136.19
31,2021-03-29,UHS,Health Care,134.72,137.5,133.96,135.13
32,2021-03-26,UHS,Health Care,136.69,136.69,133.44,135.15
33,2021-03-25,UHS,Health Care,133.79,136.215,131.97,135.5
34,2021-03-24,UHS,Health Care,133.43,136.32,132.91,133.48
35,2021-03-23,UHS,Health Care,136.57,137.2,131.63,132.82
36,2021-03-22,UHS,Health Care,136.83,137.965,135.4,137.31
37,2021-03-19,UHS,Health Care,139.02,140.59,137.13,138.0
38,2021-03-18,UHS,Health Care,138.0,141.75,138.0,139.27
39,2021-03-17,UHS,Health Care,137.66,139.64,135.96,138.8
40,2021-03-16,UHS,Health Care,139.14,139.33,136.17,136.62
41,2021-03-15,UHS,Health Care,137.24,140.15,137.24,140.13
