,date,symbol,sector,open,high,low,close
0,2021-05-12,ULTA,Consumer Discretionary,309.86,313.5,299.7727,302.26
1,2021-05-11,ULTA,Consumer Discretionary,316.46,317.74,306.09,312.3
2,2021-05-10,ULTA,Consumer Discretionary,322.54,330.79,321.93,322.34
3,2021-05-07,ULTA,Consumer Discretionary,316.59,323.6099,316.255,322.74
4,2021-05-06,ULTA,Consumer Discretionary,319.18,321.53,315.12,316.96
5,2021-05-05,ULTA,Consumer Discretionary,323.92,324.31,317.56,318.94
6,2021-05-04,ULTA,Consumer Discretionary,322.22,322.91,314.73,320.81
7,2021-05-03,ULTA,Consumer Discretionary,330.4,334.41,323.99,324.28
8,2021-04-30,ULTA,Consumer Discretionary,327.93,333.86,326.39,329.35
9,2021-04-29,ULTA,Consumer Discretionary,329.65,331.29,326.42,328.9
10,2021-04-28,ULTA,Consumer Discretionary,329.88,330.99,326.37,326.86
11,2021-04-27,ULTA,Consumer Discretionary,329.96,331.61,328.01,329.15
12,2021-04-26,ULTA,Consumer Discretionary,331.09,333.9,325.37,328.29
13,2021-04-23,ULTA,Consumer Discretionary,324.37,329.79,323.39,328.44
14,2021-04-22,ULTA,Consumer Discretionary,324.75,328.33,320.8888,323.81
15,2021-04-21,ULTA,Consumer Discretionary,316.89,323.7,316.29,322.63
16,2021-04-20,ULTA,Consumer Discretionary,324.99,327.83,313.175,316.94
17,2021-04-19,ULTA,Consumer Discretionary,330.24,330.565,325.96,328.26
18,2021-04-16,ULTA,Consumer Discretionary,329.06,332.15,326.67,330.71
19,2021-04-15,ULTA,Consumer Discretionary,330.24,331.8099,325.89,326.32
20,2021-04-14,ULTA,Consumer Discretionary,334.98,340.265,328.42,329.05
21,2021-04-13,ULTA,Consumer Discretionary,327.19,332.73,320.53,332.07
22,2021-04-12,ULTA,Consumer Discretionary,322.97,328.5373,322.01,327.79
23,2021-04-09,ULTA,Consumer Discretionary,321.28,322.72,318.8,322.22
24,2021-04-08,ULTA,Consumer Discretionary,318.29,322.7,318.25,320.03
25,2021-04-07,ULTA,Consumer Discretionary,314.61,319.655,314.61,316.11
26,2021-04-06,ULTA,Consumer Discretionary,320.0,323.815,315.23,315.47
27,2021-04-05,ULTA,Consumer Discretionary,316.11,321.0,313.1319,319.77
28,2021-04-01,ULTA,Consumer Discretionary,311.43,315.02,307.79,313.62
29,2021-03-31,ULTA,Consumer Discretionary,306.51,313.655,304.337,309.17
30,2021-03-30,ULTA,Consumer Discretionary,305.93,312.46,305.29,308.0
31,2021-03-29,ULTA,Consumer Discretionary,301.5,308.43,301.44,306.18
32,2021-03-26,ULTA,Consumer Discretionary,309.0,309.38,300.0,303.0
33,2021-03-25,ULTA,Consumer Discretionary,299.01,309.381,297.29,306.59
34,2021-03-24,ULTA,Consumer Discretionary,310.96,313.97,300.85,301.0
35,2021-03-23,ULTA,Consumer Discretionary,313.5,314.23,308.26,309.53
36,2021-03-22,ULTA,Consumer Discretionary,320.0,321.03,313.2,315.09
37,2021-03-19,ULTA,Consumer Discretionary,319.41,324.61,317.605,321.84
38,2021-03-18,ULTA,Consumer Discretionary,319.5,326.8,313.8,319.23
39,2021-03-17,ULTA,Consumer Discretionary,313.45,320.41,312.36,319.0
40,2021-03-16,ULTA,Consumer Discretionary,320.18,320.18,308.69,312.26
41,2021-03-15,ULTA,Consumer Discretionary,318.38,322.88,313.36,322.49
42,2021-03-12,ULTA,Consumer Discretionary,317.395,325.6,306.06,318.15
43,2021-03-11,ULTA,Consumer Discretionary,343.0,351.0,341.29,347.5
