,date,symbol,sector,open,high,low,close
0,2021-05-12,UNH,Health Care,409.29,410.85,404.6801,405.37
1,2021-05-11,UNH,Health Care,421.0,422.29,410.61,411.7
2,2021-05-10,UNH,Health Care,419.27,425.98,418.215,420.89
3,2021-05-07,UNH,Health Care,415.0,419.02,414.065,417.65
4,2021-05-06,UNH,Health Care,413.0,416.85,412.56,414.97
5,2021-05-05,UNH,Health Care,410.5,412.75,409.63,412.5
6,2021-05-04,UNH,Health Care,405.48,412.47,403.5,411.34
7,2021-05-03,UNH,Health Care,401.0,406.77,400.53,405.9
8,2021-04-30,UNH,Health Care,401.0,401.86,398.35,398.8
9,2021-04-29,UNH,Health Care,396.75,402.16,396.3,401.55
10,2021-04-28,UNH,Health Care,395.18,396.99,393.3,394.59
11,2021-04-27,UNH,Health Care,394.66,396.33,392.3,394.5
12,2021-04-26,UNH,Health Care,399.81,400.0,395.21,395.86
13,2021-04-23,UNH,Health Care,395.62,401.99,394.5,400.31
14,2021-04-22,UNH,Health Care,398.44,398.76,393.19,396.54
15,2021-04-21,UNH,Health Care,398.86,401.477,395.44,398.81
16,2021-04-20,UNH,Health Care,389.86,397.88,389.4175,396.53
17,2021-04-19,UNH,Health Care,390.0,393.39,388.47,389.84
18,2021-04-16,UNH,Health Care,393.92,393.92,385.455,391.01
19,2021-04-15,UNH,Health Care,380.0,392.3602,380.0,390.01
20,2021-04-14,UNH,Health Care,375.34,378.01,374.58,375.63
21,2021-04-13,UNH,Health Care,376.25,379.31,374.33,374.5
22,2021-04-12,UNH,Health Care,374.48,379.83,374.03,376.28
23,2021-04-09,UNH,Health Care,368.35,376.61,367.0,376.3
24,2021-04-08,UNH,Health Care,363.11,366.91,363.11,364.89
25,2021-04-07,UNH,Health Care,364.19,365.88,360.55,365.64
26,2021-04-06,UNH,Health Care,368.78,369.79,362.72,364.37
27,2021-04-05,UNH,Health Care,369.62,372.63,367.64,370.18
28,2021-04-01,UNH,Health Care,372.2,372.69,365.755,367.07
29,2021-03-31,UNH,Health Care,372.8,377.0,371.8,372.07
30,2021-03-30,UNH,Health Care,377.55,379.88,371.8,373.56
31,2021-03-29,UNH,Health Care,376.36,380.5,374.99,379.06
32,2021-03-26,UNH,Health Care,371.675,377.06,370.285,376.48
33,2021-03-25,UNH,Health Care,370.6,372.11,363.39,371.09
34,2021-03-24,UNH,Health Care,366.05,373.8,365.51,370.6
