,date,symbol,sector,open,high,low,close
0,2021-05-12,UNP,Industrials,225.53,226.34,221.9,222.0
1,2021-05-11,UNP,Industrials,226.81,227.81,223.86,226.61
2,2021-05-10,UNP,Industrials,230.13,231.26,228.24,228.44
3,2021-05-07,UNP,Industrials,227.73,229.97,226.01,229.48
4,2021-05-06,UNP,Industrials,224.48,227.35,224.11,227.21
5,2021-05-05,UNP,Industrials,226.4,226.6,223.3,223.56
6,2021-05-04,UNP,Industrials,223.17,225.91,222.63,225.67
7,2021-05-03,UNP,Industrials,224.01,225.66,223.21,223.74
8,2021-04-30,UNP,Industrials,223.65,224.35,220.26,222.09
9,2021-04-29,UNP,Industrials,227.59,227.62,223.41,224.48
10,2021-04-28,UNP,Industrials,225.68,228.32,225.52,226.19
11,2021-04-27,UNP,Industrials,225.7,226.795,223.95,225.73
12,2021-04-26,UNP,Industrials,223.98,226.96,223.77,224.59
13,2021-04-23,UNP,Industrials,219.52,223.94,218.57,223.54
14,2021-04-22,UNP,Industrials,218.97,221.1118,216.06,217.98
15,2021-04-21,UNP,Industrials,220.08,226.21,219.69,223.43
16,2021-04-20,UNP,Industrials,222.77,225.34,220.14,220.67
17,2021-04-19,UNP,Industrials,223.23,223.51,221.45,223.47
18,2021-04-16,UNP,Industrials,224.91,225.78,222.14,222.71
19,2021-04-15,UNP,Industrials,223.39,224.5,222.37,223.1
20,2021-04-14,UNP,Industrials,222.48,223.4,221.55,222.6
21,2021-04-13,UNP,Industrials,222.98,223.39,220.2,221.99
22,2021-04-12,UNP,Industrials,222.56,225.28,222.51,223.55
23,2021-04-09,UNP,Industrials,220.69,223.36,220.47,223.24
24,2021-04-08,UNP,Industrials,221.08,221.58,220.08,220.18
25,2021-04-07,UNP,Industrials,220.9,221.94,219.97,221.34
26,2021-04-06,UNP,Industrials,223.97,224.09,220.8,221.1
27,2021-04-05,UNP,Industrials,222.24,224.62,222.07,223.47
28,2021-04-01,UNP,Industrials,220.88,221.79,219.02,220.21
29,2021-03-31,UNP,Industrials,221.12,222.57,219.175,220.41
30,2021-03-30,UNP,Industrials,221.26,223.42,220.54,221.13
31,2021-03-29,UNP,Industrials,222.8,223.95,220.24,222.98
32,2021-03-26,UNP,Industrials,217.16,223.21,216.75,222.92
33,2021-03-25,UNP,Industrials,212.53,216.53,211.82,216.09
34,2021-03-24,UNP,Industrials,208.0,215.8,208.0,212.9
35,2021-03-23,UNP,Industrials,207.26,210.528,206.5,208.05
36,2021-03-22,UNP,Industrials,210.08,211.0,204.78,206.27
37,2021-03-19,UNP,Industrials,215.43,215.53,209.21,210.8
38,2021-03-18,UNP,Industrials,211.44,217.71,211.44,215.36
39,2021-03-17,UNP,Industrials,211.43,214.2299,209.8243,212.3
40,2021-03-16,UNP,Industrials,213.12,213.17,208.91,211.7
41,2021-03-15,UNP,Industrials,214.25,214.89,209.96,212.67
42,2021-03-12,UNP,Industrials,215.86,217.5,213.92,214.09
43,2021-03-11,UNP,Industrials,214.82,216.54,213.17,214.52
44,2021-03-10,UNP,Industrials,212.5,215.175,211.38,213.12
45,2021-03-09,UNP,Industrials,212.05,214.9653,211.23,211.7
46,2021-03-08,UNP,Industrials,210.57,215.68,210.17,210.89
47,2021-03-05,UNP,Industrials,203.0,210.15,200.64,209.71
48,2021-03-04,UNP,Industrials,205.98,206.695,198.59,201.08
49,2021-03-03,UNP,Industrials,209.33,209.83,205.99,206.23
50,2021-03-02,UNP,Industrials,209.55,210.64,207.33,209.3
51,2021-03-01,UNP,Industrials,208.58,211.6,207.77,209.18
52,2021-02-26,UNP,Industrials,210.21,210.21,205.85,205.96
53,2021-02-25,UNP,Industrials,209.78,210.89,207.9,208.67
54,2021-02-24,UNP,Industrials,206.35,212.95,205.47,211.15
55,2021-02-23,UNP,Industrials,207.35,208.08,204.68,206.96
56,2021-02-22,UNP,Industrials,207.14,210.365,206.68,206.83
57,2021-02-19,UNP,Industrials,208.04,211.56,207.9,209.06
58,2021-02-18,UNP,Industrials,209.22,209.785,204.16,207.06
59,2021-02-17,UNP,Industrials,213.24,213.88,209.81,211.23
60,2021-02-16,UNP,Industrials,213.37,215.42,210.46,213.99
61,2021-02-12,UNP,Industrials,206.21,213.7,206.21,213.16
62,2021-02-11,UNP,Industrials,205.11,207.87,204.35,207.23
63,2021-02-10,UNP,Industrials,205.93,206.19,202.7,203.5
64,2021-02-09,UNP,Industrials,204.44,205.6,202.53,204.65
65,2021-02-08,UNP,Industrials,205.3,205.3,202.12,204.12
66,2021-02-05,UNP,Industrials,206.55,207.68,203.855,204.2
67,2021-02-04,UNP,Industrials,204.78,206.65,203.38,204.45
68,2021-02-03,UNP,Industrials,205.14,205.915,203.855,204.36
69,2021-02-02,UNP,Industrials,200.54,207.13,200.04,205.93
70,2021-02-01,UNP,Industrials,198.82,200.7084,198.27,198.6
71,2021-01-29,UNP,Industrials,199.29,200.8,196.77,197.47
72,2021-01-28,UNP,Industrials,197.38,204.9792,195.44,201.29
