,date,symbol,sector,open,high,low,close
0,2021-05-12,UPS,Industrials,212.0,213.845,210.36,210.7
1,2021-05-11,UPS,Industrials,213.93,215.0,211.6,214.33
2,2021-05-10,UPS,Industrials,217.5,219.59,215.76,216.13
3,2021-05-07,UPS,Industrials,214.67,218.34,213.8,217.5
4,2021-05-06,UPS,Industrials,214.92,215.0,212.07,214.78
5,2021-05-05,UPS,Industrials,214.93,215.75,214.19,214.52
6,2021-05-04,UPS,Industrials,211.6,215.3,210.86,214.31
7,2021-05-03,UPS,Industrials,207.42,213.38,207.12,212.2
8,2021-04-30,UPS,Industrials,201.69,205.77,199.8201,203.86
9,2021-04-29,UPS,Industrials,199.89,204.5,197.6701,203.72
10,2021-04-28,UPS,Industrials,195.39,198.43,194.1,198.37
11,2021-04-27,UPS,Industrials,190.26,197.28,189.71,194.13
12,2021-04-26,UPS,Industrials,179.78,179.85,174.7,175.81
13,2021-04-23,UPS,Industrials,177.85,180.3099,177.33,178.96
14,2021-04-22,UPS,Industrials,177.8,180.79,177.21,177.51
15,2021-04-21,UPS,Industrials,179.39,179.54,177.57,178.57
16,2021-04-20,UPS,Industrials,177.9,179.85,176.8351,179.69
17,2021-04-19,UPS,Industrials,179.91,179.91,177.655,178.06
18,2021-04-16,UPS,Industrials,180.73,181.19,178.94,179.71
19,2021-04-15,UPS,Industrials,178.85,180.85,176.51,179.64
20,2021-04-14,UPS,Industrials,178.82,179.4,175.89,176.21
21,2021-04-13,UPS,Industrials,177.95,179.92,176.68,179.42
22,2021-04-12,UPS,Industrials,175.44,179.33,174.75,178.58
23,2021-04-09,UPS,Industrials,173.27,175.95,172.82,175.94
24,2021-04-08,UPS,Industrials,172.54,173.2427,171.2552,173.02
25,2021-04-07,UPS,Industrials,172.93,173.35,171.2,171.95
26,2021-04-06,UPS,Industrials,172.09,174.03,171.225,172.97
27,2021-04-05,UPS,Industrials,172.1,173.04,171.11,171.95
28,2021-04-01,UPS,Industrials,170.18,172.14,168.83,171.28
29,2021-03-31,UPS,Industrials,169.23,171.0,167.6,169.99
30,2021-03-30,UPS,Industrials,167.56,169.99,167.4,168.64
31,2021-03-29,UPS,Industrials,167.61,168.97,166.66,168.14
32,2021-03-26,UPS,Industrials,164.5,168.1,163.79,167.98
33,2021-03-25,UPS,Industrials,159.5,163.65,158.7,163.25
34,2021-03-24,UPS,Industrials,160.06,162.27,159.7,159.91
35,2021-03-23,UPS,Industrials,159.8,162.16,159.2345,159.86
36,2021-03-22,UPS,Industrials,159.69,161.72,158.54,161.06
37,2021-03-19,UPS,Industrials,161.43,165.24,158.69,159.29
38,2021-03-18,UPS,Industrials,160.45,161.1399,158.94,160.2
39,2021-03-17,UPS,Industrials,160.78,161.75,159.56,160.65
40,2021-03-16,UPS,Industrials,162.78,164.16,161.43,162.82
