,date,symbol,sector,open,high,low,close
0,2021-05-12,URI,Industrials,340.34,343.2899,328.02,329.29
1,2021-05-11,URI,Industrials,342.25,345.3284,335.99,340.33
2,2021-05-10,URI,Industrials,348.5,354.6,346.78,348.14
3,2021-05-07,URI,Industrials,341.88,348.41,336.77,347.33
4,2021-05-06,URI,Industrials,332.71,342.96,331.76,342.58
5,2021-05-05,URI,Industrials,330.75,336.76,332.2,332.71
6,2021-05-04,URI,Industrials,321.03,330.655,317.43,329.95
7,2021-05-03,URI,Industrials,324.58,328.51,319.505,321.8
8,2021-04-30,URI,Industrials,323.24,326.42,319.49,319.95
9,2021-04-29,URI,Industrials,331.31,331.31,315.93,327.33
10,2021-04-28,URI,Industrials,323.55,327.89,322.48,324.85
11,2021-04-27,URI,Industrials,322.72,325.09,318.01,324.82
12,2021-04-26,URI,Industrials,320.43,326.51,320.395,324.97
13,2021-04-23,URI,Industrials,313.77,320.55,311.45,318.94
14,2021-04-22,URI,Industrials,318.8,320.0,309.73,309.99
15,2021-04-21,URI,Industrials,308.15,316.97,304.66,316.75
16,2021-04-20,URI,Industrials,322.3,322.3,304.3,310.74
17,2021-04-19,URI,Industrials,325.39,326.47,318.8252,324.59
18,2021-04-16,URI,Industrials,329.63,332.41,325.32,328.14
19,2021-04-15,URI,Industrials,328.22,328.22,319.56,325.39
20,2021-04-14,URI,Industrials,325.28,331.625,324.15,325.06
21,2021-04-13,URI,Industrials,324.21,326.58,316.67,325.57
22,2021-04-12,URI,Industrials,326.61,328.96,323.32,327.87
23,2021-04-09,URI,Industrials,321.0,325.12,317.46,324.71
24,2021-04-08,URI,Industrials,320.96,324.24,313.52,321.25
25,2021-04-07,URI,Industrials,326.0,326.5,319.12,322.0
26,2021-04-06,URI,Industrials,331.0,341.0,323.775,325.43
27,2021-04-05,URI,Industrials,337.0,338.49,330.94,331.53
28,2021-04-01,URI,Industrials,331.51,334.29,324.27,331.71
29,2021-03-31,URI,Industrials,334.0,339.717,325.81,329.31
30,2021-03-30,URI,Industrials,324.72,336.32,324.72,333.21
31,2021-03-29,URI,Industrials,329.5,335.59,322.72,324.47
32,2021-03-26,URI,Industrials,318.27,330.17,315.5,329.86
33,2021-03-25,URI,Industrials,304.14,315.65,299.82,314.24
34,2021-03-24,URI,Industrials,308.99,313.1,304.89,305.41
35,2021-03-23,URI,Industrials,308.11,310.305,297.5,299.93
36,2021-03-22,URI,Industrials,315.0,316.7205,308.53,311.48
37,2021-03-19,URI,Industrials,316.43,319.955,305.56,316.0
38,2021-03-18,URI,Industrials,321.9,330.79,317.33,318.12
39,2021-03-17,URI,Industrials,317.64,324.22,311.0,321.9
40,2021-03-16,URI,Industrials,322.12,322.12,311.75,314.86
41,2021-03-15,URI,Industrials,319.08,323.83,311.61,323.48
42,2021-03-12,URI,Industrials,310.77,319.11,309.06,317.86
43,2021-03-11,URI,Industrials,305.6,314.1,304.09,310.78
44,2021-03-10,URI,Industrials,296.73,304.59,296.08,303.06
45,2021-03-09,URI,Industrials,302.46,304.21,293.55,295.25
46,2021-03-08,URI,Industrials,303.91,308.14,300.4837,302.6
47,2021-03-05,URI,Industrials,293.12,302.0975,282.2,300.96
48,2021-03-04,URI,Industrials,294.55,303.095,282.7,288.6
49,2021-03-03,URI,Industrials,294.62,302.695,293.075,294.93
50,2021-03-02,URI,Industrials,304.05,304.05,292.4151,293.42
51,2021-03-01,URI,Industrials,304.11,305.99,299.09,302.49
52,2021-02-26,URI,Industrials,298.54,301.55,285.0,297.38
53,2021-02-25,URI,Industrials,311.73,312.215,292.0,295.11
54,2021-02-24,URI,Industrials,310.0,321.94,307.78,312.52
55,2021-02-23,URI,Industrials,296.95,308.86,286.42,306.36
56,2021-02-22,URI,Industrials,288.0,302.7,287.31,298.49
57,2021-02-19,URI,Industrials,278.08,291.33,278.07,290.01
58,2021-02-18,URI,Industrials,273.73,275.596,267.42,274.79
59,2021-02-17,URI,Industrials,286.01,287.32,274.28,277.81
60,2021-02-16,URI,Industrials,290.0,293.47,288.08,288.08
61,2021-02-12,URI,Industrials,279.8,287.23,279.12,286.22
62,2021-02-11,URI,Industrials,277.85,282.96,274.58,279.82
63,2021-02-10,URI,Industrials,279.72,285.03,275.53,276.83
64,2021-02-09,URI,Industrials,270.04,278.86,267.27,277.28
65,2021-02-08,URI,Industrials,267.47,274.12,266.73,272.23
66,2021-02-05,URI,Industrials,261.0,266.67,261.0,265.73
67,2021-02-04,URI,Industrials,252.79,260.45,251.25,259.83
68,2021-02-03,URI,Industrials,252.34,255.39,248.07,250.8
69,2021-02-02,URI,Industrials,257.72,261.94,249.75,250.67
70,2021-02-01,URI,Industrials,247.92,254.21,245.0,253.28
71,2021-01-29,URI,Industrials,251.63,251.88,238.5515,243.01
72,2021-01-28,URI,Industrials,245.7,257.565,243.0,253.56
73,2021-01-27,URI,Industrials,240.12,241.8199,228.22,236.27
74,2021-01-26,URI,Industrials,257.39,257.5861,247.41,248.21
75,2021-01-25,URI,Industrials,256.51,261.99,251.93,253.52
76,2021-01-22,URI,Industrials,255.37,259.75,254.5,258.59
77,2021-01-21,URI,Industrials,260.01,261.79,258.0,259.22
78,2021-01-20,URI,Industrials,263.8,264.2,258.61,260.2
79,2021-01-19,URI,Industrials,260.0,266.59,259.565,260.83
80,2021-01-15,URI,Industrials,256.76,258.42,250.61,255.14
81,2021-01-14,URI,Industrials,258.77,264.4,255.02,260.37
82,2021-01-13,URI,Industrials,260.8,261.45,253.64,254.45
83,2021-01-12,URI,Industrials,259.18,264.09,257.81,262.14
84,2021-01-11,URI,Industrials,255.15,261.4455,255.0,257.45
85,2021-01-08,URI,Industrials,264.5,266.545,253.475,260.15
86,2021-01-07,URI,Industrials,261.33,267.59,259.05,264.68
87,2021-01-06,URI,Industrials,248.15,262.04,248.15,256.55
88,2021-01-05,URI,Industrials,229.2,239.4261,228.61,235.57
89,2021-01-04,URI,Industrials,234.0,236.3,224.52,229.65
90,2020-12-31,URI,Industrials,229.73,233.83,228.0,231.91
91,2020-12-30,URI,Industrials,227.86,231.18,227.5,230.06
92,2020-12-29,URI,Industrials,227.59,229.37,223.72,226.43
93,2020-12-28,URI,Industrials,233.41,234.5078,226.57,226.99
94,2020-12-24,URI,Industrials,230.67,233.155,228.95,232.62
95,2020-12-23,URI,Industrials,229.86,231.99,227.72,230.93
96,2020-12-22,URI,Industrials,231.05,231.28,223.74,227.39
97,2020-12-21,URI,Industrials,221.22,231.25,217.39,229.55
98,2020-12-18,URI,Industrials,228.68,229.95,224.695,227.54
99,2020-12-17,URI,Industrials,229.68,232.5156,226.6,229.16
100,2020-12-16,URI,Industrials,240.42,240.42,230.27,232.49
101,2020-12-15,URI,Industrials,231.73,239.67,231.01,238.98
102,2020-12-14,URI,Industrials,245.09,245.09,238.52,238.89
103,2020-12-11,URI,Industrials,240.18,243.58,239.15,240.76
104,2020-12-10,URI,Industrials,243.76,244.94,239.36,241.98
105,2020-12-09,URI,Industrials,249.6,249.6,243.98,246.75
