,date,symbol,sector,open,high,low,close
0,2021-05-12,VFC,Consumer Discretionary,84.61,85.9716,83.4,83.64
1,2021-05-11,VFC,Consumer Discretionary,86.38,86.81,84.96,85.3
2,2021-05-10,VFC,Consumer Discretionary,90.0,90.35,86.86,86.94
3,2021-05-07,VFC,Consumer Discretionary,88.97,90.48,88.815,89.88
4,2021-05-06,VFC,Consumer Discretionary,89.51,89.51,88.49,89.27
5,2021-05-05,VFC,Consumer Discretionary,89.58,89.77,88.35,88.52
6,2021-05-04,VFC,Consumer Discretionary,89.45,90.09,88.25,90.05
7,2021-05-03,VFC,Consumer Discretionary,88.39,90.26,88.11,89.83
8,2021-04-30,VFC,Consumer Discretionary,88.82,88.93,87.28,87.66
9,2021-04-29,VFC,Consumer Discretionary,90.15,90.79,88.71,88.79
10,2021-04-28,VFC,Consumer Discretionary,89.13,90.135,88.68,89.32
11,2021-04-27,VFC,Consumer Discretionary,88.05,89.4,87.87,89.14
12,2021-04-26,VFC,Consumer Discretionary,88.4,89.5,87.3,87.8
13,2021-04-23,VFC,Consumer Discretionary,87.06,88.69,86.53,88.38
14,2021-04-22,VFC,Consumer Discretionary,87.09,87.18,85.97,86.39
15,2021-04-21,VFC,Consumer Discretionary,84.57,87.22,84.38,87.0
16,2021-04-20,VFC,Consumer Discretionary,83.52,84.76,82.64,84.55
17,2021-04-19,VFC,Consumer Discretionary,84.75,84.75,83.42,83.98
18,2021-04-16,VFC,Consumer Discretionary,84.71,85.25,84.29,84.74
19,2021-04-15,VFC,Consumer Discretionary,84.74,84.74,83.615,84.01
20,2021-04-14,VFC,Consumer Discretionary,83.92,84.71,83.46,83.98
21,2021-04-13,VFC,Consumer Discretionary,84.8,84.82,82.8512,83.84
22,2021-04-12,VFC,Consumer Discretionary,84.11,85.54,84.02,85.4
23,2021-04-09,VFC,Consumer Discretionary,83.59,84.95,83.5,84.94
24,2021-04-08,VFC,Consumer Discretionary,83.74,83.94,82.95,83.11
25,2021-04-07,VFC,Consumer Discretionary,83.77,84.66,83.575,83.98
26,2021-04-06,VFC,Consumer Discretionary,82.98,84.35,82.93,83.68
