,date,symbol,sector,open,high,low,close
0,2021-05-12,VRSK,Industrials,172.52,174.31,171.25,172.0
1,2021-05-11,VRSK,Industrials,178.92,181.13,174.78,175.08
2,2021-05-10,VRSK,Industrials,178.36,181.36,177.87,179.56
3,2021-05-07,VRSK,Industrials,175.54,179.22,175.19,178.77
4,2021-05-06,VRSK,Industrials,172.59,175.05,171.7,175.02
5,2021-05-05,VRSK,Industrials,182.64,182.68,172.43,172.63
6,2021-05-04,VRSK,Industrials,188.2,189.78,187.18,188.52
7,2021-05-03,VRSK,Industrials,188.83,190.26,188.18,188.55
8,2021-04-30,VRSK,Industrials,188.51,188.81,187.09,188.2
9,2021-04-29,VRSK,Industrials,187.705,189.4,187.1,188.6
10,2021-04-28,VRSK,Industrials,186.95,187.53,185.69,187.26
11,2021-04-27,VRSK,Industrials,187.65,187.76,186.0,187.2
12,2021-04-26,VRSK,Industrials,188.94,189.73,186.08,186.47
13,2021-04-23,VRSK,Industrials,187.5,189.79,185.88,188.88
14,2021-04-22,VRSK,Industrials,185.85,187.99,184.95,187.26
15,2021-04-21,VRSK,Industrials,184.65,186.505,184.57,185.38
16,2021-04-20,VRSK,Industrials,184.28,185.54,182.82,184.44
17,2021-04-19,VRSK,Industrials,184.76,185.65,183.14,184.53
18,2021-04-16,VRSK,Industrials,185.0,186.36,183.16,185.46
19,2021-04-15,VRSK,Industrials,183.51,185.36,182.65,184.5
20,2021-04-14,VRSK,Industrials,183.32,184.35,181.271,181.95
21,2021-04-13,VRSK,Industrials,182.31,184.77,182.31,183.57
22,2021-04-12,VRSK,Industrials,182.37,183.565,182.12,182.5
23,2021-04-09,VRSK,Industrials,181.472,183.05,180.12,182.7
24,2021-04-08,VRSK,Industrials,180.99,182.33,180.66,181.21
25,2021-04-07,VRSK,Industrials,181.61,181.93,179.37,179.99
26,2021-04-06,VRSK,Industrials,180.86,182.09,179.49,180.89
27,2021-04-05,VRSK,Industrials,179.62,182.33,179.02,181.55
28,2021-04-01,VRSK,Industrials,176.97,180.76,175.74,179.81
29,2021-03-31,VRSK,Industrials,175.74,178.04,175.0,176.69
30,2021-03-30,VRSK,Industrials,179.61,180.1,175.4,175.95
31,2021-03-29,VRSK,Industrials,177.81,181.28,177.36,180.32
32,2021-03-26,VRSK,Industrials,174.365,178.71,174.02,178.63
33,2021-03-25,VRSK,Industrials,177.5,177.5,174.5,174.78
34,2021-03-24,VRSK,Industrials,177.83,178.67,174.01,176.93
35,2021-03-23,VRSK,Industrials,175.34,178.31,174.17,177.59
36,2021-03-22,VRSK,Industrials,171.26,175.29,171.1,174.82
37,2021-03-19,VRSK,Industrials,171.56,172.45,170.23,171.87
38,2021-03-18,VRSK,Industrials,169.37,171.17,168.3401,170.55
39,2021-03-17,VRSK,Industrials,173.34,174.28,170.915,171.94
40,2021-03-16,VRSK,Industrials,177.52,177.52,172.615,172.97
41,2021-03-15,VRSK,Industrials,171.83,174.68,171.0,174.59
42,2021-03-12,VRSK,Industrials,169.445,172.72,169.445,171.76
43,2021-03-11,VRSK,Industrials,175.18,176.99,171.67,173.21
44,2021-03-10,VRSK,Industrials,175.92,176.6,174.06,174.86
45,2021-03-09,VRSK,Industrials,176.17,177.335,173.98,174.42
46,2021-03-08,VRSK,Industrials,169.58,173.47,168.52,171.65
47,2021-03-05,VRSK,Industrials,162.62,168.62,160.99,168.12
48,2021-03-04,VRSK,Industrials,164.25,164.63,159.79,161.65
49,2021-03-03,VRSK,Industrials,165.17,166.14,163.61,164.81
50,2021-03-02,VRSK,Industrials,167.1,167.115,164.23,166.38
51,2021-03-01,VRSK,Industrials,167.11,168.19,165.55,167.04
52,2021-02-26,VRSK,Industrials,164.7229,165.1,162.16,163.85
53,2021-02-25,VRSK,Industrials,168.26,170.9,164.01,164.29
54,2021-02-24,VRSK,Industrials,176.0,178.78,166.85,167.53
55,2021-02-23,VRSK,Industrials,186.91,188.555,182.66,185.36
56,2021-02-22,VRSK,Industrials,189.47,190.53,186.06,186.24
57,2021-02-19,VRSK,Industrials,191.93,192.49,189.685,190.49
58,2021-02-18,VRSK,Industrials,188.54,192.74,188.46,192.02
59,2021-02-17,VRSK,Industrials,187.56,188.775,186.58,188.56
60,2021-02-16,VRSK,Industrials,189.0,190.43,188.21,188.36
