,date,symbol,sector,open,high,low,close
0,2021-05-12,VRTX,Health Care,212.06,215.67,211.74,212.68
1,2021-05-11,VRTX,Health Care,211.803,214.02,211.39,213.0
2,2021-05-10,VRTX,Health Care,215.63,216.28,212.75,212.9
3,2021-05-07,VRTX,Health Care,214.355,216.77,213.81,215.01
4,2021-05-06,VRTX,Health Care,212.25,213.58,211.06,213.16
5,2021-05-05,VRTX,Health Care,214.85,215.835,213.24,213.87
6,2021-05-04,VRTX,Health Care,217.54,217.54,211.76,214.85
7,2021-05-03,VRTX,Health Care,217.27,219.69,216.7,217.95
8,2021-04-30,VRTX,Health Care,213.34,221.41,213.0,218.2
9,2021-04-29,VRTX,Health Care,213.6,213.8,210.27,211.86
10,2021-04-28,VRTX,Health Care,215.68,215.72,212.81,213.48
11,2021-04-27,VRTX,Health Care,217.1,218.15,215.0,215.53
12,2021-04-26,VRTX,Health Care,217.74,218.28,214.46,216.97
13,2021-04-23,VRTX,Health Care,217.07,218.8105,215.77,217.9
14,2021-04-22,VRTX,Health Care,217.11,218.93,214.0,215.98
15,2021-04-21,VRTX,Health Care,220.79,221.48,217.82,219.76
16,2021-04-20,VRTX,Health Care,218.84,222.0,218.15,220.16
17,2021-04-19,VRTX,Health Care,220.86,222.5899,218.15,219.18
18,2021-04-16,VRTX,Health Care,222.34,222.78,219.24,219.39
19,2021-04-15,VRTX,Health Care,218.52,222.35,218.0,221.1
20,2021-04-14,VRTX,Health Care,216.16,220.25,216.16,217.13
21,2021-04-13,VRTX,Health Care,214.61,218.7,214.455,215.94
22,2021-04-12,VRTX,Health Care,212.68,214.45,211.21,213.6
23,2021-04-09,VRTX,Health Care,210.5,213.82,209.53,213.35
24,2021-04-08,VRTX,Health Care,214.18,216.05,209.95,210.28
25,2021-04-07,VRTX,Health Care,215.71,218.47,211.7,212.72
26,2021-04-06,VRTX,Health Care,215.5,216.46,213.15,215.3
27,2021-04-05,VRTX,Health Care,214.38,215.61,213.18,215.32
28,2021-04-01,VRTX,Health Care,215.89,216.02,212.3,213.04
29,2021-03-31,VRTX,Health Care,213.38,216.06,212.87,214.89
30,2021-03-30,VRTX,Health Care,214.75,215.495,212.37,212.99
31,2021-03-29,VRTX,Health Care,213.93,218.46,212.21,216.71
32,2021-03-26,VRTX,Health Care,212.5,214.96,209.22,214.64
33,2021-03-25,VRTX,Health Care,213.1606,213.6,209.71,212.36
34,2021-03-24,VRTX,Health Care,213.61,214.51,209.41,211.54
35,2021-03-23,VRTX,Health Care,219.83,219.85,212.11,213.59
36,2021-03-22,VRTX,Health Care,215.84,220.33,215.25,218.82
37,2021-03-19,VRTX,Health Care,214.44,216.93,213.28,216.11
38,2021-03-18,VRTX,Health Care,214.13,216.25,212.65,213.36
39,2021-03-17,VRTX,Health Care,217.16,217.88,214.15,217.08
40,2021-03-16,VRTX,Health Care,220.6318,220.6318,216.715,218.99
41,2021-03-15,VRTX,Health Care,213.71,219.85,213.4784,219.65
42,2021-03-12,VRTX,Health Care,214.34,214.9,211.26,214.33
43,2021-03-11,VRTX,Health Care,214.71,217.68,214.31,215.15
44,2021-03-10,VRTX,Health Care,217.3,217.72,211.56,214.29
45,2021-03-09,VRTX,Health Care,217.29,219.13,213.86,214.04
46,2021-03-08,VRTX,Health Care,212.27,219.3,211.76,213.58
47,2021-03-05,VRTX,Health Care,208.23,212.6,206.39,211.98
48,2021-03-04,VRTX,Health Care,207.3,213.1,205.8501,207.79
49,2021-03-03,VRTX,Health Care,212.0,213.275,208.06,208.44
50,2021-03-02,VRTX,Health Care,211.81,214.13,211.45,212.06
51,2021-03-01,VRTX,Health Care,212.68,213.69,209.38,210.38
52,2021-02-26,VRTX,Health Care,214.67,215.5,209.34,212.55
53,2021-02-25,VRTX,Health Care,215.8,217.4,210.5,212.98
54,2021-02-24,VRTX,Health Care,215.82,220.415,214.72,217.04
55,2021-02-23,VRTX,Health Care,215.2,217.69,211.67,216.44
56,2021-02-22,VRTX,Health Care,206.72,216.215,204.62,214.96
57,2021-02-19,VRTX,Health Care,210.0,211.73,206.79,207.02
58,2021-02-18,VRTX,Health Care,213.56,213.76,209.58,209.83
59,2021-02-17,VRTX,Health Care,209.58,215.0,208.5,214.85
60,2021-02-16,VRTX,Health Care,213.8,214.41,208.61,210.27
61,2021-02-12,VRTX,Health Care,210.82,214.36,210.22,213.98
62,2021-02-11,VRTX,Health Care,212.48,212.89,209.72,210.495
63,2021-02-10,VRTX,Health Care,215.98,216.3,212.02,212.53
64,2021-02-09,VRTX,Health Care,214.45,215.59,212.57,213.82
65,2021-02-08,VRTX,Health Care,217.13,218.22,213.54,214.37
66,2021-02-05,VRTX,Health Care,214.5,217.55,212.26,215.26
67,2021-02-04,VRTX,Health Care,213.35,214.79,211.6475,213.71
68,2021-02-03,VRTX,Health Care,218.42,219.085,210.99,211.0
69,2021-02-02,VRTX,Health Care,225.802,227.9,216.14,217.33
70,2021-02-01,VRTX,Health Care,231.0,232.38,226.18,231.77
71,2021-01-29,VRTX,Health Care,229.45,232.92,227.56,229.08
72,2021-01-28,VRTX,Health Care,226.8,234.96,226.57,230.04
73,2021-01-27,VRTX,Health Care,234.0,234.0,224.7,225.25
74,2021-01-26,VRTX,Health Care,240.43,241.98,236.24,237.64
75,2021-01-25,VRTX,Health Care,240.99,242.99,239.0453,241.31
76,2021-01-22,VRTX,Health Care,237.25,241.83,236.99,237.59
77,2021-01-21,VRTX,Health Care,237.06,239.75,232.78,238.64
