,date,symbol,sector,open,high,low,close
0,2021-05-12,VTRS,Health Care,15.2,15.855,15.17,15.72
1,2021-05-11,VTRS,Health Care,14.937,15.5,14.85,15.14
2,2021-05-10,VTRS,Health Care,14.98,15.475,14.8,15.04
3,2021-05-07,VTRS,Health Care,13.8217,14.1,13.78,14.08
4,2021-05-06,VTRS,Health Care,13.62,13.94,13.435,13.93
5,2021-05-05,VTRS,Health Care,13.4,13.7,13.3,13.64
6,2021-05-04,VTRS,Health Care,13.49,13.64,13.26,13.4
7,2021-05-03,VTRS,Health Care,13.26,13.55,13.19,13.5
8,2021-04-30,VTRS,Health Care,13.395,13.52,13.26,13.3
9,2021-04-29,VTRS,Health Care,13.55,13.66,13.23,13.36
10,2021-04-28,VTRS,Health Care,13.33,13.52,13.28,13.46
11,2021-04-27,VTRS,Health Care,13.52,13.59,13.19,13.28
12,2021-04-26,VTRS,Health Care,13.4,13.68,13.39,13.55
13,2021-04-23,VTRS,Health Care,13.38,13.455,13.215,13.36
14,2021-04-22,VTRS,Health Care,13.31,13.6,13.289,13.36
15,2021-04-21,VTRS,Health Care,13.0451,13.31,12.99,13.3
16,2021-04-20,VTRS,Health Care,13.16,13.21,12.97,13.11
17,2021-04-19,VTRS,Health Care,13.4,13.53,13.22,13.25
18,2021-04-16,VTRS,Health Care,13.39,13.47,13.13,13.4
19,2021-04-15,VTRS,Health Care,13.22,13.43,13.1529,13.28
20,2021-04-14,VTRS,Health Care,13.02,13.36,13.01,13.21
21,2021-04-13,VTRS,Health Care,13.24,13.295,12.94,12.97
22,2021-04-12,VTRS,Health Care,13.43,13.44,13.2,13.26
23,2021-04-09,VTRS,Health Care,13.3,13.405,13.21,13.395
24,2021-04-08,VTRS,Health Care,13.41,13.49,13.11,13.29
25,2021-04-07,VTRS,Health Care,13.87,13.88,13.36,13.39
26,2021-04-06,VTRS,Health Care,13.95,14.1,13.79,13.83
27,2021-04-05,VTRS,Health Care,13.92,14.16,13.86,14.05
28,2021-04-01,VTRS,Health Care,13.96,14.08,13.86,13.9
29,2021-03-31,VTRS,Health Care,14.095,14.28,13.89,13.97
30,2021-03-30,VTRS,Health Care,14.2874,14.32,13.945,14.15
31,2021-03-29,VTRS,Health Care,14.2674,14.42,14.17,14.32
32,2021-03-26,VTRS,Health Care,14.07,14.44,14.02,14.36
33,2021-03-25,VTRS,Health Care,14.15,14.15,13.9232,14.02
34,2021-03-24,VTRS,Health Care,14.15,14.22,13.9413,14.01
35,2021-03-23,VTRS,Health Care,14.75,14.75,14.115,14.17
36,2021-03-22,VTRS,Health Care,14.91,14.935,14.6301,14.79
37,2021-03-19,VTRS,Health Care,14.66,14.88,14.5273,14.78
38,2021-03-18,VTRS,Health Care,14.97,15.03,14.5,14.59
39,2021-03-17,VTRS,Health Care,14.43,15.1,14.42,15.08
40,2021-03-16,VTRS,Health Care,14.67,14.73,14.4435,14.53
41,2021-03-15,VTRS,Health Care,14.27,14.685,14.23,14.67
42,2021-03-12,VTRS,Health Care,14.07,14.385,13.9882,14.36
43,2021-03-11,VTRS,Health Care,14.13,14.22,13.92,14.1
44,2021-03-10,VTRS,Health Care,14.05,14.23,13.83,14.06
45,2021-03-09,VTRS,Health Care,13.93,14.215,13.71,13.91
46,2021-03-08,VTRS,Health Care,13.76,14.05,13.68,13.83
