,date,symbol,sector,open,high,low,close
0,2021-05-12,WAB,Industrials,79.66,79.92,77.48,77.72
1,2021-05-11,WAB,Industrials,79.71,81.0,78.67,79.37
2,2021-05-10,WAB,Industrials,82.42,82.57,80.82,80.86
3,2021-05-07,WAB,Industrials,81.02,82.13,80.52,81.87
4,2021-05-06,WAB,Industrials,81.21,81.88,80.82,81.64
5,2021-05-05,WAB,Industrials,81.46,81.56,80.6,81.15
6,2021-05-04,WAB,Industrials,80.68,81.5305,79.84,81.31
7,2021-05-03,WAB,Industrials,83.06,83.9,80.9,80.98
8,2021-04-30,WAB,Industrials,83.75,84.64,81.36,82.07
9,2021-04-29,WAB,Industrials,86.81,86.81,82.41,83.71
10,2021-04-28,WAB,Industrials,85.1,86.17,84.54,85.55
11,2021-04-27,WAB,Industrials,84.54,85.24,84.13,85.0
12,2021-04-26,WAB,Industrials,85.19,85.675,84.32,84.47
13,2021-04-23,WAB,Industrials,84.19,85.75,84.005,85.41
14,2021-04-22,WAB,Industrials,83.28,84.96,82.37,83.74
15,2021-04-21,WAB,Industrials,80.39,83.14,79.845,83.0
16,2021-04-20,WAB,Industrials,81.01,81.33,79.56,80.61
17,2021-04-19,WAB,Industrials,80.77,81.55,79.94,81.2
18,2021-04-16,WAB,Industrials,81.19,81.66,80.44,80.61
19,2021-04-15,WAB,Industrials,80.62,80.87,79.78,80.68
20,2021-04-14,WAB,Industrials,78.99,81.09,78.99,80.83
21,2021-04-13,WAB,Industrials,80.79,80.8,78.81,79.1
22,2021-04-12,WAB,Industrials,79.97,80.9,79.465,80.81
23,2021-04-09,WAB,Industrials,78.37,79.66,78.19,79.52
24,2021-04-08,WAB,Industrials,77.7,78.5535,77.0,77.64
25,2021-04-07,WAB,Industrials,79.71,79.77,77.8,78.07
26,2021-04-06,WAB,Industrials,80.51,80.8,79.38,79.39
27,2021-04-05,WAB,Industrials,79.94,80.99,79.15,80.97
28,2021-04-01,WAB,Industrials,79.54,79.54,77.835,78.99
29,2021-03-31,WAB,Industrials,79.62,79.79,77.98,79.16
30,2021-03-30,WAB,Industrials,78.29,80.27,78.22,79.72
31,2021-03-29,WAB,Industrials,78.24,79.5523,77.52,78.13
32,2021-03-26,WAB,Industrials,77.99,78.61,77.24,78.5
33,2021-03-25,WAB,Industrials,75.63,77.97,75.36,77.87
34,2021-03-24,WAB,Industrials,74.9,77.2816,74.72,76.04
35,2021-03-23,WAB,Industrials,74.33,75.8,73.61,74.01
36,2021-03-22,WAB,Industrials,75.52,75.615,73.43,74.47
37,2021-03-19,WAB,Industrials,75.56,76.525,74.66,75.65
38,2021-03-18,WAB,Industrials,76.76,78.37,76.17,76.18
39,2021-03-17,WAB,Industrials,76.47,77.8,76.05,76.8
40,2021-03-16,WAB,Industrials,77.36,77.49,76.25,76.43
41,2021-03-15,WAB,Industrials,78.1,78.5,76.54,77.6
42,2021-03-12,WAB,Industrials,77.31,78.36,76.92,78.08
43,2021-03-11,WAB,Industrials,76.56,78.92,76.45,77.36
44,2021-03-10,WAB,Industrials,73.29,76.73,73.06,76.25
45,2021-03-09,WAB,Industrials,74.65,75.25,72.86,72.98
46,2021-03-08,WAB,Industrials,75.19,75.82,74.31,74.37
47,2021-03-05,WAB,Industrials,73.64,74.96,72.0,74.58
48,2021-03-04,WAB,Industrials,74.21,74.45,71.21,72.46
49,2021-03-03,WAB,Industrials,74.6,75.42,74.1,74.4
50,2021-03-02,WAB,Industrials,75.13,75.905,74.47,74.77
51,2021-03-01,WAB,Industrials,73.23,75.31,72.99,74.87
52,2021-02-26,WAB,Industrials,72.35,73.09,71.45,72.43
53,2021-02-25,WAB,Industrials,74.86,74.92,71.67,72.53
54,2021-02-24,WAB,Industrials,74.4,75.4,74.0006,74.74
55,2021-02-23,WAB,Industrials,73.92,75.09,71.825,74.54
56,2021-02-22,WAB,Industrials,73.27,75.81,72.7768,74.13
57,2021-02-19,WAB,Industrials,72.56,75.36,72.475,73.96
58,2021-02-18,WAB,Industrials,76.07,76.98,71.05,72.06
59,2021-02-17,WAB,Industrials,80.18,80.18,78.21,79.35
60,2021-02-16,WAB,Industrials,81.39,81.7,79.24,80.42
61,2021-02-12,WAB,Industrials,80.5,80.68,79.48,80.53
62,2021-02-11,WAB,Industrials,83.16,83.16,79.26,81.04
63,2021-02-10,WAB,Industrials,82.25,83.99,81.62,83.05
64,2021-02-09,WAB,Industrials,82.22,82.53,81.12,81.99
65,2021-02-08,WAB,Industrials,81.18,82.78,80.765,82.54
66,2021-02-05,WAB,Industrials,81.17,81.34,79.89,80.59
