,date,symbol,sector,open,high,low,close
0,2021-05-12,WAT,Health Care,314.41,314.93,303.09,303.64
1,2021-05-11,WAT,Health Care,315.56,317.235,311.92,315.89
2,2021-05-10,WAT,Health Care,315.9,320.385,315.5,317.63
3,2021-05-07,WAT,Health Care,310.0,315.75,309.78,314.65
4,2021-05-06,WAT,Health Care,310.0,311.91,303.95,309.01
5,2021-05-05,WAT,Health Care,304.18,310.485,303.89,308.46
6,2021-05-04,WAT,Health Care,300.49,300.96,296.401,299.75
7,2021-05-03,WAT,Health Care,302.26,303.51,298.455,301.67
8,2021-04-30,WAT,Health Care,301.58,303.29,298.94,299.87
9,2021-04-29,WAT,Health Care,300.46,302.66,297.86,302.11
10,2021-04-28,WAT,Health Care,304.12,304.64,299.79,300.44
11,2021-04-27,WAT,Health Care,304.35,304.94,302.4,304.27
12,2021-04-26,WAT,Health Care,307.34,308.59,304.13,304.35
13,2021-04-23,WAT,Health Care,303.86,308.0,302.03,306.5
14,2021-04-22,WAT,Health Care,301.93,306.37,300.94,304.64
15,2021-04-21,WAT,Health Care,295.97,301.23,295.97,301.22
16,2021-04-20,WAT,Health Care,298.58,300.47,295.7,296.27
17,2021-04-19,WAT,Health Care,300.83,300.83,296.23,298.81
18,2021-04-16,WAT,Health Care,299.78,301.18,297.2,299.9
19,2021-04-15,WAT,Health Care,298.47,303.27,297.805,299.65
20,2021-04-14,WAT,Health Care,307.87,307.87,296.175,296.67
21,2021-04-13,WAT,Health Care,307.2,308.275,305.12,307.91
22,2021-04-12,WAT,Health Care,307.14,309.65,306.24,307.04
23,2021-04-09,WAT,Health Care,305.45,307.25,301.47,307.14
24,2021-04-08,WAT,Health Care,297.51,305.15,297.28,304.13
25,2021-04-07,WAT,Health Care,299.8,301.06,294.165,296.35
26,2021-04-06,WAT,Health Care,294.98,304.49,294.83,302.23
27,2021-04-05,WAT,Health Care,288.33,296.29,286.34,295.65
28,2021-04-01,WAT,Health Care,284.56,285.47,279.69,284.72
29,2021-03-31,WAT,Health Care,282.97,287.65,281.3,284.17
30,2021-03-30,WAT,Health Care,284.14,285.43,281.3575,282.51
31,2021-03-29,WAT,Health Care,278.92,284.8,278.29,284.02
32,2021-03-26,WAT,Health Care,274.5,281.52,271.28,281.22
33,2021-03-25,WAT,Health Care,270.11,273.04,267.49,273.0
34,2021-03-24,WAT,Health Care,271.17,274.19,267.6,269.05
35,2021-03-23,WAT,Health Care,270.99,272.2,268.04,270.69
36,2021-03-22,WAT,Health Care,268.73,272.39,264.88,271.63
37,2021-03-19,WAT,Health Care,267.67,270.23,265.26,268.7
