,date,symbol,sector,open,high,low,close
0,2021-05-12,WHR,Consumer Discretionary,245.77,246.16,237.33,240.0
1,2021-05-11,WHR,Consumer Discretionary,250.55,250.55,243.3687,246.21
2,2021-05-10,WHR,Consumer Discretionary,254.41,257.68,251.12,251.8
3,2021-05-07,WHR,Consumer Discretionary,248.97,254.24,246.52,252.95
4,2021-05-06,WHR,Consumer Discretionary,248.38,251.62,247.23,250.22
5,2021-05-05,WHR,Consumer Discretionary,244.0,248.9,245.7,246.85
6,2021-05-04,WHR,Consumer Discretionary,241.35,243.83,238.51,243.64
7,2021-05-03,WHR,Consumer Discretionary,238.13,243.01,237.781,240.95
8,2021-04-30,WHR,Consumer Discretionary,237.67,238.22,234.26,236.45
9,2021-04-29,WHR,Consumer Discretionary,236.7,238.81,234.335,238.32
10,2021-04-28,WHR,Consumer Discretionary,239.0,239.05,234.27,235.45
11,2021-04-27,WHR,Consumer Discretionary,237.42,240.32,236.0,239.36
12,2021-04-26,WHR,Consumer Discretionary,238.66,239.26,233.75,236.12
13,2021-04-23,WHR,Consumer Discretionary,235.5,241.1999,234.2737,238.94
14,2021-04-22,WHR,Consumer Discretionary,239.4,246.24,229.46,233.19
15,2021-04-21,WHR,Consumer Discretionary,232.39,236.85,231.33,234.7
16,2021-04-20,WHR,Consumer Discretionary,239.24,240.5,232.84,236.45
17,2021-04-19,WHR,Consumer Discretionary,236.79,238.16,233.26,235.27
18,2021-04-16,WHR,Consumer Discretionary,232.73,236.83,232.52,234.81
19,2021-04-15,WHR,Consumer Discretionary,233.49,233.49,229.08,230.89
20,2021-04-14,WHR,Consumer Discretionary,232.37,233.83,231.41,231.97
21,2021-04-13,WHR,Consumer Discretionary,236.68,237.145,231.1,233.7
22,2021-04-12,WHR,Consumer Discretionary,237.73,238.24,235.06,237.52
23,2021-04-09,WHR,Consumer Discretionary,234.75,237.23,233.44,236.99
24,2021-04-08,WHR,Consumer Discretionary,231.05,235.43,228.93,233.95
25,2021-04-07,WHR,Consumer Discretionary,233.04,234.98,229.02,230.37
26,2021-04-06,WHR,Consumer Discretionary,234.71,236.9026,232.01,234.37
27,2021-04-05,WHR,Consumer Discretionary,227.6,234.17,224.8543,233.51
28,2021-04-01,WHR,Consumer Discretionary,221.01,225.665,219.71,225.3
29,2021-03-31,WHR,Consumer Discretionary,221.11,222.47,218.26,220.35
30,2021-03-30,WHR,Consumer Discretionary,215.54,220.46,215.0,220.24
31,2021-03-29,WHR,Consumer Discretionary,224.03,225.5,216.84,216.85
32,2021-03-26,WHR,Consumer Discretionary,218.26,223.31,215.53,223.09
33,2021-03-25,WHR,Consumer Discretionary,211.04,216.4533,208.4001,216.12
34,2021-03-24,WHR,Consumer Discretionary,215.23,217.72,211.06,211.06
35,2021-03-23,WHR,Consumer Discretionary,218.69,222.0,212.455,213.79
36,2021-03-22,WHR,Consumer Discretionary,218.3,222.82,215.2,221.55
37,2021-03-19,WHR,Consumer Discretionary,215.64,220.8,215.3301,218.46
