,date,symbol,sector,open,high,low,close
0,2021-05-12,WM,Industrials,140.92,141.01,138.12,138.18
1,2021-05-11,WM,Industrials,142.89,143.46,140.66,141.2
2,2021-05-10,WM,Industrials,142.06,144.535,142.05,143.26
3,2021-05-07,WM,Industrials,141.22,142.15,140.76,141.38
4,2021-05-06,WM,Industrials,141.87,142.3999,141.21,141.48
5,2021-05-05,WM,Industrials,141.09,141.9,140.3,141.64
6,2021-05-04,WM,Industrials,140.21,141.31,140.0,140.88
7,2021-05-03,WM,Industrials,138.72,140.68,138.455,140.34
8,2021-04-30,WM,Industrials,136.98,138.56,136.79,137.97
9,2021-04-29,WM,Industrials,136.87,137.83,136.8,137.18
10,2021-04-28,WM,Industrials,135.59,136.57,135.03,136.23
11,2021-04-27,WM,Industrials,134.46,136.0,133.845,135.06
12,2021-04-26,WM,Industrials,135.0,135.83,133.89,133.93
13,2021-04-23,WM,Industrials,134.84,135.86,134.41,135.5
14,2021-04-22,WM,Industrials,135.57,135.97,134.485,134.75
15,2021-04-21,WM,Industrials,134.99,136.35,134.85,135.56
16,2021-04-20,WM,Industrials,134.29,135.355,133.96,134.87
17,2021-04-19,WM,Industrials,134.55,134.9509,133.805,134.43
18,2021-04-16,WM,Industrials,135.22,135.59,134.53,135.05
19,2021-04-15,WM,Industrials,134.04,134.9,134.04,134.52
20,2021-04-14,WM,Industrials,134.35,134.49,133.73,133.88
21,2021-04-13,WM,Industrials,133.4,134.9,133.15,134.46
22,2021-04-12,WM,Industrials,134.858,135.46,134.065,134.47
23,2021-04-09,WM,Industrials,133.07,134.69,132.87,134.68
24,2021-04-08,WM,Industrials,132.31,133.05,132.1,132.84
25,2021-04-07,WM,Industrials,132.81,133.2267,132.03,132.41
26,2021-04-06,WM,Industrials,131.38,132.54,130.73,131.6
27,2021-04-05,WM,Industrials,129.81,131.17,129.7,130.99
28,2021-04-01,WM,Industrials,129.25,130.08,127.94,129.28
29,2021-03-31,WM,Industrials,128.79,129.935,128.75,129.02
30,2021-03-30,WM,Industrials,129.8,130.46,128.84,129.28
31,2021-03-29,WM,Industrials,128.99,131.38,128.95,130.34
32,2021-03-26,WM,Industrials,127.34,129.97,127.11,129.8
33,2021-03-25,WM,Industrials,125.43,127.56,124.425,127.43
34,2021-03-24,WM,Industrials,123.79,125.91,123.37,124.82
35,2021-03-23,WM,Industrials,123.26,124.81,122.76,124.1
36,2021-03-22,WM,Industrials,121.86,123.53,121.14,123.37
37,2021-03-19,WM,Industrials,122.2,122.735,120.82,121.57
38,2021-03-18,WM,Industrials,119.18,122.02,118.94,121.9
39,2021-03-17,WM,Industrials,123.33,123.33,118.47,118.99
40,2021-03-16,WM,Industrials,122.71,123.1399,122.2,122.91
41,2021-03-15,WM,Industrials,121.11,122.63,120.64,122.62
42,2021-03-12,WM,Industrials,120.5,121.93,120.16,121.79
43,2021-03-11,WM,Industrials,121.06,121.06,119.2839,120.0
44,2021-03-10,WM,Industrials,119.85,122.27,118.93,121.69
45,2021-03-09,WM,Industrials,121.18,122.25,119.6,119.6
46,2021-03-08,WM,Industrials,118.95,122.97,118.715,121.73
47,2021-03-05,WM,Industrials,115.59,119.03,115.59,118.68
48,2021-03-04,WM,Industrials,114.3,116.76,114.05,115.52
49,2021-03-03,WM,Industrials,114.33,114.8,113.34,113.97
50,2021-03-02,WM,Industrials,112.34,114.5,111.83,114.33
51,2021-03-01,WM,Industrials,111.67,113.168,111.67,112.48
52,2021-02-26,WM,Industrials,112.7,113.73,110.71,110.89
53,2021-02-25,WM,Industrials,111.6,113.49,111.6,112.27
54,2021-02-24,WM,Industrials,110.33,111.97,110.0,111.87
55,2021-02-23,WM,Industrials,110.35,112.51,109.11,109.92
56,2021-02-22,WM,Industrials,111.15,111.24,109.24,110.56
57,2021-02-19,WM,Industrials,113.55,113.55,110.86,111.63
58,2021-02-18,WM,Industrials,111.12,113.64,111.09,113.43
59,2021-02-17,WM,Industrials,112.16,112.82,111.93,112.21
60,2021-02-16,WM,Industrials,112.23,113.79,112.12,112.6
61,2021-02-12,WM,Industrials,112.84,113.34,112.37,113.25
62,2021-02-11,WM,Industrials,114.0,114.15,112.89,113.22
63,2021-02-10,WM,Industrials,114.25,114.4156,112.44,113.69
64,2021-02-09,WM,Industrials,114.38,114.77,113.46,113.55
65,2021-02-08,WM,Industrials,114.08,114.75,113.65,114.38
66,2021-02-05,WM,Industrials,113.59,114.6,113.32,113.73
67,2021-02-04,WM,Industrials,112.18,113.5,111.88,113.08
68,2021-02-03,WM,Industrials,112.89,113.29,112.05,112.22
69,2021-02-02,WM,Industrials,112.91,113.91,112.59,113.0
70,2021-02-01,WM,Industrials,111.89,112.59,111.155,112.09
71,2021-01-29,WM,Industrials,111.71,112.64,110.45,111.32
72,2021-01-28,WM,Industrials,111.5,114.46,111.3,112.11
73,2021-01-27,WM,Industrials,113.0,113.23,110.15,110.96
74,2021-01-26,WM,Industrials,114.51,114.535,113.6565,113.95
75,2021-01-25,WM,Industrials,115.36,116.02,113.95,114.19
76,2021-01-22,WM,Industrials,114.44,115.8,113.82,115.36
77,2021-01-21,WM,Industrials,114.92,115.2,112.97,114.58
