,date,symbol,sector,open,high,low,close
0,2021-05-12,WST,Health Care,330.78,332.35,324.0,324.8
1,2021-05-11,WST,Health Care,330.07,339.65,329.2,335.22
2,2021-05-10,WST,Health Care,333.95,336.55,330.33,333.73
3,2021-05-07,WST,Health Care,330.04,334.64,329.71,333.68
4,2021-05-06,WST,Health Care,328.97,329.42,324.56,329.42
5,2021-05-05,WST,Health Care,330.03,328.94,325.96,328.6
6,2021-05-04,WST,Health Care,328.84,329.38,324.19,329.2
7,2021-05-03,WST,Health Care,328.07,334.835,327.47,329.88
8,2021-04-30,WST,Health Care,324.84,330.88,323.54,328.52
9,2021-04-29,WST,Health Care,325.0,333.58,322.95,324.55
10,2021-04-28,WST,Health Care,321.17,324.51,319.29,322.22
11,2021-04-27,WST,Health Care,321.42,323.53,318.63,320.35
12,2021-04-26,WST,Health Care,324.32,325.14,322.02,322.41
13,2021-04-23,WST,Health Care,322.28,326.0,319.5,323.68
14,2021-04-22,WST,Health Care,325.51,326.51,319.05,321.84
15,2021-04-21,WST,Health Care,320.0,324.66,317.72,323.83
16,2021-04-20,WST,Health Care,316.11,319.824,316.04,319.19
17,2021-04-19,WST,Health Care,311.77,317.19,311.77,316.79
18,2021-04-16,WST,Health Care,311.88,314.84,308.75,313.83
19,2021-04-15,WST,Health Care,301.32,311.55,301.16,310.95
20,2021-04-14,WST,Health Care,305.9,307.46,298.94,300.06
21,2021-04-13,WST,Health Care,298.55,306.89,298.425,306.45
22,2021-04-12,WST,Health Care,296.52,298.65,295.16,296.94
23,2021-04-09,WST,Health Care,292.2,296.55,291.315,296.52
24,2021-04-08,WST,Health Care,290.45,294.26,289.24,291.88
25,2021-04-07,WST,Health Care,289.97,291.76,288.65,289.18
26,2021-04-06,WST,Health Care,291.79,295.2963,289.62,291.28
27,2021-04-05,WST,Health Care,286.74,290.53,285.29,289.56
28,2021-04-01,WST,Health Care,283.96,285.02,278.9,284.77
29,2021-03-31,WST,Health Care,279.09,284.23,276.065,281.78
30,2021-03-30,WST,Health Care,278.24,280.19,276.505,278.34
31,2021-03-29,WST,Health Care,278.19,283.35,275.685,280.51
32,2021-03-26,WST,Health Care,276.46,280.72,273.935,280.31
33,2021-03-25,WST,Health Care,278.67,278.67,269.58,275.45
