,date,symbol,sector,open,high,low,close
0,2021-05-12,WYNN,Consumer Discretionary,123.625,125.32,120.25,120.91
1,2021-05-11,WYNN,Consumer Discretionary,124.6972,129.79,123.79,125.0
2,2021-05-10,WYNN,Consumer Discretionary,127.0,128.05,125.37,125.73
3,2021-05-07,WYNN,Consumer Discretionary,123.4,126.62,122.2801,126.29
4,2021-05-06,WYNN,Consumer Discretionary,126.6,127.2334,121.18,122.78
5,2021-05-05,WYNN,Consumer Discretionary,126.75,129.34,125.84,127.81
6,2021-05-04,WYNN,Consumer Discretionary,128.12,128.2884,121.8,124.35
7,2021-05-03,WYNN,Consumer Discretionary,128.7,130.65,128.03,128.86
8,2021-04-30,WYNN,Consumer Discretionary,127.7,129.3,126.94,128.4
9,2021-04-29,WYNN,Consumer Discretionary,131.7124,132.1,125.13,129.03
10,2021-04-28,WYNN,Consumer Discretionary,128.04,130.74,126.3,130.27
11,2021-04-27,WYNN,Consumer Discretionary,125.13,128.03,124.2,127.75
12,2021-04-26,WYNN,Consumer Discretionary,124.7317,127.22,124.6,125.0
13,2021-04-23,WYNN,Consumer Discretionary,125.535,126.2184,123.66,124.15
14,2021-04-22,WYNN,Consumer Discretionary,124.61,126.71,122.71,124.38
15,2021-04-21,WYNN,Consumer Discretionary,121.5,126.05,120.35,125.99
16,2021-04-20,WYNN,Consumer Discretionary,125.11,125.72,119.741,121.64
17,2021-04-19,WYNN,Consumer Discretionary,126.57,127.6699,125.5,126.28
18,2021-04-16,WYNN,Consumer Discretionary,127.64,129.02,126.25,127.28
19,2021-04-15,WYNN,Consumer Discretionary,129.72,130.17,127.12,127.92
20,2021-04-14,WYNN,Consumer Discretionary,130.1385,131.845,128.65,129.05
21,2021-04-13,WYNN,Consumer Discretionary,128.51,130.29,125.36,129.82
22,2021-04-12,WYNN,Consumer Discretionary,131.0,131.425,128.88,129.94
23,2021-04-09,WYNN,Consumer Discretionary,132.05,132.67,129.89,131.39
24,2021-04-08,WYNN,Consumer Discretionary,132.95,133.57,131.17,133.49
25,2021-04-07,WYNN,Consumer Discretionary,135.77,136.59,131.1,132.68
26,2021-04-06,WYNN,Consumer Discretionary,133.11,137.43,132.53,136.37
27,2021-04-05,WYNN,Consumer Discretionary,131.9,134.23,130.59,131.07
28,2021-04-01,WYNN,Consumer Discretionary,126.8865,130.3699,126.28,128.1
29,2021-03-31,WYNN,Consumer Discretionary,125.06,126.28,123.75,125.37
30,2021-03-30,WYNN,Consumer Discretionary,123.75,126.87,123.05,125.45
31,2021-03-29,WYNN,Consumer Discretionary,126.23,127.7229,122.75,123.5
32,2021-03-26,WYNN,Consumer Discretionary,129.75,130.245,123.43,127.43
33,2021-03-25,WYNN,Consumer Discretionary,121.794,129.04,120.81,128.1
34,2021-03-24,WYNN,Consumer Discretionary,125.98,130.365,125.0,125.18
35,2021-03-23,WYNN,Consumer Discretionary,129.6,131.215,124.3707,125.15
36,2021-03-22,WYNN,Consumer Discretionary,135.11,135.33,131.3201,132.87
37,2021-03-19,WYNN,Consumer Discretionary,135.41,136.0,131.24,135.48
38,2021-03-18,WYNN,Consumer Discretionary,139.99,140.0,134.8,135.65
39,2021-03-17,WYNN,Consumer Discretionary,135.35,140.05,135.11,140.0
40,2021-03-16,WYNN,Consumer Discretionary,140.67,140.67,135.1717,137.57
41,2021-03-15,WYNN,Consumer Discretionary,139.82,143.88,139.1,139.8
42,2021-03-12,WYNN,Consumer Discretionary,137.5,139.41,136.0,137.05
43,2021-03-11,WYNN,Consumer Discretionary,135.95,142.61,134.8,137.92
44,2021-03-10,WYNN,Consumer Discretionary,134.18,136.68,133.5303,134.84
45,2021-03-09,WYNN,Consumer Discretionary,136.89,136.89,133.03,134.0
46,2021-03-08,WYNN,Consumer Discretionary,134.573,137.2,133.51,133.74
47,2021-03-05,WYNN,Consumer Discretionary,133.69,133.9,126.175,133.32
48,2021-03-04,WYNN,Consumer Discretionary,136.0907,136.36,126.83,132.89
49,2021-03-03,WYNN,Consumer Discretionary,136.2706,139.48,133.75,135.62
50,2021-03-02,WYNN,Consumer Discretionary,133.29,135.19,131.845,133.0
51,2021-03-01,WYNN,Consumer Discretionary,135.4131,135.85,131.2,131.79
52,2021-02-26,WYNN,Consumer Discretionary,129.2575,132.94,128.17,131.73
53,2021-02-25,WYNN,Consumer Discretionary,134.0,135.74,127.2,128.66
54,2021-02-24,WYNN,Consumer Discretionary,136.58,137.39,132.08,134.21
55,2021-02-23,WYNN,Consumer Discretionary,130.055,138.26,125.675,136.48
56,2021-02-22,WYNN,Consumer Discretionary,124.77,131.97,124.54,126.75
57,2021-02-19,WYNN,Consumer Discretionary,120.55,124.37,120.5,123.66
58,2021-02-18,WYNN,Consumer Discretionary,120.49,122.01,117.51,119.87
59,2021-02-17,WYNN,Consumer Discretionary,121.11,124.0,119.3501,122.17
60,2021-02-16,WYNN,Consumer Discretionary,119.79,123.51,118.8,121.42
61,2021-02-12,WYNN,Consumer Discretionary,114.68,118.2,113.5,117.85
62,2021-02-11,WYNN,Consumer Discretionary,116.44,116.89,113.0,114.58
63,2021-02-10,WYNN,Consumer Discretionary,114.5,119.81,114.07,116.44
64,2021-02-09,WYNN,Consumer Discretionary,115.8,117.02,113.06,113.38
65,2021-02-08,WYNN,Consumer Discretionary,114.85,117.95,113.55,117.41
66,2021-02-05,WYNN,Consumer Discretionary,112.08,119.5,111.91,116.99
67,2021-02-04,WYNN,Consumer Discretionary,109.28,110.19,106.53,108.69
68,2021-02-03,WYNN,Consumer Discretionary,106.7,109.48,106.02,108.42
69,2021-02-02,WYNN,Consumer Discretionary,103.75,107.05,103.1255,106.1
70,2021-02-01,WYNN,Consumer Discretionary,100.92,102.5806,100.14,101.76
71,2021-01-29,WYNN,Consumer Discretionary,102.0,102.78,99.36,99.53
72,2021-01-28,WYNN,Consumer Discretionary,102.095,104.8,99.0,102.05
73,2021-01-27,WYNN,Consumer Discretionary,104.0,105.77,100.19,100.8
74,2021-01-26,WYNN,Consumer Discretionary,109.25,109.95,105.58,105.91
75,2021-01-25,WYNN,Consumer Discretionary,106.59,109.5,104.655,108.06
76,2021-01-22,WYNN,Consumer Discretionary,106.73,108.08,104.5,107.45
77,2021-01-21,WYNN,Consumer Discretionary,110.34,111.95,108.7,109.16
78,2021-01-20,WYNN,Consumer Discretionary,108.27,112.86,107.27,110.07
79,2021-01-19,WYNN,Consumer Discretionary,107.54,108.28,105.75,107.17
80,2021-01-15,WYNN,Consumer Discretionary,108.43,108.43,105.77,106.23
81,2021-01-14,WYNN,Consumer Discretionary,108.6,111.35,108.2,109.0
82,2021-01-13,WYNN,Consumer Discretionary,109.55,109.681,106.8,107.9
83,2021-01-12,WYNN,Consumer Discretionary,108.49,110.87,106.8,110.0
84,2021-01-11,WYNN,Consumer Discretionary,106.62,108.415,104.0653,108.03
85,2021-01-08,WYNN,Consumer Discretionary,109.9,110.7,108.08,109.03
86,2021-01-07,WYNN,Consumer Discretionary,112.4219,112.71,108.51,109.75
87,2021-01-06,WYNN,Consumer Discretionary,110.65,113.38,109.0501,110.85
88,2021-01-05,WYNN,Consumer Discretionary,106.28,111.5199,106.0113,110.19
89,2021-01-04,WYNN,Consumer Discretionary,113.15,113.51,106.18,106.9
90,2020-12-31,WYNN,Consumer Discretionary,112.77,113.92,110.06,112.83
91,2020-12-30,WYNN,Consumer Discretionary,114.18,115.95,112.54,113.4
92,2020-12-29,WYNN,Consumer Discretionary,116.28,116.585,113.84,114.31
93,2020-12-28,WYNN,Consumer Discretionary,114.96,117.4,114.12,115.47
94,2020-12-24,WYNN,Consumer Discretionary,114.41,115.45,113.61,114.39
95,2020-12-23,WYNN,Consumer Discretionary,113.93,116.93,113.615,115.3
96,2020-12-22,WYNN,Consumer Discretionary,112.27,113.28,110.71,112.61
97,2020-12-21,WYNN,Consumer Discretionary,110.71,113.775,108.73,112.54
98,2020-12-18,WYNN,Consumer Discretionary,114.55,116.53,113.01,115.93
99,2020-12-17,WYNN,Consumer Discretionary,116.8,117.19,114.14,114.81
100,2020-12-16,WYNN,Consumer Discretionary,113.5,116.29,112.55,115.23
101,2020-12-15,WYNN,Consumer Discretionary,109.22,114.75,108.52,114.1
102,2020-12-14,WYNN,Consumer Discretionary,112.41,112.74,107.2,107.54
103,2020-12-11,WYNN,Consumer Discretionary,112.67,113.38,109.6,110.98
104,2020-12-10,WYNN,Consumer Discretionary,109.09,113.09,109.09,112.88
105,2020-12-09,WYNN,Consumer Discretionary,112.88,113.54,109.34,111.16
106,2020-12-08,WYNN,Consumer Discretionary,110.625,113.1672,110.33,111.31
107,2020-12-07,WYNN,Consumer Discretionary,112.76,112.94,109.52,111.32
108,2020-12-04,WYNN,Consumer Discretionary,109.5,113.52,108.2,113.5
109,2020-12-03,WYNN,Consumer Discretionary,107.1062,110.39,105.9,108.49
110,2020-12-02,WYNN,Consumer Discretionary,101.75,106.46,100.74,105.13
111,2020-12-01,WYNN,Consumer Discretionary,102.02,104.69,100.89,102.36
112,2020-11-30,WYNN,Consumer Discretionary,100.99,101.66,97.23,100.5
113,2020-11-27,WYNN,Consumer Discretionary,101.33,103.39,100.67,101.22
114,2020-11-25,WYNN,Consumer Discretionary,101.65,101.7151,99.06,100.4
115,2020-11-24,WYNN,Consumer Discretionary,97.585,102.91,97.41,102.76
