,date,symbol,sector,open,high,low,close
0,2021-05-12,XRAY,Health Care,66.38,67.36,65.7,65.7
1,2021-05-11,XRAY,Health Care,68.15,68.96,66.51,66.8
2,2021-05-10,XRAY,Health Care,69.17,69.54,68.69,69.12
3,2021-05-07,XRAY,Health Care,67.39,69.15,67.39,68.47
4,2021-05-06,XRAY,Health Care,66.6,67.42,64.75,67.39
5,2021-05-05,XRAY,Health Care,68.92,68.92,66.74,67.59
6,2021-05-04,XRAY,Health Care,67.76,69.01,67.57,68.95
7,2021-05-03,XRAY,Health Care,67.88,68.42,67.52,68.01
8,2021-04-30,XRAY,Health Care,66.24,67.57,65.96,67.51
9,2021-04-29,XRAY,Health Care,66.56,66.83,65.91,66.28
10,2021-04-28,XRAY,Health Care,66.16,66.48,65.71,65.79
11,2021-04-27,XRAY,Health Care,66.41,66.495,65.76,66.26
12,2021-04-26,XRAY,Health Care,66.55,66.92,66.24,66.31
13,2021-04-23,XRAY,Health Care,65.46,66.475,65.27,66.2
14,2021-04-22,XRAY,Health Care,66.39,66.39,64.965,65.3
15,2021-04-21,XRAY,Health Care,65.39,66.29,65.2,66.15
16,2021-04-20,XRAY,Health Care,65.37,65.935,65.18,65.48
17,2021-04-19,XRAY,Health Care,65.47,65.55,65.0,65.53
18,2021-04-16,XRAY,Health Care,65.4,65.75,64.975,65.42
19,2021-04-15,XRAY,Health Care,65.17,65.5,64.52,64.83
20,2021-04-14,XRAY,Health Care,64.02,65.87,63.98,65.22
21,2021-04-13,XRAY,Health Care,63.69,64.51,63.56,63.85
22,2021-04-12,XRAY,Health Care,64.29,64.58,63.99,64.15
23,2021-04-09,XRAY,Health Care,64.11,64.75,63.95,64.2
24,2021-04-08,XRAY,Health Care,64.13,64.27,62.9,64.15
25,2021-04-07,XRAY,Health Care,64.17,64.555,62.9927,63.94
26,2021-04-06,XRAY,Health Care,64.44,65.09,64.04,64.16
27,2021-04-05,XRAY,Health Care,63.96,64.54,63.82,64.38
28,2021-04-01,XRAY,Health Care,63.21,63.53,62.34,63.44
29,2021-03-31,XRAY,Health Care,63.74,64.4,63.21,63.81
30,2021-03-30,XRAY,Health Care,61.85,63.58,61.85,63.54
31,2021-03-29,XRAY,Health Care,61.0,62.2,60.94,62.06
32,2021-03-26,XRAY,Health Care,60.85,61.36,60.25,61.28
33,2021-03-25,XRAY,Health Care,60.4,60.95,59.8208,60.55
34,2021-03-24,XRAY,Health Care,60.25,61.17,59.73,60.35
35,2021-03-23,XRAY,Health Care,62.15,62.6,59.63,59.93
36,2021-03-22,XRAY,Health Care,63.41,63.54,62.07,62.44
37,2021-03-19,XRAY,Health Care,62.69,63.49,62.091,62.76
38,2021-03-18,XRAY,Health Care,63.31,64.145,62.85,63.05
39,2021-03-17,XRAY,Health Care,63.1,64.0,62.915,63.5
40,2021-03-16,XRAY,Health Care,63.74,63.83,62.86,63.37
41,2021-03-15,XRAY,Health Care,62.76,64.25,62.61,63.9
42,2021-03-12,XRAY,Health Care,62.28,62.97,62.11,62.88
43,2021-03-11,XRAY,Health Care,62.26,62.97,61.92,62.27
44,2021-03-10,XRAY,Health Care,60.96,62.76,60.59,62.06
45,2021-03-09,XRAY,Health Care,62.14,62.34,59.82,59.86
46,2021-03-08,XRAY,Health Care,59.98,62.215,59.8,61.9
47,2021-03-05,XRAY,Health Care,59.88,61.335,58.99,60.0
48,2021-03-04,XRAY,Health Care,59.75,60.3,58.44,58.71
49,2021-03-03,XRAY,Health Care,59.19,60.7,58.67,60.15
50,2021-03-02,XRAY,Health Care,59.91,60.41,58.61,59.27
51,2021-03-01,XRAY,Health Care,58.2,60.78,57.54,59.71
52,2021-02-26,XRAY,Health Care,52.38,53.7,52.38,53.07
53,2021-02-25,XRAY,Health Care,54.27,54.28,51.2,52.43
54,2021-02-24,XRAY,Health Care,53.01,54.36,52.78,54.0
55,2021-02-23,XRAY,Health Care,53.01,53.63,52.74,53.36
56,2021-02-22,XRAY,Health Care,52.55,53.4,52.34,52.94
57,2021-02-19,XRAY,Health Care,51.96,53.38,51.84,52.76
58,2021-02-18,XRAY,Health Care,52.3,52.81,51.53,51.99
59,2021-02-17,XRAY,Health Care,54.07,54.21,52.56,52.69
60,2021-02-16,XRAY,Health Care,55.34,55.36,53.96,54.23
61,2021-02-12,XRAY,Health Care,56.27,56.5,55.29,55.35
62,2021-02-11,XRAY,Health Care,56.95,57.86,56.2,56.28
63,2021-02-10,XRAY,Health Care,56.0,57.33,55.93,56.8
64,2021-02-09,XRAY,Health Care,55.72,56.38,55.6,56.1
65,2021-02-08,XRAY,Health Care,55.41,56.25,55.2,55.88
66,2021-02-05,XRAY,Health Care,56.17,56.39,54.96,55.24
67,2021-02-04,XRAY,Health Care,54.89,56.02,54.59,55.79
68,2021-02-03,XRAY,Health Care,54.83,55.14,54.22,54.64
69,2021-02-02,XRAY,Health Care,54.67,55.82,54.1,54.56
70,2021-02-01,XRAY,Health Care,53.91,54.18,53.22,53.92
71,2021-01-29,XRAY,Health Care,55.04,55.35,52.27,53.49
72,2021-01-28,XRAY,Health Care,55.8,56.3999,55.2,55.34
73,2021-01-27,XRAY,Health Care,56.13,56.235,55.085,55.37
74,2021-01-26,XRAY,Health Care,57.32,57.74,56.99,57.16
75,2021-01-25,XRAY,Health Care,56.96,57.23,56.13,57.01
76,2021-01-22,XRAY,Health Care,57.5,57.65,56.7,57.23
77,2021-01-21,XRAY,Health Care,58.54,58.86,57.39,57.64
78,2021-01-20,XRAY,Health Care,58.42,58.9,57.99,58.68
79,2021-01-19,XRAY,Health Care,59.0,59.0,57.855,58.32
80,2021-01-15,XRAY,Health Care,58.79,59.1,57.72,58.44
81,2021-01-14,XRAY,Health Care,59.82,60.22,58.5,59.28
82,2021-01-13,XRAY,Health Care,59.98,60.47,58.3,59.51
83,2021-01-12,XRAY,Health Care,58.0,60.13,58.0,59.95
84,2021-01-11,XRAY,Health Care,57.47,58.59,57.16,58.5
85,2021-01-08,XRAY,Health Care,57.94,59.4,57.3701,58.18
86,2021-01-07,XRAY,Health Care,58.16,58.69,57.04,57.66
87,2021-01-06,XRAY,Health Care,55.15,58.19,55.15,57.96
88,2021-01-05,XRAY,Health Care,54.06,56.17,53.84,55.29
89,2021-01-04,XRAY,Health Care,53.52,54.95,52.64,53.75
90,2020-12-31,XRAY,Health Care,51.56,52.46,50.95,52.36
91,2020-12-30,XRAY,Health Care,51.42,51.94,51.365,51.46
92,2020-12-29,XRAY,Health Care,52.45,52.74,51.04,51.25
93,2020-12-28,XRAY,Health Care,52.36,52.7,52.05,52.31
94,2020-12-24,XRAY,Health Care,51.89,51.89,51.275,51.82
