,date,symbol,sector,open,high,low,close
0,2021-05-12,XYL,Industrials,117.1,117.5,112.6,112.98
1,2021-05-11,XYL,Industrials,118.65,118.95,116.75,117.63
2,2021-05-10,XYL,Industrials,120.12,121.0,119.52,119.8
3,2021-05-07,XYL,Industrials,118.57,119.6,117.74,119.34
4,2021-05-06,XYL,Industrials,117.59,118.88,116.85,118.75
5,2021-05-05,XYL,Industrials,117.14,117.6,116.28,117.36
6,2021-05-04,XYL,Industrials,112.67,116.31,111.3,115.95
7,2021-05-03,XYL,Industrials,111.51,112.14,110.42,111.6
8,2021-04-30,XYL,Industrials,111.49,111.93,110.305,110.65
9,2021-04-29,XYL,Industrials,112.0,112.64,111.13,112.27
10,2021-04-28,XYL,Industrials,111.57,112.1192,111.06,111.26
11,2021-04-27,XYL,Industrials,110.35,111.48,109.9,111.36
12,2021-04-26,XYL,Industrials,111.0,111.99,110.28,110.44
13,2021-04-23,XYL,Industrials,109.65,110.88,109.25,110.48
14,2021-04-22,XYL,Industrials,110.0,110.72,109.03,109.08
15,2021-04-21,XYL,Industrials,107.63,109.48,107.59,109.48
16,2021-04-20,XYL,Industrials,108.2,108.77,106.5,107.59
17,2021-04-19,XYL,Industrials,108.97,108.98,107.76,108.21
18,2021-04-16,XYL,Industrials,109.22,109.665,108.01,108.61
19,2021-04-15,XYL,Industrials,107.93,108.296,107.02,108.04
20,2021-04-14,XYL,Industrials,107.0,108.17,106.97,107.8
21,2021-04-13,XYL,Industrials,108.23,108.36,106.67,107.11
22,2021-04-12,XYL,Industrials,108.0,108.49,107.56,108.41
23,2021-04-09,XYL,Industrials,106.41,108.0,106.14,108.0
24,2021-04-08,XYL,Industrials,105.57,106.25,104.94,105.73
25,2021-04-07,XYL,Industrials,106.03,106.49,105.21,105.94
26,2021-04-06,XYL,Industrials,106.64,107.98,106.05,106.51
27,2021-04-05,XYL,Industrials,105.2,106.59,105.16,106.42
28,2021-04-01,XYL,Industrials,106.13,106.61,104.12,104.64
29,2021-03-31,XYL,Industrials,105.5,106.015,103.53,105.18
30,2021-03-30,XYL,Industrials,104.46,105.07,103.53,104.88
31,2021-03-29,XYL,Industrials,104.4,105.05,103.365,104.27
32,2021-03-26,XYL,Industrials,102.8,104.85,102.17,104.76
33,2021-03-25,XYL,Industrials,101.14,102.41,99.16,101.93
34,2021-03-24,XYL,Industrials,101.23,103.2,101.02,101.11
35,2021-03-23,XYL,Industrials,101.39,102.24,99.85,100.4
36,2021-03-22,XYL,Industrials,103.56,103.85,101.145,102.43
37,2021-03-19,XYL,Industrials,103.8,104.85,103.185,104.01
38,2021-03-18,XYL,Industrials,103.85,106.4,103.85,104.17
39,2021-03-17,XYL,Industrials,103.24,104.77,102.43,104.37
40,2021-03-16,XYL,Industrials,103.76,104.29,101.975,102.56
41,2021-03-15,XYL,Industrials,102.15,104.17,101.33,104.06
42,2021-03-12,XYL,Industrials,101.61,102.0,100.75,101.87
43,2021-03-11,XYL,Industrials,100.99,102.29,100.55,101.06
44,2021-03-10,XYL,Industrials,100.47,101.16,99.47,101.0
45,2021-03-09,XYL,Industrials,101.06,102.45,99.95,100.01
46,2021-03-08,XYL,Industrials,100.45,102.82,100.15,100.92
47,2021-03-05,XYL,Industrials,99.53,100.57,96.69,100.24
48,2021-03-04,XYL,Industrials,100.9,101.24,97.06,98.5
49,2021-03-03,XYL,Industrials,102.18,102.91,101.09,101.14
50,2021-03-02,XYL,Industrials,102.18,102.73,101.37,101.96
51,2021-03-01,XYL,Industrials,100.61,103.44,100.61,102.23
