,date,symbol,sector,open,high,low,close
0,2021-05-12,YUM,Consumer Discretionary,118.78,119.105,116.92,117.15
1,2021-05-11,YUM,Consumer Discretionary,122.11,122.11,118.31,119.15
2,2021-05-10,YUM,Consumer Discretionary,121.57,122.725,121.29,121.92
3,2021-05-07,YUM,Consumer Discretionary,121.265,122.365,121.1,121.23
4,2021-05-06,YUM,Consumer Discretionary,121.85,122.41,120.57,121.29
5,2021-05-05,YUM,Consumer Discretionary,119.52,121.39,119.61,121.09
6,2021-05-04,YUM,Consumer Discretionary,119.91,120.71,119.14,119.37
7,2021-05-03,YUM,Consumer Discretionary,120.0,120.68,119.93,119.98
8,2021-04-30,YUM,Consumer Discretionary,118.92,119.92,118.36,119.52
9,2021-04-29,YUM,Consumer Discretionary,118.0,119.23,117.74,118.91
10,2021-04-28,YUM,Consumer Discretionary,115.91,118.7,115.5,117.57
11,2021-04-27,YUM,Consumer Discretionary,116.04,116.5,115.8,116.41
12,2021-04-26,YUM,Consumer Discretionary,117.95,117.95,115.36,115.68
13,2021-04-23,YUM,Consumer Discretionary,117.73,118.19,117.34,117.72
14,2021-04-22,YUM,Consumer Discretionary,118.18,118.53,117.475,117.82
15,2021-04-21,YUM,Consumer Discretionary,117.76,118.265,117.17,117.45
16,2021-04-20,YUM,Consumer Discretionary,117.11,118.08,116.92,117.96
17,2021-04-19,YUM,Consumer Discretionary,118.38,118.71,117.15,117.71
18,2021-04-16,YUM,Consumer Discretionary,118.64,118.64,117.72,118.06
19,2021-04-15,YUM,Consumer Discretionary,118.47,118.97,117.25,117.61
20,2021-04-14,YUM,Consumer Discretionary,117.53,118.83,117.43,118.16
21,2021-04-13,YUM,Consumer Discretionary,116.47,117.99,116.13,117.45
22,2021-04-12,YUM,Consumer Discretionary,115.0,116.55,114.985,116.42
23,2021-04-09,YUM,Consumer Discretionary,114.78,114.97,113.6,114.96
24,2021-04-08,YUM,Consumer Discretionary,113.78,114.67,113.4,114.66
25,2021-04-07,YUM,Consumer Discretionary,113.76,114.64,113.59,114.05
26,2021-04-06,YUM,Consumer Discretionary,111.4,114.7,111.28,114.08
27,2021-04-05,YUM,Consumer Discretionary,110.07,111.29,109.95,110.64
28,2021-04-01,YUM,Consumer Discretionary,108.67,109.97,107.99,109.8
29,2021-03-31,YUM,Consumer Discretionary,109.2,109.48,108.15,108.18
30,2021-03-30,YUM,Consumer Discretionary,108.25,110.68,108.25,109.77
31,2021-03-29,YUM,Consumer Discretionary,108.0,109.97,107.08,109.21
32,2021-03-26,YUM,Consumer Discretionary,107.95,108.14,106.29,108.06
33,2021-03-25,YUM,Consumer Discretionary,107.08,107.5,106.01,107.38
34,2021-03-24,YUM,Consumer Discretionary,108.0,108.84,107.08,107.08
35,2021-03-23,YUM,Consumer Discretionary,107.96,108.38,107.45,108.0
36,2021-03-22,YUM,Consumer Discretionary,107.78,108.98,107.63,108.75
37,2021-03-19,YUM,Consumer Discretionary,108.48,109.5294,107.565,107.96
38,2021-03-18,YUM,Consumer Discretionary,110.81,110.97,108.27,108.31
39,2021-03-17,YUM,Consumer Discretionary,108.8,111.68,108.26,111.02
40,2021-03-16,YUM,Consumer Discretionary,108.0,109.14,107.62,108.8
41,2021-03-15,YUM,Consumer Discretionary,105.24,108.01,105.12,107.99
42,2021-03-12,YUM,Consumer Discretionary,104.93,105.405,104.11,104.81
43,2021-03-11,YUM,Consumer Discretionary,105.08,105.78,104.48,104.63
44,2021-03-10,YUM,Consumer Discretionary,103.2,105.21,102.8,104.61
45,2021-03-09,YUM,Consumer Discretionary,104.48,104.78,102.65,102.68
46,2021-03-08,YUM,Consumer Discretionary,104.5,105.435,104.0901,104.14
47,2021-03-05,YUM,Consumer Discretionary,103.8,104.8,101.94,104.33
48,2021-03-04,YUM,Consumer Discretionary,103.7,104.345,101.96,103.57
49,2021-03-03,YUM,Consumer Discretionary,104.77,105.1625,103.48,103.51
50,2021-03-02,YUM,Consumer Discretionary,104.27,105.49,103.72,104.74
51,2021-03-01,YUM,Consumer Discretionary,104.01,105.855,103.97,104.51
52,2021-02-26,YUM,Consumer Discretionary,105.22,105.275,103.21,103.53
53,2021-02-25,YUM,Consumer Discretionary,104.65,105.02,103.88,104.7
54,2021-02-24,YUM,Consumer Discretionary,104.57,105.07,103.71,104.68
55,2021-02-23,YUM,Consumer Discretionary,105.6,106.73,103.94,104.65
56,2021-02-22,YUM,Consumer Discretionary,104.42,105.54,103.76,105.01
57,2021-02-19,YUM,Consumer Discretionary,105.53,106.06,104.93,105.13
58,2021-02-18,YUM,Consumer Discretionary,103.93,105.89,103.93,105.37
59,2021-02-17,YUM,Consumer Discretionary,104.74,105.43,103.95,104.34
60,2021-02-16,YUM,Consumer Discretionary,105.67,106.18,104.97,105.6
61,2021-02-12,YUM,Consumer Discretionary,105.45,105.9,104.53,105.47
62,2021-02-11,YUM,Consumer Discretionary,104.75,105.98,104.26,105.48
63,2021-02-10,YUM,Consumer Discretionary,103.78,105.34,102.985,104.82
64,2021-02-09,YUM,Consumer Discretionary,103.41,103.962,102.25,103.12
65,2021-02-08,YUM,Consumer Discretionary,104.82,105.11,102.785,103.36
66,2021-02-05,YUM,Consumer Discretionary,103.35,105.89,103.35,105.34
67,2021-02-04,YUM,Consumer Discretionary,105.44,105.88,102.85,102.99
68,2021-02-03,YUM,Consumer Discretionary,105.79,106.15,104.73,104.73
69,2021-02-02,YUM,Consumer Discretionary,104.31,106.92,103.64,106.3
70,2021-02-01,YUM,Consumer Discretionary,102.24,103.71,101.64,103.06
71,2021-01-29,YUM,Consumer Discretionary,102.09,103.24,101.18,101.49
72,2021-01-28,YUM,Consumer Discretionary,102.25,104.2,102.08,102.53
73,2021-01-27,YUM,Consumer Discretionary,105.54,105.66,101.79,102.02
74,2021-01-26,YUM,Consumer Discretionary,105.65,107.2299,103.93,106.34
75,2021-01-25,YUM,Consumer Discretionary,106.29,106.38,104.26,105.26
76,2021-01-22,YUM,Consumer Discretionary,107.36,107.61,106.07,107.09
77,2021-01-21,YUM,Consumer Discretionary,109.5,109.5,107.87,107.88
78,2021-01-20,YUM,Consumer Discretionary,107.65,109.63,107.42,109.41
79,2021-01-19,YUM,Consumer Discretionary,106.96,108.0,106.75,107.39
80,2021-01-15,YUM,Consumer Discretionary,107.52,107.52,106.0,106.62
81,2021-01-14,YUM,Consumer Discretionary,107.78,109.66,107.31,107.78
82,2021-01-13,YUM,Consumer Discretionary,107.12,107.73,106.28,107.15
83,2021-01-12,YUM,Consumer Discretionary,107.49,108.451,106.475,107.67
84,2021-01-11,YUM,Consumer Discretionary,106.8,108.04,106.585,107.67
85,2021-01-08,YUM,Consumer Discretionary,105.81,107.45,105.6199,107.15
86,2021-01-07,YUM,Consumer Discretionary,106.5,106.99,105.28,105.6
87,2021-01-06,YUM,Consumer Discretionary,105.63,106.7,105.39,106.41
88,2021-01-05,YUM,Consumer Discretionary,105.64,106.35,105.2,105.83
89,2021-01-04,YUM,Consumer Discretionary,109.02,109.02,104.86,105.82
90,2020-12-31,YUM,Consumer Discretionary,108.74,109.175,107.38,108.56
91,2020-12-30,YUM,Consumer Discretionary,109.35,110.66,109.33,109.51
92,2020-12-29,YUM,Consumer Discretionary,109.63,110.56,109.4,109.45
93,2020-12-28,YUM,Consumer Discretionary,108.49,109.85,107.38,109.78
94,2020-12-24,YUM,Consumer Discretionary,107.22,107.69,106.94,107.54
95,2020-12-23,YUM,Consumer Discretionary,107.16,107.93,106.79,106.79
96,2020-12-22,YUM,Consumer Discretionary,108.06,108.315,107.02,107.4
97,2020-12-21,YUM,Consumer Discretionary,108.12,109.45,106.67,108.63
98,2020-12-18,YUM,Consumer Discretionary,108.82,110.17,108.795,109.78
99,2020-12-17,YUM,Consumer Discretionary,108.73,108.88,107.85,108.79
100,2020-12-16,YUM,Consumer Discretionary,107.51,108.64,107.17,107.42
101,2020-12-15,YUM,Consumer Discretionary,106.38,107.65,105.965,107.38
102,2020-12-14,YUM,Consumer Discretionary,106.89,106.89,105.33,105.5
103,2020-12-11,YUM,Consumer Discretionary,105.88,106.5,105.35,105.99
104,2020-12-10,YUM,Consumer Discretionary,106.16,107.08,105.9,106.46
105,2020-12-09,YUM,Consumer Discretionary,105.6,106.91,105.1,106.57
106,2020-12-08,YUM,Consumer Discretionary,104.6,105.63,104.48,105.15
107,2020-12-07,YUM,Consumer Discretionary,105.53,105.69,104.67,105.24
108,2020-12-04,YUM,Consumer Discretionary,105.09,106.15,104.77,105.86
109,2020-12-03,YUM,Consumer Discretionary,104.67,105.23,104.32,104.52
110,2020-12-02,YUM,Consumer Discretionary,105.87,105.965,104.8,104.98
111,2020-12-01,YUM,Consumer Discretionary,106.84,106.99,105.52,106.34
