,date,symbol,sector,open,high,low,close
0,2021-05-12,ZBH,Health Care,166.08,166.98,163.65,163.77
1,2021-05-11,ZBH,Health Care,171.71,171.84,167.07,167.55
2,2021-05-10,ZBH,Health Care,172.66,173.18,171.24,171.95
3,2021-05-07,ZBH,Health Care,173.03,174.84,172.31,172.49
4,2021-05-06,ZBH,Health Care,173.04,173.69,169.75,173.23
5,2021-05-05,ZBH,Health Care,173.73,174.56,171.8,173.55
6,2021-05-04,ZBH,Health Care,173.84,176.06,170.12,172.93
7,2021-05-03,ZBH,Health Care,178.5,178.76,176.98,177.94
8,2021-04-30,ZBH,Health Care,178.09,178.45,176.08,177.16
9,2021-04-29,ZBH,Health Care,179.25,180.36,177.06,178.61
10,2021-04-28,ZBH,Health Care,176.64,178.64,175.82,178.5
11,2021-04-27,ZBH,Health Care,175.83,177.75,174.56,176.35
12,2021-04-26,ZBH,Health Care,178.21,178.21,175.47,175.72
13,2021-04-23,ZBH,Health Care,177.02,178.87,176.49,177.62
14,2021-04-22,ZBH,Health Care,176.58,179.19,175.46,177.38
15,2021-04-21,ZBH,Health Care,174.04,177.45,173.37,176.65
16,2021-04-20,ZBH,Health Care,172.53,175.18,172.22,173.81
17,2021-04-19,ZBH,Health Care,171.92,173.025,170.08,172.53
18,2021-04-16,ZBH,Health Care,172.74,173.22,170.38,171.88
19,2021-04-15,ZBH,Health Care,168.6,172.34,168.6,171.76
20,2021-04-14,ZBH,Health Care,168.91,170.525,168.06,168.31
21,2021-04-13,ZBH,Health Care,167.49,169.14,167.18,168.47
22,2021-04-12,ZBH,Health Care,168.69,169.81,167.69,168.33
23,2021-04-09,ZBH,Health Care,165.83,169.58,165.46,169.48
24,2021-04-08,ZBH,Health Care,164.08,165.36,163.58,164.54
25,2021-04-07,ZBH,Health Care,163.62,164.24,161.28,162.75
26,2021-04-06,ZBH,Health Care,163.0,164.87,162.46,163.51
27,2021-04-05,ZBH,Health Care,161.76,163.12,160.95,162.7
28,2021-04-01,ZBH,Health Care,160.08,160.57,158.36,160.0
29,2021-03-31,ZBH,Health Care,162.59,163.98,159.95,160.08
30,2021-03-30,ZBH,Health Care,159.03,161.51,158.81,161.22
31,2021-03-29,ZBH,Health Care,160.19,161.27,158.915,160.21
32,2021-03-26,ZBH,Health Care,158.35,161.49,157.29,161.32
33,2021-03-25,ZBH,Health Care,158.32,158.32,154.88,157.88
34,2021-03-24,ZBH,Health Care,157.23,158.6362,156.56,157.45
35,2021-03-23,ZBH,Health Care,159.53,160.1492,155.18,156.14
36,2021-03-22,ZBH,Health Care,159.68,160.99,159.09,160.24
37,2021-03-19,ZBH,Health Care,158.46,161.65,157.64,160.16
38,2021-03-18,ZBH,Health Care,159.97,161.07,158.49,158.89
39,2021-03-17,ZBH,Health Care,159.62,161.45,157.925,160.52
40,2021-03-16,ZBH,Health Care,161.0,161.0,158.48,160.25
41,2021-03-15,ZBH,Health Care,164.04,165.49,160.57,161.47
42,2021-03-12,ZBH,Health Care,159.95,163.44,159.7,163.16
43,2021-03-11,ZBH,Health Care,160.3,161.64,159.01,160.3
44,2021-03-10,ZBH,Health Care,157.95,161.33,156.755,160.39
45,2021-03-09,ZBH,Health Care,157.59,160.54,156.515,156.66
46,2021-03-08,ZBH,Health Care,158.78,160.9,156.42,156.5
47,2021-03-05,ZBH,Health Care,157.94,159.42,154.105,158.5
48,2021-03-04,ZBH,Health Care,159.73,159.73,154.46,156.25
49,2021-03-03,ZBH,Health Care,161.26,161.765,157.84,159.75
50,2021-03-02,ZBH,Health Care,163.33,163.71,160.19,161.19
51,2021-03-01,ZBH,Health Care,165.02,166.46,162.665,163.4
52,2021-02-26,ZBH,Health Care,165.24,166.36,161.47,163.06
53,2021-02-25,ZBH,Health Care,162.95,165.37,162.21,164.5
54,2021-02-24,ZBH,Health Care,162.08,165.21,161.9435,163.69
55,2021-02-23,ZBH,Health Care,161.72,164.52,160.5,161.87
56,2021-02-22,ZBH,Health Care,155.63,161.17,154.83,160.34
57,2021-02-19,ZBH,Health Care,157.02,157.94,155.905,156.67
58,2021-02-18,ZBH,Health Care,157.69,158.07,154.48,156.81
59,2021-02-17,ZBH,Health Care,159.46,159.56,157.12,158.58
60,2021-02-16,ZBH,Health Care,161.78,161.78,159.51,160.37
61,2021-02-12,ZBH,Health Care,161.25,162.5,160.34,161.38
62,2021-02-11,ZBH,Health Care,161.49,163.88,160.0,162.21
63,2021-02-10,ZBH,Health Care,160.0,162.445,159.52,160.34
64,2021-02-09,ZBH,Health Care,159.8,160.26,157.72,159.15
65,2021-02-08,ZBH,Health Care,160.17,161.19,157.25,159.81
66,2021-02-05,ZBH,Health Care,170.05,170.05,158.48,159.89
67,2021-02-04,ZBH,Health Care,159.92,163.97,158.24,160.73
68,2021-02-03,ZBH,Health Care,157.78,159.04,155.86,158.56
69,2021-02-02,ZBH,Health Care,155.16,160.68,154.87,158.5
70,2021-02-01,ZBH,Health Care,154.87,156.01,152.24,153.9
71,2021-01-29,ZBH,Health Care,156.0,156.79,151.85,153.67
72,2021-01-28,ZBH,Health Care,154.2,159.07,152.89,157.03
73,2021-01-27,ZBH,Health Care,155.23,157.72,152.02,152.6
74,2021-01-26,ZBH,Health Care,160.25,161.23,157.32,158.22
75,2021-01-25,ZBH,Health Care,160.54,161.0,156.48,159.31
76,2021-01-22,ZBH,Health Care,161.84,162.74,160.59,161.01
77,2021-01-21,ZBH,Health Care,164.07,165.5,162.53,162.96
78,2021-01-20,ZBH,Health Care,159.95,164.12,158.705,163.46
79,2021-01-19,ZBH,Health Care,161.29,161.6,159.29,159.93
80,2021-01-15,ZBH,Health Care,162.18,162.69,159.53,160.12
81,2021-01-14,ZBH,Health Care,162.38,165.93,162.38,162.62
82,2021-01-13,ZBH,Health Care,160.46,163.98,159.56,162.95
83,2021-01-12,ZBH,Health Care,158.36,160.04,157.04,159.83
84,2021-01-11,ZBH,Health Care,156.78,159.14,155.57,159.0
85,2021-01-08,ZBH,Health Care,160.29,161.89,158.36,158.95
86,2021-01-07,ZBH,Health Care,160.33,161.35,158.42,159.3
87,2021-01-06,ZBH,Health Care,155.65,160.625,155.65,160.25
88,2021-01-05,ZBH,Health Care,153.04,157.19,152.74,155.81
89,2021-01-04,ZBH,Health Care,155.67,156.49,150.8,153.16
90,2020-12-31,ZBH,Health Care,151.86,154.48,151.25,154.09
91,2020-12-30,ZBH,Health Care,152.85,154.76,151.37,152.22
92,2020-12-29,ZBH,Health Care,150.43,153.34,149.9119,152.45
93,2020-12-28,ZBH,Health Care,150.61,151.57,148.8,148.89
94,2020-12-24,ZBH,Health Care,149.4,149.7,147.61,149.25
95,2020-12-23,ZBH,Health Care,151.67,152.3,148.94,148.98
96,2020-12-22,ZBH,Health Care,148.31,151.7,146.2,150.83
97,2020-12-21,ZBH,Health Care,148.92,150.24,147.05,148.6
98,2020-12-18,ZBH,Health Care,151.82,152.42,149.51,151.85
99,2020-12-17,ZBH,Health Care,148.32,152.07,148.1,151.36
100,2020-12-16,ZBH,Health Care,147.2,150.0359,146.99,148.85
