date,symbol,open,high,low,close,Sector
2021-05-14,AAP,205.76,206.46,201.14,202.81,Consumer Discretionary
2021-05-13,AAP,201.27,205.01,199.625,204.5,Consumer Discretionary
2021-05-12,AAP,204.75,205.91,201.27,201.79,Consumer Discretionary
2021-05-11,AAP,207.93,207.94,201.83,204.21,Consumer Discretionary
2021-05-10,AAP,204.81,210.18,204.81,208.59,Consumer Discretionary
2021-05-07,AAP,202.9,204.98,202.88,204.47,Consumer Discretionary
2021-05-06,AAP,204.19,204.88,202.07,204.16,Consumer Discretionary
2021-05-05,AAP,204.11,204.37,202.11,202.81,Consumer Discretionary
2021-05-04,AAP,205.01,205.2,201.97,204.15,Consumer Discretionary
2021-05-03,AAP,201.34,203.625,201.34,201.86,Consumer Discretionary
2021-04-30,AAP,199.89,202.4672,199.11,200.16,Consumer Discretionary
2021-04-29,AAP,200.0,201.535,198.19,200.68,Consumer Discretionary
2021-04-28,AAP,196.97,199.27,196.13,197.63,Consumer Discretionary
2021-04-27,AAP,198.56,199.1609,197.06,197.28,Consumer Discretionary
2021-04-26,AAP,199.07,199.49,196.32,197.14,Consumer Discretionary
2021-04-23,AAP,200.98,201.39,197.27,199.75,Consumer Discretionary
2021-04-22,AAP,199.0,201.12,197.15,200.3,Consumer Discretionary
2021-04-21,AAP,194.45,202.54,194.45,199.87,Consumer Discretionary
2021-04-20,AAP,198.0,198.52,190.91,193.91,Consumer Discretionary
2021-04-19,AAP,193.59,196.17,192.35,192.54,Consumer Discretionary
2021-04-16,AAP,191.28,193.17,190.55,192.92,Consumer Discretionary
2021-04-15,AAP,188.29,190.2,188.09,189.46,Consumer Discretionary
2021-05-14,AMZN,3185.56,3228.86,3183.0,3222.9,Consumer Discretionary
2021-05-13,AMZN,3185.47,3203.84,3133.0,3161.47,Consumer Discretionary
2021-05-12,AMZN,3185.0,3207.94,3133.1,3151.94,Consumer Discretionary
2021-05-11,AMZN,3136.28,3238.0,3127.37,3223.91,Consumer Discretionary
2021-05-10,AMZN,3282.32,3283.0,3190.0,3190.49,Consumer Discretionary
2021-05-07,AMZN,3319.09,3330.89,3289.0704,3291.61,Consumer Discretionary
2021-05-06,AMZN,3270.0,3314.4,3247.2,3306.37,Consumer Discretionary
2021-05-05,AMZN,3338.855,3354.695,3264.36,3270.54,Consumer Discretionary
2021-05-04,AMZN,3356.19,3367.975,3272.13,3311.87,Consumer Discretionary
2021-05-03,AMZN,3484.73,3486.645,3372.7012,3386.49,Consumer Discretionary
2021-04-30,AMZN,3525.12,3554.0,3462.5,3467.42,Consumer Discretionary
2021-04-29,AMZN,3505.0981,3514.445,3435.0,3471.31,Consumer Discretionary
2021-04-28,AMZN,3434.8,3489.88,3425.0,3458.5,Consumer Discretionary
2021-04-27,AMZN,3443.47,3460.0,3398.01,3417.43,Consumer Discretionary
2021-04-26,AMZN,3348.0,3428.45,3330.94,3409.0,Consumer Discretionary
2021-04-23,AMZN,3319.1,3375.0,3308.5,3340.88,Consumer Discretionary
2021-04-22,AMZN,3371.68,3372.87,3301.45,3309.04,Consumer Discretionary
2021-04-21,AMZN,3316.0,3362.86,3303.8061,3362.02,Consumer Discretionary
2021-04-20,AMZN,3373.6,3382.99,3316.0,3334.69,Consumer Discretionary
2021-04-19,AMZN,3390.33,3435.9333,3360.16,3372.01,Consumer Discretionary
2021-04-16,AMZN,3380.0,3406.8,3355.59,3399.44,Consumer Discretionary
2021-04-15,AMZN,3371.0,3396.9999,3352.0,3379.09,Consumer Discretionary
2021-05-14,APTV,138.4,139.88,136.32,139.18,Consumer Discretionary
2021-05-13,APTV,135.49,138.99,134.18,136.93,Consumer Discretionary
2021-05-12,APTV,139.43,141.4,133.45,134.37,Consumer Discretionary
2021-05-11,APTV,140.66,141.94,137.57,140.63,Consumer Discretionary
2021-05-10,APTV,147.94,148.19,143.78,143.78,Consumer Discretionary
2021-05-07,APTV,142.11,148.89,141.82,148.77,Consumer Discretionary
2021-05-06,APTV,140.5,143.92,137.09,141.46,Consumer Discretionary
2021-05-05,APTV,141.65,143.88,141.85,142.92,Consumer Discretionary
2021-05-04,APTV,141.33,142.39,138.145,139.74,Consumer Discretionary
2021-05-03,APTV,145.05,145.94,143.061,143.44,Consumer Discretionary
2021-04-30,APTV,143.55,146.29,142.685,143.89,Consumer Discretionary
2021-04-29,APTV,147.45,148.08,143.3,144.54,Consumer Discretionary
2021-04-28,APTV,145.78,147.5,145.11,146.92,Consumer Discretionary
2021-04-27,APTV,145.78,147.86,145.02,146.71,Consumer Discretionary
2021-04-26,APTV,145.75,147.0,144.43,145.2,Consumer Discretionary
2021-04-23,APTV,140.71,145.77,139.19,144.89,Consumer Discretionary
2021-04-22,APTV,139.8,140.63,137.49,138.93,Consumer Discretionary
2021-04-21,APTV,134.76,139.48,133.55,139.18,Consumer Discretionary
2021-04-20,APTV,140.0,140.16,133.67,135.04,Consumer Discretionary
2021-04-19,APTV,141.0,141.17,139.28,140.32,Consumer Discretionary
2021-04-16,APTV,143.87,145.25,140.88,141.05,Consumer Discretionary
2021-04-15,APTV,142.48,142.82,139.68,141.84,Consumer Discretionary
2021-05-14,AZO,1538.09,1539.45,1501.7,1527.58,Consumer Discretionary
2021-05-13,AZO,1495.19,1541.26,1495.19,1533.76,Consumer Discretionary
2021-05-12,AZO,1505.25,1519.76,1488.88,1495.88,Consumer Discretionary
2021-05-11,AZO,1513.89,1516.11,1478.68,1495.13,Consumer Discretionary
2021-05-10,AZO,1513.17,1542.3,1507.28,1519.62,Consumer Discretionary
2021-05-07,AZO,1491.47,1510.08,1480.26,1507.2,Consumer Discretionary
2021-05-06,AZO,1478.0,1493.0088,1474.84,1488.85,Consumer Discretionary
2021-05-05,AZO,1481.01,1472.11,1457.585,1472.11,Consumer Discretionary
2021-05-04,AZO,1479.86,1488.49,1469.86,1477.0,Consumer Discretionary
2021-05-03,AZO,1475.6,1488.24,1467.46,1475.83,Consumer Discretionary
2021-04-30,AZO,1472.45,1477.805,1463.34,1464.12,Consumer Discretionary
2021-04-29,AZO,1468.27,1478.5625,1452.065,1474.96,Consumer Discretionary
2021-04-28,AZO,1464.25,1478.85,1453.14,1460.0,Consumer Discretionary
2021-04-27,AZO,1451.33,1462.16,1441.7,1455.79,Consumer Discretionary
2021-04-26,AZO,1466.52,1467.001,1443.18,1443.88,Consumer Discretionary
2021-04-23,AZO,1487.02,1487.02,1451.77,1471.35,Consumer Discretionary
2021-04-22,AZO,1488.61,1490.73,1465.095,1478.87,Consumer Discretionary
2021-04-21,AZO,1500.97,1515.87,1483.55,1486.89,Consumer Discretionary
2021-04-20,AZO,1512.35,1524.98,1501.69,1514.11,Consumer Discretionary
2021-04-19,AZO,1495.74,1516.59,1494.2,1504.3,Consumer Discretionary
